code,name,pe,pb,eps,net2018-06,net_radio2018-06
LTRX,创力,154.454593,4.598344,0.037422,752000,15.4615
ROSE,Rosehill Resources Inc.,32.760294,1.393729,0.250303,8664000,7.1273
ICHR,Ichor Holdings Ltd.,7.883942,2.429648,3.064457,28040000,1.8438
ALSK,阿拉斯加通信系统,35.88715,0.629734,0.054337,3402000,2.2021
AMD,AMD,73.160387,26.595495,0.327773,116000000,3.7619
NSYS,Nortech Systems Incorporated,0,0.555972,-0.878575,390000,25.375
GSKY,Greensky Inc.,3.663582,167.796846,5.309012,40816000,0.0576
OPRA,Opera,0,0,0,7411000,3.9051
NFLX,"Netflix, Inc.",157.391826,34.748668,2.279788,384000000,4.859
AQXP,"Aquinox Pharmaceuticals, Inc.",0,0.825444,-1.696466,2918000,1.212
FNJN,"Finjan Holdings, Inc.",2.738645,1.828411,1.584725,7039000,3.4873
MSTR,MicroStrategy Incorporated,0,2.766664,-0.120549,4828000,-0.5149
ROKU,Roku Inc,23.72167,31.688542,2.66676,526000,1.0339
FANH,泛华金融控股集团,19.664951,2.88031,1.329777,173000000,0.2221
HGSH,汉广厦房地产,6.90001,0.399184,0.217391,3379900,1.1463
CENX,世纪铝业,15.459688,1.286651,0.810495,19400000,1.7324
HTHT,华住,51.302511,10.291005,0.674236,340000000,-0.1231
ABCD,新生,14.611084,-100.156284,0.940382,4435000,-0.2343
AVEO,AVEO制药公司,0,-7.004446,-0.238772,4004000,1.1203
CASA,Casa Systems,11.088771,11.244912,1.259833,21417000,0.2481
CMLS,Cumulus Media,1.024342,0.225196,19.417343,706000000,123.4952
SSNT,"SilverSun Technologies, Inc.",0,3.766422,-0.152682,17200,-0.8571
OBCI,Ocean Bio-Chem,14.610003,1.570675,0.301848,1121400,0.1773
IIJI,首创网络,23.451197,1.41559,0.444327,290000000,-0.6118
ATVI,动视暴雪,112.591595,5.459777,0.658042,402000000,0.6543
MTLS,Materialise NV,3671.459036,8.065545,0.003756,369000,1.3864
CCNI,"Command Center, Inc.",258.779148,1.434324,0.020674,563200,-0.2336
TRIB,Trinity Biotech plc,0,1.239511,-1.913651,594000,-0.3415
RBCN,卢比肯科技,0,0.751654,-2.516931,150000,1.0268
METC,Ramaco Resources Inc.,47.220973,2.655478,0.182546,10203400,3.9253
LASR,nLIGHT,0,6.126757,-5.165334,4653000,17.2125
SPPI,Spectrum Pharmaceuticals,0,7.481407,-0.529731,13744000,1.6591
RADA,Rada Electronics Industries Limited,46.265698,2.946498,0.057494,12000,-0.976
CSPI,CSP Inc,0,2.657267,-0.104695,3000,-0.9957
MOSY,正一科技,0,0.871202,-0.111572,315000,1.0789
ISNS,图像传感系统,15.063228,3.42529,0.398321,511000,0.582
CYBE,数码光学科技,147.249129,2.789548,0.142955,740000,-0.3242
VNDA,Vanda Pharmaceuticals Inc,1630.934176,4.440155,0.01306,4611000,4.0059
CSIQ,阿特斯太阳能,6.056501,0.76214,2.28845,15973000,-0.6042
VNOM,Viper Energy Partners LP,16.927755,12.751864,2.356485,128000000,4.8
PTNR,Partner Communications Company L,182.858512,2.017264,0.024992,2000000,-0.9565
RGLD,皇家黄金,0,2.44051,-1.732742,24008000,0.4259
PYPL,PayPal,52.912974,7.100932,1.702796,526000000,0.2798
TSEM,Tower Semiconductor Ltd,7.672435,1.882169,2.726644,36009000,-0.3039
SND,Smart Sand Inc.,7.498404,1.106375,0.717486,10021000,2.819
QLYS,科力斯,114.626058,9.614877,0.785598,10293000,0.4292
TURN,180 Degree Capital Corp.,5.130117,0.817009,0.463927,4808000,1.0991
JTPY,JetPay Corp,0,-4.967227,-0.827934,1512000,2.2803
YNDX,Yandex,15.71863,3.64025,2.022441,33331000000,8.5669
WEYS,Weyco Group,22.203137,1.959134,1.726783,1523000,0.1688
NANO,耐诺,21.319923,3.825673,2.070364,17675000,1.1326
ADUS,爱德斯,47.689708,4.438957,1.373462,4297000,0.5915
ATTU,Attunity Ltd,0,7.159367,-0.091913,257000,1.0805
ACMR,Acm Research Inc.,25.050891,4.702123,0.538903,3215000,7.684
VREX,Varex Imaging Corporation,27.893654,2.797004,1.116383,3900000,-0.6355
TREE,LendingTree,39.080918,8.876131,6.146222,42547000,4.814
