code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03
BLFS,BioLife Solutions Inc.,0,17.747237,-0.018265,248.29%,102.44%,100.40%,61.22%
PSDO,Presidio Inc.,11.539038,2.03042,1.435995,41.35%,5.07%,104.00%,5.77%
SECO,寺库,6.009841,3.253505,2.101553,26.29%,55.48%,10.05%,42.80%
SUPN,Supernus Pharmaceuticals,28.64039,6.445026,1.682938,76.97%,31.27%,155.92%,57.06%
WHLM,Wilhelmina International Inc.,45.667352,1.324545,0.147808,800.00%,12.64%,2400.00%,2.95%
CORT,Corcept医疗,11.41674,7.053367,1.296342,43.88%,75.24%,297.88%,108.92%
GRVY,GRAVITY Co,7.62133,2.513639,2.405092,86.28%,133.19%,63.60%,183.96%
FNKO,Funko Inc.,0.663481,5.061858,43.482761,119.19%,32.44%,139.75%,38.52%
PRFT,Perficient,40.219731,2.762411,0.737449,142.80%,4.08%,81.91%,8.94%
ENTG,英特格,35.720338,4.223767,0.879051,35.90%,16.43%,77.04%,15.70%
TXRH,德州公路酒吧,33.828422,5.916866,2.222096,17.32%,11.12%,56.51%,10.57%
CHEF,The Chefs’ Warehouse,41.792909,3.58704,0.733378,85.60%,11.69%,133.13%,10.75%
HEAR,Parametric Sound Corp.,13.66757,66.123317,1.744275,189.24%,218.15%,119.77%,184.88%
IAC,IAC/InterActiveCorp,32.995512,6.504377,6.102345,248.64%,38.02%,208.61%,30.79%
CPHC,坎特伯雷帕克控股,15.134149,1.650929,1.037389,1.22%,3.26%,92.92%,5.35%
MTCH,"Match Group, Inc.",27.457976,25.50434,1.889797,155.20%,36.06%,396.80%,36.35%
MOMO,陌陌,21.278771,6.516681,2.121833,93.91%,58.31%,59.38%,64.05%
UTMD,犹他医疗产品,36.530623,4.166834,2.547178,11.32%,1.26%,15.72%,6.12%
WINA,威玛克工贸有限公司,22.012915,-28.998384,7.068578,29.15%,10.68%,25.39%,1.87%
BAND,Bandwidth Inc.,52.617162,9.668843,0.989221,439.91%,22.21%,107.13%,33.78%
RMR,The RMR Group Inc,16.70506,6.8129,5.746762,10.47%,5.93%,10.67%,7.60%
CTRL,Control4 Corporation,46.243778,5.291026,0.750155,77.49%,13.02%,17.66%,17.81%
PENN,佩恩国民博彩,5.300807,106.342239,6.055681,216.11%,1.47%,790.22%,2.40%
MLAB,Mesa Laboratories,0,7.279929,-0.083235,178.84%,10.89%,16.77%,10.63%
TUSK,Mammoth Energy Services Inc.,7.005067,1.894181,3.780121,3749.57%,443.03%,1215.16%,559.30%
ATVI,动视暴雪,111.801372,5.421458,0.658042,65.43%,0.61%,17.37%,13.85%
TTD,Trade Desk Inc.,105.774888,20.243882,1.34219,2.62%,54.30%,84.76%,60.57%
AEIS,先进能源工业公司,15.069024,3.685816,3.720878,0.77%,18.18%,23.91%,30.98%
ROAD,Construction Partners,11.207297,2.262189,1.116237,109.03%,31.72%,301.71%,7.73%
NVFY,Nova Lifestyle Inc,6.512707,0.66403,0.26717,144.55%,23.42%,236.85%,23.52%
INGN,Inogen Inc,173.214597,21.106013,1.523255,75.22%,51.65%,81.36%,50.57%
CVTI,契诺货运,8.283556,1.810032,3.735111,544.12%,17.21%,11425.64%,7.38%
CROX,卡骆驰,130.342207,7.255111,0.162035,56.55%,4.72%,49.45%,5.69%
TAOP,淘屏,19.234359,7.505777,0.069667,23.00%,30.75%,105.87%,1639.49%
MKTX,MarketAxess Holdings,44.23921,12.602343,4.226115,6.48%,11.11%,12.90%,11.45%
EYE,National Vision Holdings Inc.,45.851272,4.729527,0.997137,974.13%,14.22%,46.73%,10.31%
LLNW,Limelight Networks,42.319085,3.290299,0.113424,1032.86%,10.75%,104.47%,16.49%
CDEV,"Centennial Resource Development, Inc.",28.547283,1.681423,0.673269,190.90%,139.13%,560.99%,253.37%
XNET,迅雷,0,1.543949,-0.191451,107.22%,58.40%,219.63%,117.14%
YNDX,Yandex,14.902784,3.45131,2.022441,856.69%,34.24%,126.01%,28.67%
