code,name,pe,pb,eps
MCFT,"MCBC Holdings, Inc.",19.604775,12.297604,1.763346
DAIO,Data I/O Corporation,11.932972,2.095101,0.471802
PSDO,Presidio Inc.,11.539038,2.03042,1.435995
SECO,寺库,6.009841,3.253505,2.101553
LION,富达南方银行,16.510318,1.645934,1.542066
CORT,Corcept医疗,11.41674,7.053367,1.296342
GRVY,GRAVITY Co,7.62133,2.513639,2.405092
FNKO,Funko Inc.,0.663481,5.061858,43.482761
VTSI,"VirTra, Inc.",13.637118,3.565796,0.409698
HPJ,豪鹏国际,3.630989,0.61621,0.743599
PTSI,P.A.M. Transportation Services,8.311222,2.69567,6.943624
HEAR,Parametric Sound Corp.,13.66757,66.123317,1.744275
CPHC,坎特伯雷帕克控股,15.134149,1.650929,1.037389
CMLS,Cumulus Media,1.016617,0.976564,19.417343
ASYS,Amtech Systems,3.3467,0.709819,1.505961
PATI,"Patriot Transportation Holding, Inc.",14.457777,1.318141,1.417922
ISNS,图像传感系统,15.941916,3.625099,0.398321
CASH,米塔金融,19.126432,2.622753,4.661089
RMR,The RMR Group Inc,16.70506,6.8129,5.746762
MBCN,Middlefield Banc Corp,15.115853,1.303152,3.2714
RRR,Red Rock Resorts,11.720156,4.069798,2.541775
PENN,佩恩国民博彩,5.300807,106.342239,6.055681
CSIQ,阿特斯太阳能,6.401713,0.805581,2.28845
GSKY,Greensky Inc.,4.452849,163.914657,4.266931
TUSK,Mammoth Energy Services Inc.,7.005067,1.894181,3.780121
DISH,DISH Network Corporation,6.613174,2.114212,5.336318
SVVC,Firsthand Technology Value Fund,2.315301,0.587951,6.47
BBGI,比斯利,2.749901,0.778138,2.800101
HAFC,韩美金融,15.051671,1.504237,1.75728
AEIS,先进能源工业公司,15.069024,3.685816,3.720878
VIRT,"Virtu Financial, Inc.",10.672948,2.268428,2.047232
ARKR,Ark Restaurants Corp,15.728648,1.86565,1.443983
UBFO,United Security Bancshares,17.399023,1.80717,0.646588
ROAD,Construction Partners,11.207297,2.262189,1.116237
NVFY,Nova Lifestyle Inc,6.512707,0.66403,0.26717
BOFI,BofI控股,15.233861,2.411332,2.409107
CVTI,契诺货运,8.283556,1.810032,3.735111
ZEUS,Olympic Steel,8.143683,0.79191,2.621664
MBIN,Merchants Bancorp,12.136497,2.217361,2.237054
CAR,安飞士,6.641653,6.771957,4.78947
PMBC,太平洋商业合众银行,9.179297,1.758169,1.083961
TAOP,淘屏,19.234359,7.505777,0.069667
PANL,Universal Display Corporation,6.31901,0.974653,0.538059
YNDX,Yandex,14.902784,3.45131,2.022441
AROW,箭牌金融,16.282369,2.128992,2.422866
LITE,Lumentum Holdings Inc.,16.974495,4.461276,3.876404
LABL,Multi-Color Corporation,15.716379,1.788986,3.960836
LNTH,"Lantheus Holdings, Inc.",4.660504,13.24452,3.304364
ACLS,Axcelis科技设计公司,4.577268,1.623592,4.227412
DSKE,Hennessy Capital Acquisition Corp II,7.104489,1.403236,1.21754
WPP,WPP plc,7.216285,1.540424,10.39316
CWBC,西部社区银行,17.97525,1.399046,0.692619
VIA,维亚康姆,6.691298,1.91484,4.976613
FBIZ,第一商业金融服务,14.658706,1.145504,1.54925
FMBH,First Mid-Illinois Bancshares Inc,17.682101,1.546017,2.352096
TMSR,TMSR Holding Company Limited,0.097947,2.211468,39.853287
LBC,Luther Burbank Corp,9.403333,1.202028,1.270826
AMCX,AMC网络公司,7.775967,21.669972,8.121177
FLXS,弗莱克斯蒂尔工业,15.366374,1.124135,2.251019
SORL,瑞立集团,3.249938,0.464123,1.372334
IRCP,IRSA Propiedades Comerciales SA,1.511412,0.215394,16.540825
WVVI,Willamette Valley Vineyards,17.756298,1.433172,0.455613
FRPH,"FRP Holdings, Inc.",4.026213,1.762608,15.982762
ADES,Advanced Emissions Solutions Inc,6.480733,2.826505,1.748259
UBCP,联合合众银行,16.238445,1.508437,0.827727
MGLN,麦哲伦健康服务,16.111047,1.418543,4.735881
CZR,凯撒娱乐,0.828465,2.011827,11.708398
CVLY,Codorus Valley Bancorp,18.429011,1.632495,1.687014
GSM,Ferroglobe PLC,12.88997,1.3753,0.622965
TWNK,Hostess Brands Inc,5.176891,1.026067,2.339242
USLM,United States Lime & Minerals,15.274737,2.002427,5.041658
FFNW,First Financial Northwest,12.501793,1.240599,1.387001
DNKN,唐恩都乐,18.532593,-7.838785,4.128942
NTRI,NutriSystem Inc,19.743192,8.119099,1.841141
VSEC,VSE技术服务,10.08222,1.292524,3.667843
AABA,Altaba,2.008296,0.626712,32.276112
VNOM,Viper Energy Partners LP,16.325163,12.297924,2.356485
HBNC,哈里逊合众银行,17.873547,1.662393,1.140792
HMNF,HMN金融,16.484922,1.166091,1.255693
FLIC,第一长岛,14.240679,1.487598,1.537848
BOKF,BOK银行,18.104369,1.925697,5.775954
BWB,Bridgewater Bancshares,16.996826,1.937615,0.780734
ESBK,埃尔迈拉储蓄银行,15.450166,1.490503,1.317138
WSBF,Waterstone Financial,17.457707,1.16779,0.976646
DRYS,DryShips Inc,0.02281,0.657948,204.731049
LMST,"Limestone Bancorp, Inc",2.470491,1.296992,6.185005
DNBF,DNB金融,19.194088,1.443194,1.839108
LAUR,Laureate Education Inc.,10.03184,1.618463,1.530128
CBAN,科勒尼,16.238995,1.740526,1.120759
STX,希捷科技,12.134012,8.589669,4.104166
FHB,First Hawaiian Inc.,19.411127,1.585176,1.489352
SFNC,Simmons First National Corporation,18.110491,1.37127,1.76141
OFS,OFS Capital Corporation,13.270726,0.91519,0.944937
UCTT,超科林半导体,5.879965,1.236314,2.372463
FNJN,"Finjan Holdings, Inc.",2.688164,1.794707,1.584725
CCNE,CNB金融,18.393263,1.929847,1.715302
GABC,德美银行,19.587962,2.33871,1.926183
NBTB,NBT Bancorp Inc,18.687346,1.80648,2.167777
MRTN,马尔登运输,12.680186,2.244115,1.778365
TLF,Tandy Leather Factory,14.18208,1.135458,0.532362
LPLA,LPL Financial Holdings Inc,17.248772,5.651643,3.73128
UFCS,United Fire Group,17.017062,1.314321,2.974074
FMNB,Farmers National Banc Corp,16.253777,1.770064,0.975158
ESRX,快捷药方,11.111946,2.635031,8.171386
WTFC,Wintrust Financial Corporation,16.839324,1.691961,5.315534
UFPI,Universal Forest Products,16.333601,2.243748,2.301391
SASR,Sandy Spring Bancorp,17.408042,1.358906,2.255854
