code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
BPTH,"Bio-Path Holdings, Inc.",2.65,7.72,58810765,4.864916,0.0,4.541995,-15.701283
JSYNR,Jensyn Acquistion Corp. Rights,0.4,0.38,2175,0.115015,0.0,0.0,0.0
NH,Nant Health LLC,0.6885,1.12,5373948,4.61416,0.0,2.395279,-1.51451
CIFS,圣盈信,2.41,3.25,9563884,0.561803,3.146536,0.933014,1.032882
AUMN,黄金矿业,0.295,0.285,769552,2.042664,0.0,3.568407,-0.030925
PBYI,Puma Biotechnology Inc,36.85,38.93,9178466,2.968554,0.0,32.334966,-3.891895
GSB,GlobalSCAPE Inc,5.04,6.06,919321,4.711958,303.805086,6.501923,0.019947
LXRX,莱斯康制药,5.57,6.81,3296495,2.217674,0.0,-24.534947,-1.254598
SAUC,"Diversified Restaurant Holdings, Inc. ",1.01,1.13,327915,4.077094,0.0,-1.848526,-0.835257
RRTS,Roadrunner Transportation System,0.44,0.5264,2414058,1.999802,0.0,3.479261,-3.391603
CSLT,"Castlight Health, inc.",3.2,3.95,2408092,2.381178,0.0,2.835197,-0.341661
ZS,Zscaler Inc.,57.49,60.57,9657906,2.414293,0.0,26.724688,-0.389646
AQMS,"Aqua Metals, Inc.",2.65,3.43,3407980,2.596564,0.0,2.418408,-1.128512
APLS,Apellis Pharmaceuticals Inc.,15.3,18.31,539427,1.831641,0.0,6.401548,-2.343941
WFT,Weatherford International Ltd,0.652,0.7776,30399824,1.209274,0.0,-0.210532,-2.819458
SQBG,Sequential Brands Group Inc.,1.72,2.01,10178776,2.044177,0.0,0.465946,-2.697966
WHLRP,Wheeler Real Estate Investment Trust Inc. - Preferred Stock,11.09,13.0,29821,1.356845,0.0,203.370118,-3.177887
SSY,Sunlink Health Systems Inc,1.33,1.46,554239,4.534275,0.0,0.628399,-0.354847
BIO.B,Bio-Rad Laboratories Inc Cl B,319.5,322.0,452,2.825,7.619226,2.402513,42.261513
XBIT,XBiotech Inc.,8.0,9.34,540769,2.988225,0.0,7.127781,-0.637854
XRAY,登士柏国际,46.99,49.13,9985769,2.723116,0.0,2.126364,-7.363364
FTCH,Farfetch Ltd,28.8,28.82,8418941,2.310739,0.0,7.479588,-2.896205
HABT,"The Habit Restaurants, Inc.",13.24,13.25,1869040,3.160777,0.0,2.225128,-0.197017
BIO,Bio Rad实验室,302.0,317.41,952382,2.321264,7.510616,2.368266,42.261513
NK,"NantKwest, Inc.",1.14,1.32,928120,3.029765,0.0,0.645203,-1.305643
DGLY,Digital Ally,3.65,4.2,448377,2.732253,0.0,13.120263,-1.817909
GPS,盖璞,30.0,29.51,41866521,2.799517,12.402964,3.168061,2.37927
SRCL,消毒循环,49.98,51.63,4044842,2.380059,30.018663,1.807765,1.71993
ACHC,阿卡迪亚医疗保健公司,26.38,30.41,3764271,2.08036,11.789971,1.150242,2.579311
UAVS,"AgEagle Aerial Systems, Inc.",0.5091,0.56,621980,1.41284,0.0,1.301713,-0.274426
FOLD,爱美医疗,12.28,13.92,6605605,1.543589,0.0,8.844583,-1.88865
PFNX,Pfenex,4.59,5.16,460234,2.10095,0.0,2.411463,-1.035176
CKPT,"Checkpoint Therapeutics, Inc.",2.9,3.2,47660,1.288171,0.0,4.947947,-1.157526
FTEK,燃料技术,1.29,1.41,86469,2.516047,0.0,1.023408,-0.095307
EDIT,"Editas Medicine, Inc.",21.02,23.64,2537131,1.750716,0.0,5.002456,-2.646835
MGTA,Magenta Therapeutics Inc.,13.09,15.02,154216,0.685821,0.0,3.111667,-4.615021
IGC,India Globalization Capital,2.88,2.8,7837032,1.493698,0.0,14.81093,-0.094483
WATT,Energous Corp,5.87,6.58,3084946,0.87773,0.0,9.501303,-1.994804
AMC,AMC院线,15.66,16.0,10045805,2.970199,0.0,1.320229,-2.650967
PETZ,天地荟食品,0.5211,0.57,79605,0.765689,0.0,1.10455,-0.58198
EPE,EP Energy Corporation,0.5467,0.61,1189738,1.167146,0.0,0.494374,-0.632218
CORE,科尔.马克控股,32.98,35.92,713456,2.008569,37.811839,2.906652,0.949967
ICD,Independence Contract Drilling,3.58,3.53,438647,2.121427,0.0,1.183756,-0.449855
ELGX,恩多勒吉克斯,0.5441,0.5933,823677,0.930222,0.0,1.548178,-0.906871
