code,name,open,latestPrice,volume,volumeRatio,pe,pb,eps
SLNO,Capnia Inc,2.91,2.68,80115642,4.945922,0.0,5.99112,-1.021682
CELH,"Celsius Holdings, Inc.",3.8,4.85,347005,2.598296,0.0,23.423078,-0.228164
TENX,"Tenax Therapeutics, Inc.",1.62,2.09,1909022,1.306441,0.0,0.620274,-4.1217
XFOR,X4 Pharmaceuticals Inc,15.19,19.43,48850,1.232745,0.0,13.108279,-3.006793
AVID,艾维科技,5.35,6.23,2922552,4.414018,0.0,-1.56807,-0.26
SWAV,Shockwave Medical Inc .,30.62,38.1,334507,1.150771,0.0,-10.665552,-23.391926
TPHS,Trinity Place Holdings Inc,3.63,4.67,254507,3.005976,0.0,2.384063,-0.120877
MGTA,Magenta Therapeutics Inc.,13.96,17.3,1448661,3.071011,0.0,3.58401,-4.615021
CATS,"Catasys, Inc.",12.51,13.82,1041737,3.719485,0.0,-24.874391,-0.890755
KEG,克罗公司,5.05,6.15,1014834,1.537994,0.0,1.85539,-4.384987
ACHV,"Achieve Life Sciences, Inc.",4.16,3.01,14107092,4.219539,0.0,1.428306,-5.994757
AVGR,"Avinger, Inc.",0.73,0.89,12270022,2.52415,0.0,4.527997,-3.339758
DRAD,Digirad Corporation,0.72,0.85,763857,3.609242,23.280655,0.667845,0.036511
SRTS,"Sensus Healthcare, Inc.",7.59,9.23,110085,1.80212,0.0,5.620481,-0.143298
UAVS,"AgEagle Aerial Systems, Inc.",0.45,0.581139,1105700,3.434935,0.0,1.350851,-0.274426
LPTX,Leap Therapeutics Inc,2.01,2.25,5640682,1.609866,0.0,7.55668,-2.399965
CWBR,"CohBar, Inc.",3.12,3.8,334899,3.022892,0.0,7.633129,-0.354578
CFMS,"ConforMIS, Inc.",1.49,1.78,2338913,2.880688,0.0,3.339548,-0.739999
BNGO,Bionano Genomics,4.1,5.0,148389,3.314385,0.0,3.313552,-6.734864
OMED,"OncoMed Pharmaceuticals, Inc.",0.85,0.991,3363398,4.077223,0.0,0.794963,-0.210727
RVP,Retractable Technologies Inc,0.78,0.9,5539197,4.940744,0.0,1.174257,-0.092618
TIS,Orchids Paper Products Inc,1.26,1.5,357597,2.225755,0.0,0.137035,-1.537544
FAMI,"Farmmi, Inc.",3.25,3.75,583496,1.978056,13.004668,2.439979,0.288358
FRAN,Francesca’s Holdings Corporation,0.7345,0.8584,2302976,2.522316,0.0,0.327654,-0.455345
CATB,"Catabasis Pharmaceuticals, Inc.",5.81,6.71,606518,1.753182,0.0,2.139625,-5.12
ITMR,Itamar Medical Ltd,12.4,14.0,7001,1.699849,0.0,0.0,0.0
FEIM,高频电子,10.94,12.39,60351,3.153959,0.0,1.674548,-1.4268
SND,Smart Sand Inc.,3.52,3.99,1194621,1.511082,8.673913,0.781642,0.46
HYRE,Hyrecar Inc.,6.6,7.52,1489470,0.792293,0.0,11.185238,-1.416702
PTGX,Protagonist Therapeutics Inc,9.95,11.52,416531,1.710265,0.0,2.390421,-1.740435
PLX,Protalix BioTherapeutics Inc,0.4699,0.491,1055039,2.109314,0.0,-1.120905,-0.35438
QFIN,360金融,13.58,14.6,103763,1.67024,0.0,-5.821776,-5.228354
QTT,趣头条,13.75,15.63,2110857,1.244746,0.0,19.751995,-2.107135
MICT,Micronet Enertec Technologies I,1.1549,1.2847,105013,0.731865,0.0,9.239273,-0.44044
REED,Reeds Inc,2.55,2.85,374429,1.922845,0.0,-19.35074,-0.809648
ONTX,"Onconova Therapeutics, Inc.",3.65,4.07,462171,3.955176,0.0,2.126526,-7.352572
RKDA,"Arcadia Biosciences, Inc.",8.5,7.9,1998049,3.000475,0.0,2.919197,-5.087704
MDCA,MDC Partners Inc,2.45,2.29,4710722,2.52359,0.916228,-0.394336,2.499378
SYNH,"Syneos Health, Inc.",43.0,46.92,2097103,2.33645,0.0,1.709605,-0.353297
PHAS,Phasebio Pharmaceuticals Inc,3.35,3.72,620208,2.963793,0.0,-0.76222,-28.762156
CVRS,"Corindus Vascular Robotics, Inc.",1.84,1.98,3489524,1.726122,0.0,-41.149198,-0.224887
HJLI,Hancock Jaffe Laboratories Inc.,2.0,2.35,606761,0.554418,0.0,16.244889,-1.75
APYX,Apyx Medical Inc,7.05,7.92,1045865,2.656702,4.106067,3.071501,1.928853
CURO,Curo Group Holdings Corp.,10.05,11.24,1042827,3.478448,0.0,-27.064611,-0.481348
RNDB,"Randolph Bancorp, Inc.",15.2258,17.05,49518,2.707144,0.0,1.210514,-0.374457
MPO,Midstates Petroleum,8.6,9.67,403332,1.55681,5.063212,0.361708,1.909855
CUE,"Cue Biopharma, Inc.",7.21,8.01,317116,2.546143,0.0,4.880172,-1.939999
LLEX,Lilis Energy Inc,1.42,1.62,1242430,1.48639,0.0,8.687752,-0.469998
VYGR,Voyager Therapeutics Inc,17.7,19.66,1822108,2.063594,0.0,13.80636,-2.75334
CIDM,Cinedigm数码影院,1.81,1.82,491261,1.906957,0.0,-1.942399,-0.273701
BTX,BioTime Inc,1.38,1.73,2529198,1.553457,0.0,2.831286,-0.362402
ARCW,阿尔克科技,0.97,1.06,15337,1.459388,0.0,0.913806,-0.468724
MBOT,Microbot Medical Inc,7.78,8.59,629354,2.566404,0.0,6.100041,-2.388245
EDGE,Edge Therapeutics,0.46,0.5036,1158720,2.93321,0.0,0.531795,-1.308103
AUMN,黄金矿业,0.3,0.33,173960,1.328554,0.0,4.165484,-0.02069
ISIG,Insignia Systems,1.27,1.3299,36875,2.423308,11.194445,0.973588,0.1188
TLRA,"Telaria, Inc.",5.45,5.96,3562752,1.689868,0.0,4.658854,-0.182627
PCTI,PC-Tel,5.11,5.35,175677,1.469584,0.0,1.322342,-0.75
AKAO,Achaogen Inc,0.53,0.5633,2570970,0.774638,0.0,1.436396,-4.120788
SBOW,SilverBow Resources Inc,20.82,22.54,127733,2.600618,3.555205,0.959008,6.34
DOMO,Domo Inc.,37.97,41.71,4153874,1.924013,0.0,24.671655,-9.433243
DVCR,Diversicare Healthcare Services,3.82,4.29,11148,1.660757,0.0,-23.342785,-1.160703
LEVB,Level Brands Inc.,4.08,4.48,169811,1.351598,0.0,2.709016,-0.053221
RIOT,"Riot Blockchain, Inc.",3.42,3.73,1376070,1.719689,0.0,3.438705,-4.529852
CPSH,CPS Technologies Corp,1.49,1.6,123884,2.41977,0.0,3.620156,-0.280628
VFF,Village Farms International Inc,13.09,14.31,1656133,0.966815,0.0,0.0,0.0
UTI,Universal Technical Institute In,3.015,3.32,54576,2.341032,0.0,1.707208,-1.76787
MRKR,"Marker Therapeutics, Inc.",5.34,5.86,298094,1.48507,0.0,385.06152,-1.288557
GDP,古德里奇,12.3,13.6,86344,3.003249,104.615388,2.564922,0.13
ORN,Orion Marine Group,3.79,4.15,607825,2.819374,12.516664,0.509625,0.331558
BRFS,BRF SA,5.6,5.9,10250171,2.220071,0.0,0.687381,-1.422025
TWI,Titan International Inc,4.69,5.12,1343822,1.516422,85.333335,1.099902,0.06
SPEX,Spherix Incorporated,0.879389,0.8784,380714,3.08217,4.182877,0.620248,0.209999
ODT,Odonate Therapeutics LLC,21.65,23.75,316694,2.135686,0.0,5.124443,-3.636617
NRCG,Hennessy Capital Acquisition Corp. III,8.2,8.97,118380,3.599621,0.149163,-14.49789,60.135723
ABEO,Abeona Therapeutics Inc,7.5,8.1,657130,1.641262,0.0,2.58478,-0.959103
HUYA,虎牙,24.75,26.71,6387886,1.510309,0.0,6.474073,-2.184348
ORTX,Orchard Therapeutics Plc,14.73,16.25,61146,1.436688,0.0,-7.571217,-13.684727
GSHD,Goosehead Insurance,24.46,27.04,349278,1.505699,0.0,4.721274,-0.66
MKSI,MKS仪器,82.15,87.74,1251278,1.850021,12.288516,2.538619,7.14
RLM,Realm Therapeutics plc,3.01,3.28,29350,3.07362,0.0,15.745791,-0.175404
ODC,美国石油勘探,28.79,31.33,35668,2.727954,24.687914,1.784851,1.269042
HSDT,"Helius Medical Technologies, Inc.",6.5,7.13,129013,2.05603,0.0,18.73755,-1.26
SOXL,三倍做多半导体ETF-Direxion Daily,131.48,137.79,1526958,1.875806,0.0,0.0,0.0
SVBI,Severn Bancorp Inc,8.78,9.34,97841,3.005702,13.940319,1.20683,0.669999
ELF,e.l.f. Beauty Inc.,8.61,9.24,892359,1.058863,28.875089,1.967017,0.319999
AQMS,"Aqua Metals, Inc.",3.9,4.18,1460974,1.881462,0.0,3.701807,-1.178574
TEUM,Pareteum Corp,4.8,5.21,6122058,0.778627,0.0,3.87709,-0.201011
TTPH,Tetraphase Pharmaceuticals Inc.,1.33,1.41,2128287,2.603487,0.0,0.948925,-1.374071
LUNA,Luna Innovations Incorporated,3.91,4.24,403527,2.687067,10.887651,1.901033,0.389432
PNRG,PrimeEnergy Corporation,159.33,164.8,1092,0.502023,16.633691,3.512161,9.907602
EDRY,EuroDry Ltd.,7.51,7.75,15319,0.943823,31.206838,0.405833,0.248343
MTNB,"Matinas BioPharma Holdings, Inc",1.16,1.3,4907769,2.923604,0.0,-105.724691,-0.158264
CLRB,Cellectar Biosciences Inc.,2.16,2.34,848909,3.079712,0.0,1.037087,-5.226525
CBK,克里斯托弗·班克斯,0.39,0.39,308193,0.75591,0.0,0.729718,-0.88
ENSV,Enservco Corp,0.5,0.5275,113317,1.400445,0.0,5.703059,-0.139375
ULTA,Ulta Salon,327.97,338.41,3882889,2.542669,30.933274,11.027153,10.94
CKPT,"Checkpoint Therapeutics, Inc.",3.01,3.27,28286,1.002765,0.0,5.056184,-1.157526
AGM.A,联邦农业抵押贷款,71.23,76.35,7650,4.459601,8.646659,1.486962,8.83
AVGO,安华高科技,286.46,290.29,14406587,2.671036,10.948785,4.951128,26.513443
SREV,ServiceSource International,0.97,1.04,841116,1.929687,0.0,0.949125,-0.271563
LIVX,"LiveXLive Media, Inc.",5.77,6.22,453178,3.24808,0.0,21.981289,-0.722336
MOXC,魔线,0.7801,0.84,135346,1.523731,0.0,-5.452273,-0.099563
LINC,林肯教育服务,2.94,3.19,24187,2.526902,0.0,2.009539,-0.269999
HTHT,华住,39.02,39.04,7829695,2.314847,57.902574,12.371076,0.674236
AXU,Alexco Resource Corp,1.27,1.34,337694,0.911598,0.0,1.695881,-0.04
TTI,Tetra Technologies Inc,2.36,2.55,2265798,2.516731,0.0,1.847486,-0.496506
MACK,Merrimack Pharmaceuticals,6.73,7.24,120653,2.078683,0.0,1.642356,-3.035749
TGC,Tengasco Inc,1.02,1.08,3719,0.390127,6.439303,1.682594,0.16772
WOW,Wideopenwest Inc.,8.69,9.18,786959,1.951806,0.0,-2.613915,-1.11
FGP,法瑞加合作伙伴,1.28,1.35,636164,1.203605,0.0,-0.130348,-2.226484
CIR,Circor国际,29.68,32.01,560933,2.414538,0.0,1.201593,-1.99
CUTR,古特拉,17.02,18.3,383226,1.812823,0.0,5.485278,-2.234405
IMTE,Integrated Media Technology Limited,8.8,9.5,11983,0.919816,0.0,2.107487,-0.580724
HAIR,Restoration Robotics Inc,1.38,0.9,22601040,4.578487,0.0,3.930893,-0.740253
EKSO,Ekso Bionics Holdings Inc,2.3,2.48,742444,2.153465,0.0,58.41498,-0.440836
UUU,Universal Security Instruments I,1.2902,1.38,115370,1.165926,0.0,0.289421,-0.697429
BDSI,BioDelivery科学国际有限公司,4.99,4.98,1988292,1.529389,0.0,11.857279,-0.73406
CVIA,Covia Holdings Corp.,6.03,6.41,1231398,2.048403,0.0,0.566314,-35.332603
CAAP,Corporacion America Airports S.A.,7.93,8.38,148438,2.78959,0.0,2.087515,-0.194381
