change,change_ratio,eps,hold,instrument_type,last_price,market_value,mv,open_price,price,price_direct,price_direction,price_direction_desc,security_code,security_id,security_name,security_type,short_name,status,turnover,volume,watched
-0.030,-61.22%,0.0,0,3,0.049,0,0.0,0.045,0.019,down,-1,down,SNOAW,73615739665849,"Sonoma Pharmaceuticals, Inc. Warrants",us,Sonoma Pharm,0,167.272,4060,-1
-0.064,-53.33%,0.0,0,3,0.120,0,0.0,0.051,0.056,down,-1,down,RXIIW,73684459142628,RXi Pharmaceuticals Corp.,us,RXi Pharmace,0,919.629,1.50万,-1
-0.200,-45.45%,0.0,0,3,0.440,858.77万,8587663.44,0.260,0.240,down,-1,down,RWLK,210345,ReWalk Robotics,us,ReWalk Robot,0,242.27万,968.79万,-1
-1.360,-28.94%,0.0,0,4,4.700,4.57亿,456912000.0,4.000,3.340,down,-1,down,DGAZ,207637,VelocityShares反向三倍天然气ET,us,VelocityShar,0,3.94亿,1.07亿,-1
-2.290,-27.46%,0.0,0,3,8.340,4592.42万,45924206.9,6.750,6.050,down,-1,down,LMB,73529840319889,"Limbach Holdings, Inc.",us,Limbach Hold,0,90.26万,15.06万,-1
-0.420,-25.45%,0.0,0,3,1.650,1386.72万,13867174.98,1.180,1.230,down,-1,down,ESEA,202365,Euroseas Ltd.,us,Euroseas Ltd,0,234.42万,183.73万,-1
-2.850,-25.15%,0.0,0,3,11.330,5665.92万,56659221.76,9.160,8.480,down,-1,down,PRTHU,76184130112065,"Priority Technology Holdings, Inc.",us,Priority Tec,0,1764,200,-1
-1.570,-23.90%,0.0,0,3,6.570,4.37亿,437292155.0,5.700,5.000,down,-1,down,GOGO,206530,"Gogo, Inc.",us,"Gogo, Inc.",0,9411.61万,1750.93万,-1
-0.370,-23.13%,0.0,0,3,1.600,1.16亿,115750739.16,1.540,1.230,down,-1,down,AKER,209228,"Akers Biosciences, Inc.",us,Akers Biosci,0,146.79万,110.99万,-1
-0.120,-22.64%,0.0,0,3,0.530,0,0.0,0.430,0.410,down,-1,down,GLU.RT,76660871482365,GABELLI GLOBAL UTILITY & INCOME TR,us,GABELLI GLOB,0,4.86万,10.90万,-1
-3.390,-20.30%,0.0,0,4,16.700,2129.60万,21296000.0,14.970,13.310,down,-1,down,KOLD,208722,ProShares两倍做空彭博天然气ETF,us,ProShares两,0,792.03万,55.69万,-1
-0.310,-19.50%,0.0,0,3,1.590,0,0.0,1.535,1.280,down,-1,down,BDRBF,76347338869420,庞巴迪,us,庞巴迪,0,153.39万,113.70万,-1
-0.990,-19.41%,0.0,0,3,5.100,7631.98万,76319777.79,5.090,4.110,down,-1,down,SCPH,75063143646647,scPharmaceuticals,us,scPharmaceut,0,64.52万,14.72万,-1
-0.417,-19.05%,0.0,0,3,2.189,0,0.0,1.850,1.772,down,-1,down,IMRNW,74350179074313,Immuron Ltd.,us,Immuron Ltd.,0,9283.676,5097,-1
-37.960,-18.76%,34.114,0,3,202.390,1003亿,100302300000.0,163.320,164.430,down,-1,down,NVDA,202597,英伟达,us,英伟达,0,81.26亿,4908.80万,-1
-0.089,-18.39%,0.0,0,3,0.484,985.55万,9855503.59,0.415,0.395,down,-1,down,VLRX,74066711230380,Valeritas Holdings,us,Valeritas Ho,0,357.69万,873.67万,-1
-0.030,-17.65%,0.0,0,3,0.170,0,0.0,0.150,0.140,down,-1,down,CNACW,74676596589189,Constellation Alpha Capital Corp.,us,Constellatio,0,2016.999,1.44万,-1
-6.440,-17.60%,0.0,0,3,36.600,40.13亿,4013252464.0,31.340,30.160,down,-1,down,HCM,72481868299006,和黄药业,us,和黄药业,0,5222.80万,178.43万,-1
