code,name,pe,pb,eps,2018_profit,2017,profit,,,2016,profit,,2015,profit,2014,profit
CLVS,Clovis Oncology,0,5.429305,-5.625998,0,55511000,10251000,71068%,14544%,78000,70000,,0,0,13625000,0
PRTK,Paratek Pharmaceuticals Inc.,0,3.395947,-3.360973,0,12616000,60072000,43403%,-28%,29000,83460000,,0,50765000,4342000,5014000
BGNE,百济神州,0,7.968482,-4.451383,0,255000000,274000000,23732%,179%,1070000,98033000,,8816000,58250000,13035000,21862000
ARWR,Arrowhead Research Corporation,0,15.984727,-0.67276,0,31407700,0,19741%,#DIV/0!,158300,0,,382000,0,175000,0
ASCMA,ASCENT资本集团,0,0,-8.87,0,0,,,,0,,,0,,0,
TYME,"Tyme Technologies, Inc.",0,12.282331,-0.243678,0,0,,,,0,,,0,,0,
SAEX,SAExploration Holdings Inc.,0,2.612212,-10.017001,0,127000000,93229000,-38%,,206000000,144000000,,228000000,159000000,387000000,315000000
PTE,"PolarityTE, Inc.",0,4.590699,-5.177525,0,0,0,,,1542000,286000,,6693000,3275000,34368000,28663000
TELL,Tellurian Inc.,0,6.385843,-0.432909,0,5441000,67063000,17452%,42%,31000,47190000,,1686000,263000,1460000,129000
MBOT,Microbot Medical Inc,0,2.566494,-0.208001,0,0,,,,0,,,0,,0,
AKBA,"Akebia Therapeutics, Inc.",0,2.661031,-1.172309,0,178000000,231000000,11496%,99%,1535000,116000000,,0,43016000,0,23263000
NTEC,Intec Pharma Ltd.,0,1.961872,-1.527395,0,0,,,,0,,,0,,0,
ARDM,Aradigm Corporation,0,-0.898959,-1.11132,0,14465000,13815000,7318%,-43%,195000,24387000,,23429000,35276000,33561000,31172000
CNAT,Conatus Pharmaceuticals Inc.,0,7.13035,-0.593648,0,35376800,43220400,4328%,113%,799000,20293600,,0,16297600,0,14908800
WINS,稳盛金融,69.935981,4.665557,0.934569,0,0,,,,0,,,0,,0,
PICO,PICO控股,0,1.380564,-0.18078,0,26388000,13216000,4069%,3954%,633000,326000,,3856000,1239000,192000000,158000000
RDHL,Redhill Biopharma Ltd,0,5.26766,-2.4185,0,4007000,2126000,3867%,#DIV/0!,101000,0,,3000,0,7000000,1050000
JAGX,"Jaguar Animal Health, Inc.",0,0.492226,-2.195756,0,4361200,5149900,2982%,-29%,141500,7258800,,391000,174900,0,
