code,name,pe,pb,eps,2018_profit,2017_profit,2016_profit,2015_profit,2014_profit
ALT,"Altimmune, Inc.",0.0,0.65847,-3.6701669999999997,0,10738300.0,3236200.0,4654500.0,5548200.000000001
NBEV,New Age Beverages Corporation,0.0,4.151528,-0.349023,0,52188300.0,25301800.0,2421800.0,2789900.0
MTEM,"Molecular Templates, Inc.",0.24488400000000002,2.7206240000000004,25.522245,0,3395000.0,1880000.0,526500.0,0
TLRY,Tilray Inc.,0.0,565.9016730000001,-0.302787,0,20538000.0,12644000.0,0,0
ASCMA,ASCENT资本集团,0.0,0.0,-8.87,0,0,0,0,0
TYME,"Tyme Technologies, Inc.",0.0,12.282331,-0.24367800000000003,0,0,0,0,0
SAEX,SAExploration Holdings Inc.,0.0,2.612212,-10.017000999999999,0,127000000.0,206000000.0,227999999.99999997,387000000.0
PTE,"PolarityTE, Inc.",0.0,4.590699,-5.177525,0,0,1542000.0,6693000.0,34368000.0
AWSM,Cool Holdings Inc,0.0,16.832243,-6.865460000000001,0,23386000.0,22276200.0,16714500.0,48144000.0
MBOT,Microbot Medical Inc,0.0,2.566494,-0.20800100000000002,0,0,0,0,0
HTHT,华住,46.081787,8.645166,0.674236,0,8130000000.0,6506999999.999999,5775000000.0,4965000000.0
NTEC,Intec Pharma Ltd.,0.0,1.961872,-1.527395,0,0,0,0,0
TRVG,Trivago,0.0,2.123181,-0.212637,0,1035000000.0,754000000.0,493000000.0,309000000.0
CSBR,"Champions Oncology, Inc.",0.0,259.26727400000004,-0.029149,20241000.0,15411000.0,11182000.0,8863000.0,11550000.0
WINS,稳盛金融,69.93598100000001,4.665557,0.9345690000000001,0,0,0,0,0
CRNT,Ceragon网络,15.45354,1.7888080000000002,0.205131,0,332000000.0,294000000.0,349000000.0,371000000.0
HYGS,Hydrogenics Corporation,0.0,6.0606089999999995,-0.621915,0,48052000.0,28990000.0,35864000.0,45548000.0
HBP,Huttig Building Products,0.0,2.128139,-0.345024,0,753000000.0,714000000.0,660000000.0,624000000.0
MSVB,"Mid-Southern Bancorp, Inc.",19.494778,2.070257,0.718141,0,0,0,0,0
CDTI,Clean Diesel Technologies,0.0,3.153777,-0.255454,0,28353000.0,36839000.0,39738000.0,41231000.0
ELOX,"Eloxx Pharmaceuticals, Inc.",0.0,8.604464,-3.713997,0,0,0,0,0
DCIX,Diana Containerships Inc,0.39864099999999997,0.12809700000000002,3.1105650000000002,0,23806000.0,33194000.0,62180000.0,54068000.0
NEPT,Neptune Technologies & Bioressources,58.875001,5.625796,0.08,0,43216000.0,22632399.999999996,15069900.0,19496000.0
SURF,Surface Oncology,0.0,2.619684,-4.240351,0,12826000.0,6632000.0,0,0
TOPS,TOP Ships Inc,0.0,0.18597,-12.605077,0,39363000.0,28433000.0,13075000.0,3602000.0
LINK,"Interlink Electronics, Inc",38.950298,3.205531,0.112451,0,11153000.0,11886000.0,10514000.0,10278000.0
DRYS,DryShips Inc,0.025741000000000003,0.7424810000000001,204.731049,0,101000000.0,51934000.0,969999999.9999999,2186000000.0
GLBS,Globus Maritime Limited,0.0,0.303174,-0.16195299999999999,0,14423000.0,9018000.0,12715000.0,26378000.0
MARPS,海洋石油投资,12.43625,8.732161999999999,0.32,0,0,0,0,0
AYTU,"Aytu BioScience, Inc.",0.0,0.402565,-306.125702,3660100.0,3221600.0000000005,2562400.0,261800.0,58900.0
INPX,Inpixon,0.006409000000000001,2.604699,24.186378,0,45134000.0,53167000.0,66957000.0,62949000.0
CRON, Cronos Group Inc.,0.0,0.0,0.0,0,0,0,0,0
