code,name,pe,pb,eps,2017_profit,,2016_profit,,,2015_profit,,2014_profit
TRVG,Trivago,0,2.123181,-0.212637,1035000000,281000000,754000000,20000000,261000000,493000000,184000000,309000000
HDSN,哈德森科技,0,0.499942,-0.822327,140000000,35000000,105000000,9722000,25278000,79722000,23912000,55810000
SFET,Safe-T Group Ltd.,0,7.491614,-12.6942,1096000,253000,843000,125000,128000,715000,184000,531000
NVCR,NovoCure Limited,0,42.91691,-0.650146,177000000,94112000,82888000,44311000,49801000,33087000,17597000,15490000
RDVT,"Red Violet, Inc.",0,1.571056,-1.812086,8578000,3993000,4585000,3411000,582000,4003000,4003000,0
IQ,爱奇艺,0,5.386364,0,15887000000,5973000000,9914000000,843000000,5130000000,4784000000,4784000000,0
OPRX,OptimizeRx Corporation,0,13.221088,-0.082285,12127400,4375900,7751500,3845100,530800,7220700,717700,6503000
DRIO,LabStyle Innovations Corp,0,6.409802,-0.994627,5170000,2367000,2803000,387000,1980000,823000,772000,51000
RMNI,"Rimini Street, Inc.",0,-1.896566,-0.372937,213000000,53000000,160000000,11000000,42000000,118000000,32652000,85348000
TSLA,特斯拉,0,13.058183,-16.17543,11759000000,4759000000,7000000000,1805000000,2954000000,4046000000,848000000,3198000000
HTGM,"HTG Molecular Diagnostics, Inc.",0,4.501169,-0.823943,14759600,9626900,5132700,8210000,1416900,3715800,1430400,2285400
VCEL,Vericel Corporation,0,6.626048,-0.472008,62760000,8377000,54383000,5162000,3215000,51168000,22372000,28796000
DYNT,Dynatronics Corporation,0,2.54627,-1.166049,35758300,5346500,30411800,4052200,1294300,29117500,1673300,27444200
ASPU,Aspen Group Inc.,0,4.103053,-0.594884,14246700,5793000,8453700,2565100,3227900,5225800,1244100,3981700
SRNE,Sorrento Therapeutics Inc.,0,1.943858,-0.332006,152000000,143848000,8152000,140286000,3562000,4590000,765000,3825000
TGEN,Tecogen Inc,0,2.43279,-0.01705,33202700,8712300,24490400,5664600,3047700,21442700,2100000,19342700
JD,京东,0,4.253616,-0.05216,3.62332E+11,1.04042E+11,2.5829E+11,26794000000,77248000000,1.81042E+11,66040000000,1.15002E+11
OPNT,"Opiant Pharmaceuticals, Inc.",0,7.445095,-0.882567,18406100,13308500,5097600,9010900,4297600,800000,800000,0
