,2014-12-31,2015-12-31,2016-12-31,2017-12-31,code,name,category,pe
0,0.0,0.0,0.0,0.0,AAPL,苹果公司,计算机,22.96878795
1,-0.0224,0.0445,0.1229,0.1095,AMZN,亚马逊公司,互联网,370.00612123
2,0.1361,0.1359,0.1401,0.083,GOOGL,谷歌A类股,媒体内容,43.20014635
3,0.1361,0.1359,0.1401,0.083,GOOG,谷歌,互联网,42.64060194
4,0.0,0.0,0.0,-0.0804,MSFT,微软公司,软件,49.49765007
5,0.1299,0.1277,0.1538,0.1516,BSMX,桑坦德银行墨西,银行,12.74193554
6,0.0814,0.0834,0.1726,0.2143,FB,Facebook,媒体内容,59.4040134
7,0.0735,0.0764,0.0189,0.06,HSEA,HSBC Holdings Plc,,376.57143569
8,0.0,0.0,0.0,0.0546,BABA,阿里巴巴,,87.57603069
9,0.083,0.0944,0.0856,0.1289,BRK.A,伯克希尔-哈撒韦,保险,24.71416754
10,0.083,0.0944,0.0856,0.1289,BRK.B,伯克希尔-哈撒韦B,保险,0.01627385
11,0.0,0.0,0.0,0.0909,DEO,帝亚吉欧公司,饮料,31.97198499
12,0.0938,0.0987,0.0973,0.0956,JPM,摩根大通公司,,17.18255244
13,0.1857,0.0936,0.0482,0.102,XOM,埃克森美孚公司,,44.3138286
14,0.0983,0.0962,0.095,0.1104,FMX,Fomento Economico Mexicano SAB de CV,饮料,30.32380754
15,0.0,0.0,0.0,0.0216,JNJ,强生公司,制药,21.23608836
16,0.0,0.0,0.0,0.0755,V,维萨卡公司,,54.03876058
17,0.0852,0.0134,0.0253,0.0679,RDS.B,荷兰皇家壳牌石油公司,,
18,0.0852,0.0134,0.0253,0.0679,RDS.A,荷兰皇家壳牌石油公司,,17.32673284
19,0.0227,0.0621,0.067,0.0682,BAC,美国银行公司,银行,19.03333282
20,0.0,0.0,0.0,0.0482,HDB,HDFC银行,银行,269.60976068
21,0.1274,0.12,0.11,0.1079,WFC,富国银行,银行,13.87468684
22,0.0,0.0,0.0,0.0,WMT,沃尔玛公司,零售,20.02282983
23,0.0647,0.1084,0.1632,0.0,ENIC,Enel Chile SA,,8.5999994
24,0.166,0.1655,0.176,0.208,UNH,美国联合健康集团,卫生保健设施,35.6827603
25,0.0,0.0,0.1558,0.0,INTC,英特尔公司,半导体,24.63207738
26,0.1236,0.0306,-0.0029,0.0621,CVX,雪佛龙公司,油气,-459.40739254
27,0.0,0.0,0.0,0.0207,BBL,必和必拓公司,,47.19354737
28,0.0129,0.0138,0.0469,-0.0197,FFEU,Barclays ETN+FI Enhanced Europe 50 ETN,,
29,0.0129,0.0138,0.0469,-0.0197,FIYY,Barclays ETN+FI Enhanced Global High Yield ETN,,
30,0.03,0.0203,0.0447,0.0793,LYG,劳埃德银行,银行,27.74999998
31,0.0,0.0,0.0,0.0,HD,家得宝公司,零售,30.80465245
32,0.128,0.1075,0.1211,0.298,PFE,辉瑞制药公司,制药,32.07692321
33,0.8742,1.0299,0.5662,0.6836,VZ,威讯通信公司,,16.01557609
34,0.53,0.6282,0.7141,0.7031,MA,万事达卡公司,商业服务,55.80216815
35,0.0,0.0,0.0,0.0493,TM,丰田汽车公司,汽车制造,11.90349202
36,0.1451,0.2307,0.0894,0.1038,NVS,诺华公司,生物技术和制药,28.13571433
37,0.6196,0.8091,5.5815,19.8956,BA,波音公司,航空航天\/国防,46.09592673
38,0.2083,0.2158,0.034,0.1145,BUD,百威英博公司,饮料,146.36619903
39,0.0,0.0,0.0,0.0468,PG,宝洁公司,,14.52564048
