code,name,pe,pb,eps
VJET,Voxeljet AG,0.0,1.694205,-0.522286
VEEV,Veeva Systems Inc.,88.679449,13.743376,1.134874
AMBO,安博教育,13.978916,5.250778,0.425641
JNUG,金矿指数三倍做多ETF,0.0,0.0,0.0
ZUO,Zuora,0.0,20.826108,-1.884147
PVG,Pretium Resources Inc,0.0,1.949615,-0.35
ANET,"Arista Networks, Inc.",98.620631,13.424103,3.12896
LCI,Lannett Co Inc,4.156826,0.32254,1.238926
CGC,Canopy Growth Corporation,0.0,0.0,-0.2853
JE,Just Energy Group Inc,1.60652,14.352304,1.886064
PPDF,拍拍贷,0.0,2.55205,-1.813679
JKS,晶科能源,22.689226,0.466352,0.578248
NUGT,三倍做多黄金矿业指数ETF-Direxion,0.0,0.0,0.0
NAO,Nordic American Offshore Ltd,0.0,0.256875,-0.488867
CANG,灿谷,23.916224,-12.498467,0.43067
RUSL,三倍做多俄罗斯ETF,0.0,0.0,0.0
CIA,公民保险,0.0,2.100378,-0.864102
DQ,大全新能源,3.898128,0.87302,9.404514
IAG,IAMGOLD Corp,0.0,0.70243,-1.53
HGT,休哥顿信托,5.859635,1.012239,0.07509
MUX,McEwen Mining,0.0,1.32968,-0.049675
HL,赫克拉矿业,0.0,0.915096,-0.017044
LEAF,Leaf Group Ltd,0.0,3.518095,-1.087908
AGI,Alamos Gold Inc,0.0,0.659616,-0.07
AKO.A,Embotelladora Andina S.A.,16.60518,0.002246,1.27671
KORU,Direxion Daily South Korea Bull,0.0,0.0,0.0
HOS,霍恩贝克离岸服务,13.945951,0.127649,0.331996
ITCB,Itau Corpbanca,37.836477,0.001591,0.3975
EGO,埃氏金业,0.0,0.199489,-0.48
VEDL,Vedanta  Limited,7.460086,0.059614,1.710436
IIPR,Innovative Industrial Properties Inc,91.587194,2.00946,0.444822
MJ,ETFMG Alternative Harvest ETF,0.0,0.0,0.0
CEO,中海油,14.306265,1.320075,12.0255
EXK,Endeavour Silver,77.666668,2.068673,0.03
TAHO,Tahoe Resources Inc,9.071429,0.450421,0.42
CATO,加图商场,29.210813,1.555755,0.728155
SA,Seabridge Gold,0.0,2.322093,-0.12
BE,Bloom Energy Corp,0.0,-1.472155,-14.509747
GFI,金田,0.0,0.763685,-0.531673
EGY,瓦可能源,11.29003,6.849183,0.209034
AG,First Majestic Silver Corporation,110.199998,1.430298,0.05
BCRH,Blue Capital Reinsurance Holdings Ltd.,0.0,0.695472,-5.583252
GDXX,ProShares Ultra Gold Miners ETF,0.0,0.0,0.0
EDC,新兴市场ETF-Direxion三倍做多,0.0,0.0,0.0
ZNH,南方航空,6.426928,0.878782,5.41005
CDAY,Ceridian Hcm Holding,0.0,3.44068,-0.490731
NLS,鹦鹉螺体育,18.249412,2.501799,0.841123
NETS,Netshoes (Cayman) Ltd.,0.0,0.182416,-1.682409
DRD,DRDGOLD Ltd ADS,16.224245,1.362993,0.131285
SRI,Stoneridge Inc,15.572739,3.375376,1.963688
AUY,Yamana Gold Inc,0.0,0.586825,-0.32
CHAU,二倍做多沪深300(Direxion),0.0,0.0,0.0
