code,name,pe,pb,eps
ENSV,Enservco Corp,0.0,4.638536,-0.110078
RHE,"Regional Health Properties, Inc.",0.0,-0.054226,-0.677571
ESNC,EnSync Inc.,15.563666,2.139124,0.020278
EGI,Entree Gold,0.0,-2.629072,-0.04
MLSS,"Milestone Scientific, Inc.",0.0,5.467597,-0.189131
TIS,Orchids Paper Products Inc,47.160174,0.222672,0.058736
CANF,Can-Fite Biopharma Ltd,0.0,2.873146,-0.358464
PLM,Polymet Mining,0.0,1.537545,-0.04
CVM,CEL-SCI Corp,0.0,-72.175134,-1.935726
UUU,Universal Security Instruments I,0.0,0.281214,-0.932807
PLG,Platinum Group Metals Ltd,0.0,-3.359048,-1.9949
ZOM,Zomedica Pharmaceuticals Corp.,0.0,0.0,0.0
USAS,Americas Silver Corporation,1.113861,1.024538,2.02
IHT,InnSuites Hospitality Trust,16.966087,1.854002,0.101084
BVX,Bovie Medical Corp,0.0,9.634468,-0.100829
IBIO,iBio Inc.,0.0,3.568982,-1.675696
CVRS,"Corindus Vascular Robotics, Inc.",0.0,79.158104,-0.214391
GSAT,全球星,5.50679,1.703183,0.093303
VHC,VirnetX Holding,0.0,59.33345,-0.39511
OCX,OncoCyte Corporation,0.0,14.255739,-0.585518
SDPI,Superior Drilling Products Inc,68.383284,3.817845,0.035535
DIT,AMCON Distributing,16.169271,0.839456,5.368603
HLTH,Nobilis Health Corp.,37.153872,0.413591,0.021271
SENS,"Senseonics Holdings,Inc.",0.0,7.343051,-0.647719
XXII,22nd Century Group Inc,0.0,4.579831,-0.106281
DLA,Delta Apparel Co,304.466504,0.859775,0.059711
GNAF,Bank of Montreal MicroSectors FANG Index Inverse,0.0,0.0,0.0
EMAN,eMagin Corp,0.0,3.599184,-0.260789
GLOW,Glowpoint,1.537084,0.804417,0.122895
PTN,Palatin Technologies Inc,4.589727,20.513919,0.226593
SIM,Grupo Simec S.A. de C.V. ADS,13.523071,0.779253,0.643345
AXU,Alexco Resource Corp,0.0,1.312119,-0.04
SKY,Skyline Corp.,0.0,4.224094,-0.011944
TMQ,Trilogy Metals Inc.,0.0,5.08674,-0.207743
CRMD,CorMedix Inc,0.0,-7.949134,-0.55284
ALO,Timmins Gold Corp,0.481214,0.118887,1.3547
FNGZ,Bank of Montreal MicroSectors FANG Index 2X Inverse Leveraged,0.0,0.0,0.0
LIQT,"LiqTech International, Inc.",0.0,11.107254,-0.093875
RLGT,Radiant Logistics,79.412911,1.72005,0.056414
ATNM,"Actinium Pharmaceuticals, Inc.",0.0,4.243567,-0.248541
XTNT,Xtant Medical Holdings Inc,0.0,5.130238,-25.545244
FLBR,Franklin FTSE Brazil ETF,0.0,0.0,0.0
EPM,Evolution Petroleum,19.86123,4.289878,0.500976
AIRI,Air Industries Group,0.0,2.082428,-1.245082
RNN,Rexahn Pharmaceuticals,0.0,4.502929,-0.240141
DPW,Digital Power Corp,0.0,1.109302,-0.858623
CAW,CCA Industries,0.0,2.686787,-0.35612
WTT,Wireless Telecom Group Inc,0.0,1.173025,-0.085647
MYO,Myomo Inc.,1.259951,2.135706,1.563553
NBW,Neuberger Berman California Inte,49.058157,0.873297,0.261934
GSV,Gold Standard Ventures Corp,0.0,2.473992,-0.04
MSN,Emerson Radio Corp,0.0,0.853438,-0.275664
NBY,NovaBay Pharmaceuticals Inc,0.0,3.379215,-0.331164
CMT,Core Molding Technologies Inc,28.616089,0.734151,0.33268
QMOM,MomentumShares US Quantitative Mom ETF,0.0,0.0,0.0
UEC,Uranium Energy Corp,0.0,4.154877,-0.123763
TAT,TransAtlantic Petroleum Ltd,0.0,4.629419,-0.223182
TKAT,"Takung Art Co., Ltd.",0.0,0.514654,-0.258099
NG,NovaGold Resources Inc,0.0,3.780971,-0.11
TRT,Trio-Tech International,17.057826,0.661557,0.244146
LNG,Cheniere Energy Inc,87.859434,-16.063737,0.749265
CQH,钱尼尔能源,20.218893,13919.857478,1.542122
NYV,Nuveen New York Municipal Value,40.420917,0.913004,0.34116
GTE,Gran Tierra Energy,1195.24869,1.310538,0.002694
INS,Intelligent Systems Corp,37.95733,4.913955,0.315881
PLYM,Plymouth Industrial Reit Inc.,0.0,-4.573044,-5.506377
FCO,Aberdeen Global Income Fund Inc,17.062712,0.912476,0.471789
UQM,UQM Technologies Inc,0.0,11.066952,-0.115959
AMS,American Shared Hospital Service,7.963649,0.701353,0.379851
DSS,Document Security Systems Inc,9.410095,2.752169,0.129648
CWS,AdvisorShares Trust Focused Equity ETF,72.869787,0.0,0.47
SAND,Sandstorm Gold Ltd,0.0,0.88829,-0.02
INFU,InfuSystems Holdings Inc,0.0,2.176013,-0.810107
NCB,Nuveen California Municipal Value Fund 2,26.698712,0.981706,0.584811
SEB,Seaboard Corp,30.073639,1.263747,122.164795
NAVB,Navidea Biopharmaceuticals,0.0,13.490044,-0.094027
EIO,Eaton Vance Ohio Municipal Bon,68.275322,0.870607,0.171365
BHB,Bar Harbor Bankshares,14.264223,1.274827,2.051987
ESP,Espey Manufacturing & Electronic,24.200273,1.944787,1.102562
PARR,Par Petroleum Corporation.,13.699435,1.952905,1.496412
BZM,BlackRock Maryland Municipal Bon,22.975553,0.955494,0.622244
