code,open,name,pe,pb,eps
SCS,19.15,Steelcase Inc.,27.398989,2.646617,0.669751
LITB,0.8399,兰亭集势,0.0,1.254197,-0.221
YRD,19.23,宜人贷,6.400991,1.741688,3.226063
IIPR,45.56,Innovative Industrial Properties Inc,107.731404,2.363671,0.444822
BE,30.22,Bloom Energy Corp,0.0,-1.583214,-12.423276
PPDF,6.0,拍拍贷,0.0,2.518564,-1.813679
USOU,75.0,United States 3x Oil Fund,0.0,0.0,0.0
NEW,8.7,朴新教育,0.0,6.967987,-2.505436
FTNW,11.61,"FTE Networks, Inc.",0.0,30.95016,-6.4774
BEDU,12.6,博实乐教育,44.483434,3.721414,0.29067
LAC,4.55,Lithium Americas Corp.,0.0,0.0,0.0
NE,6.56,诺布尔,0.0,0.387851,-3.617433
ADT,9.76,Adt Inc.,15.806928,1.523076,0.593727
SE,13.99,Sea Ltd,0.0,21.457422,-3.167076
LAD,85.62,利西亚车行,8.681321,1.840991,10.170111
SJT,4.63,San Juan Basin Royalty Trust,6.709464,36.78835,0.72435
COE,8.52,51Talk,0.0,-1.448332,-3.841167
ZNH,34.3,南方航空,8.107016,0.827125,4.205
CEA,33.09,东方航空,13.611916,1.096526,2.43375
CHAU,19.19,二倍做多沪深300(Direxion),0.0,0.0,0.0
BRZU,17.86,Direxion Daily Brazil Bull 3X Shares,0.0,0.0,0.0
BSTI,6.76,百世物流,100.474913,4.111818,0.06738
UCHF,25.77,Citigroup Global Markets Holdings linked to the VelocityShares Daily 4X Long CHF,0.0,0.0,0.0
YINN,24.96,三倍做多FTSE中国ETF-Direxion,0.0,0.0,0.0
NOAH,40.94,诺亚财富,19.109773,3.024529,2.195212
CSU,9.12,Capital Senior Living,0.0,4.214316,-1.033298
SDRL,24.25,SeaDrill Ltd,0.0,0.387847,-11.785926
PZN,9.21,Pzena Investment Management,18.647037,5.858128,0.503029
LABD,23.57,Direxion每日三倍做空标普生物,0.0,0.0,0.0
NEXA,11.93,Nexa Resources S.A.,15.409842,0.685561,0.800138
GMED,52.52,Globus Medical Inc,39.345484,4.884129,1.386182
ACH,11.19,中国铝业,35.284163,0.83453,0.315575
