code,open,name,pe,pb,eps
IGC,2.69,India Globalization Capital,0.0,15.152645,-0.063766
NBY,1.65,NovaBay Pharmaceuticals Inc,0.0,3.968105,-0.331164
TIK,2.75,Tel Instrument Electronics Corp,0.0,-1.803512,-1.51509
LTS,2.49,Ladenburg Thalmann Financial Ser,0.0,1.354215,-0.045109
BKTI,3.4,"BK Technologies, Inc...",0.0,1.545305,-0.231651
NSPR,0.1643,InspireMD Inc.,0.0,1.027308,-0.594178
SYN,2.31,Synthetic Biologics Inc,0.0,-1.469931,-5.97338
CVRS,1.39,"Corindus Vascular Robotics, Inc.",0.0,104.575844,-0.214391
APHB,0.9402,AmpliPhi Biosciences Corporation,1.317594,1.851821,0.711676
OGEN,0.52,Oragenics Inc.,0.0,-2.48969,-1.518749
WTIU,37.88,ProShares Daily 3x Long Crude ETN,0.0,0.0,0.0
DXR,5.75,Daxor Corp,0.0,1.694833,-0.346141
REED,3.9,Reeds Inc,0.0,-32.523474,-1.31087
FSI,1.5266,Flexible Solutions International,17.10802,1.012122,0.089233
CAW,2.75,CCA Industries,0.0,2.593424,-0.35612
DSS,1.08,Document Security Systems Inc,8.638004,2.526356,0.129648
GMO,0.378,General Moly,0.0,0.463368,-0.07907
IMH,6.78,IMPAC Mortgage Holdings Inc,0.0,0.555762,-6.696858
PLX,0.6,Protalix BioTherapeutics Inc,0.0,-1.853379,-0.320562
AE,43.4,亚当斯资源与能源公司,34.522373,1.246618,1.284483
ZOM,2.01,Zomedica Pharmaceuticals Corp.,0.0,0.0,0.0
JOB,2.63,General Employment Enterprises I,0.0,1.369074,-0.264758
BPMX,0.2107,BioPharmX Corporation,0.0,9.524548,-0.111191
TGB,0.76,Taseko Mines,0.0,0.604191,-0.11
IDN,2.12,Intellicheck Mobilisa Inc,0.0,2.304352,-0.435475
NCB,15.5156,Nuveen California Municipal Value Fund 2,26.530966,0.975538,0.584811
EMX,1.1494,Eurasian Minerals Inc,0.0,2.87247,-0.0194
EIO,11.66,Eaton Vance Ohio Municipal Bon,68.041902,0.867631,0.171365
KURE,22.15,KraneShares MSCI All China Health Care Index ETF,0.0,0.0,0.0
DPW,0.4334,Digital Power Corp,0.0,0.975413,-0.858623
UBOT,20.24,"Direxion Daily Robotics, Artificial Intelligence & Automation",0.0,0.0,0.0
LEU,2.57,Centrus Energy Corp.,0.0,-0.084656,-3.505577
RHE,0.1743,"Regional Health Properties, Inc.",0.0,-0.069987,-0.677571
OILK,27.003,ProShares K-1 Free Crude Oil Strategy ETF,0.0,0.0,0.0
WTT,1.979,Wireless Telecom Group Inc,0.0,1.289615,-0.085647
PZG,1.0379,Paramount Gold Nevada,0.0,0.533359,-0.281372
AINC,89.8,Ashford Inc,0.0,4.503862,-3.003723
IMO,30.95,帝国石油,16.161082,1.372316,1.94
EYLD,32.3,Cambria Emerging Shareholder Yield ETF,0.0,0.0,0.0
NOG,3.64,Northern Oil And Gas,0.0,-7.923873,-1.093674
FIHD,177.65,UBS FI Enhanced Global High Yield,0.0,0.0,0.0
KARS,22.69,KraneShares Electric Vehicles and Future Mobility Index ETF,0.0,0.0,0.0
MHH,9.99,Mastech Holdings,22.251278,3.471748,0.448963
SKY,30.24,Skyline Corp.,0.0,4.514975,-0.011944
MSN,1.47,Emerson Radio Corp,0.0,0.853438,-0.275664
MJCO,6.99,Majesco,0.0,5.664821,-0.063391
IMUC,0.2102,ImmunoCellular Therapeutics Ltd,0.13534,2.56936,1.551649
TRXC,6.53,Transenterix Inc,0.0,8.253171,-0.907503
FLCH,23.59,Franklin FTSE China ETF,0.0,0.0,0.0
BATT,15.75, Amplify Advanced Battery Metals and Materials ETF,0.0,0.0,0.0
UAMY,0.78,United States Antimony Corp,0.0,5.429256,-0.020308
COMG,30.19,GraniteShares S&P GSCI Commodity Broad Strategy No K-1 ETF,0.0,0.0,0.0
