code,name,pe,pb,eps
PRGO,Perrigo Co.,85.275148,1.741096,0.915038
SCHW,嘉信理财,29.55942,4.314259,1.788939
JNJ,强生,270.518307,5.474546,0.477269
LRCX,拉姆研究,15.230135,4.27387,11.637454
APTV,Aptiv PLC,19.334041,7.357328,4.982921
PPG,PPG工业,16.857586,4.800711,6.252971
ADS,联合数据,15.523474,6.240292,14.522523
DHI,霍顿房屋,14.202744,1.98952,3.043074
LEN,莱纳建筑公司,14.582586,1.40132,3.809338
SCG,斯卡纳公司,0.0,1.045668,-0.846153
PHM,普得集团,17.621306,2.065295,1.754694
RL,拉夫劳伦,66.895641,3.149152,1.992656
AVGO,安华高科技,7.856769,2.804236,26.513443
BSX,波士顿科学,424.343156,6.663523,0.080006
SJM,斯马克,9.417233,1.596893,11.78584
PVH,PVH Corp,18.127307,2.098573,8.357005
IPGP,IPG光电,33.852926,5.993726,7.07413
ALGN,阿莱技术公司,115.1198,26.340488,3.218647
BLL,波尔,31.087097,3.312281,1.230414
NVDA,英伟达,40.375937,19.954624,6.283198
XRAY,登士柏国际,0.0,1.552934,-6.659249
FLS,福斯,0.0,3.262247,-0.009811
AMAT,应用材料,15.720124,6.770897,3.008882
ALB,美国雅宝公司,78.987733,2.826273,1.227659
EMN,伊士曼化工,10.390904,2.591541,9.687319
GLW,康宁,0.0,2.000981,-1.454708
ETFC,亿创,23.907084,2.601872,2.557401
DWDP,陶氏杜邦,102.430004,1.536954,0.654691
SWKS,思佳讯,21.336169,4.548959,4.766085
FBHS,Fortune Brands Home & Security,18.238501,3.478419,3.080297
BWA,博格华纳,20.110739,2.453614,2.270926
CBRE,世邦魏理仕,23.826656,3.784955,2.08464
SHW,宣伟公司,22.135449,10.702104,19.171059
MNST,怪物饮料,40.94738,9.026181,1.51829
LYB,利安德巴塞尔,8.072204,4.345293,13.392872
AMD,AMD,102.873385,22.871095,0.163988
TRIP,旅行顾问,0.0,5.967666,-0.189903
EW,爱德华兹,56.088137,9.689202,2.660099
MOS,美国美盛,0.0,1.049159,-0.192374
QRVO,"Qorvo, Inc.",0.0,2.175267,-0.317363
PEP,百事可乐,35.470739,16.069357,3.238726
EXPE,Expedia,59.576427,4.609662,2.161761
PGR,美国前进保险公司,18.322967,3.519391,3.241833
KLAC,科磊,23.353166,12.025762,4.534289
ABT,雅培,237.169079,3.506487,0.26479
MTD,梅特勒-托利多,39.729951,26.482091,14.719374
MAS,马斯科,22.180127,-165.163869,1.726771
JCI,江森自控,15.691737,1.560657,2.250229
SYK,史赛克,64.682352,7.142851,2.72269
KR,克罗格,4.604876,3.248425,6.171719
HCA,HCA控股,14.26944,-6.064626,7.597355
ROST,罗斯百货有限公司,22.361399,10.391804,3.863354
ORLY,奥莱利,21.298297,55.950644,13.592636
FTV,Fortive Corporation,24.396665,6.613836,3.179533
MU,美光科技,5.313461,2.305938,10.719943
PFG,信安金融,6.723714,1.289183,8.159182
AVY,艾利,31.235716,8.440366,3.344889
DHR,丹纳赫,27.179824,2.558445,3.663747
BBY,百思买,22.147036,6.254458,3.456896
CPB,康宝浓汤,25.62969,8.813799,1.60595
HON,霍尼韦尔,63.193096,6.303587,2.349782
ADBE,Adobe,58.682307,14.529155,4.401838
GPS,盖璞,13.462659,3.623816,2.220958
ZTS,Zoetis Inc.,42.785694,21.17405,2.004642
EA,电子艺界,43.923229,9.908834,3.386363
