code,name,pe,pb,eps
SOGO,搜狗,49.600965,4.947614,0.242334
RENN,人人网,0.0,0.256957,-1.978648
SECO,寺库,5.781439,3.027364,2.101553
XNET,迅雷,0.0,2.070325,-0.348079
VNET,世纪互联,0.0,1.477106,-1.078672
CIFS,圣盈信,13.484484,4.829215,1.151694
TEDU,达内科技,162.390698,2.07389,0.052035
ATHM,汽车之家,35.175688,8.980369,2.88779
MOMO,陌陌,24.572124,7.686907,1.84925
KNDI,康迪车业,0.0,0.876048,-0.011635
COE,51Talk,0.0,-1.864497,-4.314744
HUYA,虎牙,0.0,-122.133928,-0.885321
DQ,大全新能源,3.811631,1.060589,9.494623
BITA,易车网,0.0,0.566849,-3.659531
FENG,凤凰新媒体,244.531629,0.849623,0.018607
HTHT,华住,60.08282,11.616748,0.674236
BABA,阿里巴巴,48.223663,8.61294,3.995134
BIDU,百度,25.895973,4.813781,10.427104
SINA,新浪,41.296116,2.064623,2.055157
TAL,好未来,102.904336,13.615749,0.378021
SOHU,搜狐,0.0,1.994585,0.0
CMCM,猎豹移动,6.62441,2.026076,1.455224
CYOU,畅游,12.562201,0.599291,1.249781
EDU,新东方,53.001047,7.488553,1.812983
WUBA,58同城,41.873068,3.076621,1.565923
BGNE,百济神州,0.0,6.55314,-2.981897
WB,微博,49.633979,15.184883,1.828183
YUMC,百胜中国,29.019613,4.554183,1.262939
GDS,万国数据,0.0,6.173947,-0.55755
CTRP,携程网,48.664035,1.778281,0.914433
SFUN,搜房网,71.94098,2.119139,0.049068
IQ,爱奇艺,0.0,-11.68952,0.0
LEJU,乐居,0.0,0.855786,-1.131447
JASO,晶澳太阳能,7.610296,0.330263,0.984193
WBAI,500彩票网,0.0,2.723805,-1.200199
JD,京东,293.590311,6.367227,0.129398
DL,正保教育,43.001911,5.838616,0.170225
CHU,中国联通(香港),44.368979,0.602555,0.27091
KANG,爱康国宾,0.0,4.040352,-0.252353
VIPS,唯品会,20.024875,2.776615,0.500877
PTR,中石油,29.185659,0.689468,2.4351
NTES,网易,29.32455,5.005694,9.08522
EHIC,一嗨租车,47.328578,1.355971,0.270661
CCIH,蓝汛,0.0,-0.482941,-2.132966
BILI,哔哩哔哩,0.0,-11.796936,-2.138214
JMEI,聚美优品,0.0,0.549662,-0.03794
TOUR,途牛,0.0,1.74811,-0.70206
NOAH,诺亚财富,20.324054,3.55889,2.262836
HX,和信贷,6.38792,3.184838,1.455873
YY,欢聚时代,19.647405,3.427203,4.954344
JKS,晶科能源,33.320044,0.468092,0.413865
YRD,宜人贷,5.951721,1.604797,3.380535
ZTO,中通快递,31.419652,5.284935,0.700517
JP,钜派投资,7.724386,1.862981,2.081719
HIMX,奇景光电,56.638532,2.967719,0.137892
