code,name,pe,pb,eps,description
AMMA,Alliance Mma Inc.,0.0,1.0965,-1.176574,"Alliance MMA, Inc.于2015年2月12日在美国特拉华州注册成立。公司以收购目标企业和两个著名的混合武术艺术媒体或者综合格斗的其他活动为目的而成立的。通过结合目标公司，Alliance打算培养专业的综合格斗选手和组织终极格斗锦标赛，又称UFC，是最顶级规模最庞大的职业MMA（综合格斗）赛事。总的来说，目标公司已派出50多个专业出战UFC的专业综合格斗选手，已经签署了超过65个专业综合格斗选手合同，2015年进行了50余场专业MMA赛事。"
SSC,"Seven Stars Cloud Group, Inc.",0.0,10.880158,-0.313602,Seven Stars Cloud Group是于2004年10月19日在内华达州的成立。公司的经营通过其中国子公司和可变利益实体（VIEs）来进行，范围涉及中国的媒体业务，如：（1）为有线电视运营商提供集成增值服务解决方案和按次缴费的交付平台（PPV）和视频点播（VOD），以及增强的有线电视运营商的优质内容（2）一个总部设在中国的济南地区有线宽带业务。
GERN,杰龙,0.0,5.343057,-0.174465,Geron develops and commercializes three groups of products: therapeutic products for oncology that target telomerase; pharmaceuticals that activate telomerase in tissues; and cell-based therapies derived from its human embryonic stem cell platform.
GLG,中国商业信贷公司,4.69841,4.701573000000001,0.168142,吴江市鲈乡农村小额贷款股份有限公司是一家控股公司，于2011年12月19日在美国特拉华州注册成立，主要通过全资子公司吴江市鲈乡农村小额贷款股份有限公司运营业务，是农村非金融机构贷款公司。主要经营范围包括发放小额贷款、提供担保、以及经营主管部门审批的其他业务。公司下设业务部、风险控制部、综合部等三个部门，拥有一支专业的金融贷款管理团队，为客户提供高效、快捷、热情、周到融资服务。
CNAT,Conatus Pharmaceuticals Inc.,0.0,7.8554699999999995,-0.593648,Conatus Pharmaceuticals Inc.于2005年7月13日在特拉华州注册成立。该公司是一家专注于一种用于治疗肝脏疾病的新颖药物及其发展和商业化的生物科技公司。公司正在开发其先导化合物，emricasan，用于治疗那些在孤儿群体中患有慢性肝炎及其急性发作的患者。迄今为止，emricasan已经在十个临床试验中研究了超过650个试验体。在一项随机的2b阶段临床试验肝病患者中，emricasan表现出统计上显著，一致，快速和持续减少的炎症和细胞死亡，谷丙转氨酶上两个关键的生物标记物水平升高的现象，而ALT，以及裂解细胞角蛋白18，或者叫cCK18，这两者分别和肝脏疾病的严重程度及发展程度有牵连。公司最初的发展战略是以针对emricasan在孤儿患者中高度不满足的临床需求的迹象，例如急慢性肝功能衰竭，或是叫ACLF，慢性肝功能衰竭，或者叫CLF，以及那些由于丙型肝炎病毒感染（或叫HCV-POLT）引起的并发展成为肝脏纤维化后原位肝移植的患者。
GRNQ,Greenpro Capital Corp.,0.0,42.84891,-0.041346,Greenpro Capital Corp.于2013年7月19日在内华达州注册成立。他们为位于亚洲的中小企业提供跨境业务解决方案和会计外包服务，最初的重点是香港，马来西亚和中国。 Greenpro Capital Corp.为客户提供一系列服务作为包解决方案（“解决方案”），他们相信客户可以降低业务成本并提高收入。除了业务解决方案服务外，公司还经营一家企业资本业务通过一个安圭拉公司：Greenpro Venture Capital Limited。其中一个风险投资业务部门的重点是（1）为创业和成长型企业建立企业孵化器，为这些在关键增长期的公司提供教育和支持服务，（2）在选定的预计可以为公司带来重大回报创业型和高增长型公司中寻找投资机会。风险投资业务集中在亚洲和东南亚的公司，包括香港，马来西亚，中国，泰国和新加坡。另一个风险投资业务部门则专注于商业物业的租赁活动和投资物业的出售。
CRON, Cronos Group Inc.,0.0,0.0,0.0,Cronos Group Inc.（“Cronos”或“公司”）于2012年8月21日根据“商业公司法”（安大略省）于2339498 Ontario Inc.注册成立，于2012年10月18日更名为Searchtech Ventures Inc. “Searchtech”），并根据多伦多证券交易所创业板（“TSX-V”）的政策2.4定义为资本池公司。 Cronos集团的成立旨在开发一项基于资本化公司的申请，该公司正在申请加拿大卫生部成为医疗大麻的特许生产商。
ADSK,欧特克,0.0,-142.589436,-1.894145,<p>欧特克有限公司（“欧特克”或“Autodesk”）是全球最大的二维和三维设计、工程与娱乐软件公司，为制造业、工程建设行业、基础设施业以及传媒娱乐业提供卓越的数字化设计、工程与娱乐软件服务和解决方案。自1982年AutoCAD正式推向市场，欧特克已针对最广泛的应用领域研发出多种设计、工程和娱乐软件解决方案，帮助用户在设计转化为成品前体验自己的创意。《财富》排行榜名列前1000位的公司普遍借助欧特克的软件解决方案进行设计、可视化和仿真分析，并对产品和项目在真实世界中的性能表现进行仿真分析，从而提高生产效率、有效地简化项目并实现利润最大化，把创意转变为竞争优势。在全球设计软件公司中，拥有最长产品线和最广行业覆盖的欧特克近年来每年保持近20%的业绩增长。2009财年，欧特克全球营收达23.15亿美元。欧特克正一如既往地专注于技术的不断创新，包括设计、可视化和仿真分析，为各行各业的用户提供最好的设计、工程和娱乐软件、解决方案及服务。同时，作为行业领导者，欧特克正在积极推动可持续性设计理念及其应用，为帮助建筑师、工程师和设计师们共同创造一个更具可持续性的世界而努力。</p>
SYBX,"Synlogic, Inc.",4.424599,1.591413,2.045383,"Synlogic, Inc. 在2007年底成立于特拉华。该公司是一家临床阶段的生物制药公司，开发以小分子RNA为基础的肿瘤治疗方法，微型RNA是天然存在的，短核糖核酸，或RNA，分子，或寡核苷酸，都有关键的作用在调节生物学中。"
SPLK,Splunk Inc,0.0,15.639029,-1.955666,"息软件供应商,作为大数据安全信息平台,被全球超过2000家企业机构所采用。Splunk提供了数百个应用程序,帮助客户解决安全、业务和IT挑战。客户可直接从Splunk的社区网站Splunkbase下载这些应用程序,并从Splunk Enterprise平台实现目标实现价值的时间。平台可以提供包括Splunk App for Enterprise Security的70多个应用程序,它包含关联搜索、仪表板和可视化等可立即使用的内容,从而能够对机器数据进行丰富的数据统计分析。公司已被评为Gartner 2013年安全信息与事件管理(SIEM)魔力象限(Magic Quadrants)领导厂商。"
