code,name,pe,pb,eps,2014-12-31,2015-12-31,2016-12-31,2017-12-31
PRGO,Perrigo Co.,85.275148,1.741096,0.9150379999999999,0.0,0.0127,-0.6735,0.0194
SCHW,嘉信理财,29.559420000000003,4.314259,1.7889389999999998,0.0,0.108,0.0,0.1306
JNJ,强生,270.518307,5.474546,0.47726899999999994,0.0,0.0,0.0,0.0216
LRCX,拉姆研究,15.230135,4.27387,11.637454,0.0,0.0,0.0,0.0
APTV,Aptiv PLC,19.334041,7.357328,4.982921,0.4779,0.5617,0.4799,0.406
PPG,PPG工业,16.857585999999998,4.800711,6.252971,0.4101,0.2815,0.1821,0.2847
ADS,联合数据,15.523473999999998,6.240292,14.522523000000001,0.196,0.2779,0.3124,0.4253
DHI,霍顿房屋,14.202744000000001,1.9895200000000002,3.0430740000000003,0.0,0.0,0.0,0.0235
LEN,莱纳建筑公司,14.582586,1.4013200000000001,3.809338,0.0,0.0,0.0,0.0
SCG,斯卡纳公司,0.0,1.045668,-0.846153,0.1079,0.1371,0.1039,-0.0226
PHM,普得集团,17.621306,2.065295,1.754694,0.0986,0.1038,0.1294,0.1076
RL,拉夫劳伦,66.895641,3.149152,1.9926560000000002,0.0,0.0,0.0,0.0
AVGO,安华高科技,7.856769,2.804236,26.513443,0.0,0.0,0.0,0.0
BSX,波士顿科学,424.34315599999996,6.663523,0.080006,-0.0184,-0.0378,0.0515,0.0148
SJM,斯马克,9.417233,1.5968930000000001,11.785839999999999,0.0,0.0,0.0,0.0
PVH,PVH Corp,18.127307000000002,2.098573,8.357005000000001,0.0,0.0,0.0,0.0
IPGP,IPG光电,33.852926000000004,5.9937260000000006,7.07413,0.191,0.1919,0.1675,0.1721
ALGN,阿莱技术公司,115.1198,26.340488,3.2186470000000003,0.1939,0.1698,0.191,0.2009
BLL,波尔,31.087096999999996,3.3122809999999996,1.230414,0.4016,0.2403,0.0751,0.0939
NVDA,英伟达,40.375937,19.954624,6.2831980000000005,0.0,0.0,0.0,0.0
XRAY,登士柏国际,0.0,1.552934,-6.659249000000001,0.1391,0.1073,0.053,-0.2339
FLS,福斯,0.0,3.262247,-0.009811,0.2673,0.1587,0.0831,0.0026
AMAT,应用材料,15.720123999999998,6.770897,3.008882,0.0,0.0,0.0,0.0
ALB,美国雅宝公司,78.98773299999999,2.826273,1.227659,0.1081,0.1059,0.1727,0.0261
EMN,伊士曼化工,10.390903999999999,2.591541,9.687319,0.2109,0.2124,0.1864,0.2533
GLW,康宁,0.0,2.0009810000000003,-1.454708,0.1142,0.071,0.2057,-0.0315
ETFC,亿创,23.907084,2.601872,2.557401,0.0545,0.0462,0.088,0.0886
DWDP,陶氏杜邦,102.430004,1.5369540000000002,0.654691,0.163,0.2973,0.1617,0.0156
SWKS,思佳讯,21.336169,4.548959,4.7660849999999995,0.0,0.0,0.0,0.0
FBHS,Fortune Brands Home & Security,18.238501,3.478419,3.0802970000000003,0.0703,0.1284,0.1748,0.1819
BWA,博格华纳,20.110739000000002,2.453614,2.270926,0.1864,0.1779,0.0485,0.1262
CBRE,世邦魏理仕,23.826656,3.784955,2.0846400000000003,0.2234,0.2026,0.191,0.1711
SHW,宣伟公司,22.135448999999998,10.702103999999999,19.171059,0.8695,1.2143,0.6033,0.48
MNST,怪物饮料,40.947379999999995,9.026181,1.51829,0.3188,0.1137,0.2141,0.2108
LYB,利安德巴塞尔,8.072204,4.345293,13.392872,0.4995,0.6806,0.6318,0.5449
AMD,AMD,102.873385,22.871095,0.16398800000000002,0.0,0.0,-1.1947,0.0
TRIP,旅行顾问,0.0,5.967666,-0.189903,0.2009,0.1402,0.0799,-0.0139
EW,爱德华兹,56.088136999999996,9.689202,2.660099,0.3702,0.1978,0.2176,0.1976
MOS,美国美盛,0.0,1.049159,-0.192374,0.0961,0.1048,0.0313,-0.0108
QRVO,"Qorvo, Inc.",0.0,2.175267,-0.317363,0.0,0.0,0.0,0.0
PEP,百事可乐,35.470739,16.069357,3.2387259999999998,0.0,0.0,0.5696,0.0
EXPE,Expedia,59.576427,4.609662,2.1617610000000003,0.152,0.1294,0.0458,0.0603
PGR,美国前进保险公司,18.322967000000002,3.519391,3.241833,0.1849,0.1678,0.1252,0.1632
KLAC,科磊,23.353166,12.025762,4.534289,0.0,0.0,0.0,-0.1093
ABT,雅培,237.169079,3.5064870000000004,0.26479,0.1056,0.2074,0.0676,0.0153
MTD,梅特勒-托利多,39.729951,26.482090999999997,14.719373999999998,0.4694,0.6086,0.8828,0.6874
MAS,马斯科,22.180127,-165.163869,1.7267709999999998,0.8005,6.7931,-5.1845,3.2955
JCI,江森自控,15.691737,1.560657,2.250229,0.0,0.0,0.0,0.0125
