,0,1,2,3,4,5,6,7,8,9,10,11
1,Fiscal year ends in December. USD.,TTM,2018-06,2018-03,2017-12,2017-09,2017-06,2017-03,2016-12,2016-09,2016-06,2016-03
2,Revenue,129647000000,32203000000,31772000000,33955000000,31717000000,30548000000,29814000000,32340000000,30937000000,30532000000,32171000000
3,Cost of revenue,53911000000,13631000000,13255000000,15175000000,12605000000,12110000000,11666000000,14362000000,12229000000,12221000000,12612000000
4,Gross profit,75736000000,18572000000,18517000000,18780000000,19112000000,18438000000,18148000000,17978000000,18708000000,18311000000,19559000000
6,"Sales, General and administrative",30156000000,7605000000,6844000000,9531000000,7632000000,4265000000,6908000000,5968000000,8226000000,9775000000,7600000000
7,Other operating expenses,17402000000,4350000000,4324000000,4456000000,4272000000,4167000000,4059000000,3987000000,3942000000,3982000000,4017000000
8,Total operating expenses,47558000000,11955000000,11168000000,13987000000,11904000000,8432000000,10967000000,9955000000,12168000000,13757000000,11617000000
9,Operating income,28178000000,6617000000,7349000000,4793000000,7208000000,10006000000,7181000000,8023000000,6540000000,4554000000,7942000000
10,Interest Expense,4806000000,1222000000,1201000000,1219000000,1164000000,1218000000,1132000000,1137000000,1038000000,1013000000,1188000000
11,Other income (expense),-3346000000,132000000,-94000000,-640000000,-533000000,-1821000000,-867000000,63000000,74000000,-1846000000,12000000
12,Income before taxes,20026000000,5527000000,6054000000,2934000000,5511000000,6967000000,5182000000,6949000000,5576000000,1695000000,6766000000
13,Provision for income taxes,-11405000000,1281000000,1388000000,-15849000000,1775000000,2489000000,1629000000,2349000000,1829000000,864000000,2336000000
14,Net income from continuing operations,31431000000,4246000000,4666000000,18783000000,3736000000,4478000000,3553000000,4600000000,3747000000,831000000,4430000000
15,Other,-477000000,-126000000,-121000000,-114000000,-116000000,-116000000,-103000000,-105000000,-127000000,-129000000,-120000000
16,Net income,30954000000,4120000000,4545000000,18669000000,3620000000,4362000000,3450000000,4495000000,3620000000,702000000,4310000000
17,Net income available to common shareholders,30954000000,4120000000,4545000000,18669000000,3620000000,4362000000,3450000000,4495000000,3620000000,702000000,4310000000
19,Basic,7.56,1.00,1.11,4.57,0.89,1.07,0.85,1.10,0.89,0.17,1.06
20,Diluted,7.55,1.00,1.11,4.56,0.89,1.07,0.84,1.10,0.89,0.17,1.06
22,Basic,4103,4135,4104,4087,4084,4082,4082,4080,4079,4079,4080
23,Diluted,4106,4139,4107,4092,4089,4087,4087,4086,4086,4085,4085
24,EBITDA,42234,11099,11579,8609,10947,12352,10373,12073,10556,6690,11971
