2018-11-14_code,2018-11-14_days,2018-11-24_code,2018-11-24_days
AEE,0,CORI,3.0
AFIN,0,SOHU,4.0
AIV,0,SEDG,4.0
BAH,0,SFIX,4.0
BBN,0,RUBY,4.0
BIS,0,BCRX,0.0
BSCI,0,TSRO,1.0
CSGS,0,DERM,0.0
DGLD,0,TTD,4.0
DTE,0,RARX,3.0
EXR,0,IPGP,4.0
FTS,0,UBNT,4.0
ITM,0,EPAY,4.0
JE,0,POWI,4.0
KO,0,AVEO,0.0
LABD,0,MLCO,4.0
LW,0,CSIQ,3.0
MHN,0,JAZZ,0.0
MUC,0,REGI,3.0
MUJ,0,SGYP,0.0
MYJ,0,SHEN,3.0
NAC,0,NITE,3.0
NKX,0,DORM,4.0
NMZ,0,USLV,3.0
NZF,0,POOL,4.0
PNW,0,UPWK,4.0
PSQ,0,TAST,0.0
QID,0,GNMK,3.0
RLGT,0,WYNN,4.0
RUSS,0,NUVA,4.0
SQQQ,0,TCPC,0.0
TMCX,0,ASYS,4.0
TR,0,VIAV,4.0
TRUE,0,HCM,0.0
UGAZ,0,IGOV,3.0
ULTA,0,BMCH,0.0
UNG,0,CUTR,4.0
WSM,0,HCSG,1.0
XEL,0,AEZS,2.0
ABBV,1,EXFO,4.0
ADSW,1,SUPV,3.0
BLE,1,EDN,3.0
DIN,1,SHOP,4.0
EIM,1,EMQQ,4.0
ELS,1,ATHM,4.0
EPR,1,INCO,4.0
EQR,1,AYX,4.0
FRGI,1,IFN,4.0
HELE,1,EWZ,4.0
IPG,1,BRFS,3.0
KDP,1,UGP,3.0
LEO,1,RSX,3.0
LLY,1,TTM,3.0
LSI,1,IPHI,4.0
MDU,1,ILF,3.0
NAD,1,WIT,4.0
NWBI,1,GGB,3.0
NWN,1,OI,4.0
NXJ,1,EIDO,4.0
O,1,BAX,4.0
PLD,1,BSAC,3.0
PPL,1,TUR,3.0
RYN,1,SLCA,3.0
SCHH,1,RSG,2.0
SJM,1,SIL,3.0
SR,1,VSLR,2.0
SUN,1,IDT,3.0
SYY,1,DRQ,3.0
TAP,1,SLV,3.0
TRVN,1,ENIC,1.0
VCTR,1,OSG,3.0
VCV,1,EXR,3.0
VNQ,1,SIVR,3.0
VTR,1,OR,3.0
WEC,1,PVG,3.0
WM,1,TSI,0.0
WPG,1,DNB,2.0
XLRE,1,ZOES,2.0
XONE,1,FBR,4.0
ACC,2,TOTL,2.0
ACGL,2,CHL,4.0
ACN,2,EEP,1.0
ADVM,2,AGG,3.0
AFG,2,DUK,2.0
AIZ,2,IUSB,3.0
AJG,2,AA,4.0
AMED,2,VTR,2.0
ARR,2,LTM,4.0
ATH,2,SCHP,3.0
BANR,2,BOND,4.0
BFAM,2,TPC,3.0
BIT,2,FNV,3.0
BLNK,2,FXE,3.0
BPOP,2,EQR,1.0
BPRAP,2,TOL,0.0
BRO,2,HCP,2.0
CAKE,2,ESS,1.0
CALX,2,JNUG,3.0
CATM,2,TIER,1.0
CBU,2,ASA,3.0
CCLP,2,ALE,2.0
CDW,2,ACC,0.0
CFR,2,FI,3.0
CHKE,2,GPRK,3.0
CHMI,2,GMRE,0.0
CIM,2,CLW,2.0
CINF,2,KBH,0.0
COF,2,RNR,1.0
COO,2,DOG,0.0
CTXS,2,CMO,2.0
CWK,2,PEB,2.0
CWST,2,GPI,0.0
DPZ,2,GTY,0.0
DRI,2,GWB,2.0
DSM,2,DXD,0.0
DXCM,2,OMN,4.0
ECC,2,BGG,4.0
EXTN,2,AXSM,0.0
FDS,2,SDOW,0.0
FISV,2,IIPR,3.0
FOX,2,AEF,3.0
FOXA,2,SAND,3.0
FREL,2,,
FRT,2,,
GBDC,2,,
GCAP,2,,
HCA,2,,
HR,2,,
HRB,2,,
INVH,2,,
IPI,2,,
IRM,2,,
IT,2,,
IYR,2,,
JNJ,2,,
KEY,2,,
KREF,2,,
KSS,2,,
MANH,2,,
MD,2,,
MLNX,2,,
MMI,2,,
MOS,2,,
MPO,2,,
MSI,2,,
NNN,2,,
NRE,2,,
NWS,2,,
NWSA,2,,
NYT,2,,
OFG,2,,
ORCL,2,,
ORLY,2,,
OSBC,2,,
PETQ,2,,
PSEC,2,,
REG,2,,
RSG,2,,
RWR,2,,
SBUX,2,,
SD,2,,
SONO,2,,
SPG,2,,
SPLV,2,,
SPR,2,,
STAY,2,,
STOR,2,,
SYF,2,,
SYK,2,,
TCF,2,,
TFX,2,,
UBNT,2,,
UHS,2,,
UNFI,2,,
USRT,2,,
UTF,2,,
VRSK,2,,
VZ,2,,
WLTW,2,,
WMGI,2,,
WMT,2,,
YUM,2,,
AAON,3,,
AB,3,,
ADP,3,,
ADS,3,,
ADX,3,,
AET,3,,
AFL,3,,
AGN,3,,
AGX,3,,
AHH,3,,
ALL,3,,
AMJ,3,,
AON,3,,
APO,3,,
ARAY,3,,
ARCC,3,,
ARE,3,,
ASNA,3,,
ATGE,3,,
ATRC,3,,
ATTU,3,,
AVAV,3,,
AVGO,3,,
AWF,3,,
AZO,3,,
AZZ,3,,
BDJ,3,,
BGCP,3,,
BIO,3,,
BK,3,,
BKU,3,,
BLW,3,,
BNED,3,,
BRK.B,3,,
BTZ,3,,
BX,3,,
BXMX,3,,
BXP,3,,
BZQ,3,,
CB,3,,
CBA,3,,
CDC,3,,
CEN,3,,
CFFN,3,,
CHI,3,,
CHW,3,,
CIEN,3,,
CII,3,,
CIO,3,,
CPT,3,,
CRF,3,,
CSCO,3,,
CSQ,3,,
CTRE,3,,
CURE,3,,
CVA,3,,
DDM,3,,
DEI,3,,
DES,3,,
DFS,3,,
DG,3,,
DGRO,3,,
DGRW,3,,
DGX,3,,
DIA,3,,
DKT,3,,
DLN,3,,
DNP,3,,
DRE,3,,
DWT,3,,
DXJ,3,,
EDF,3,,
EHC,3,,
EOI,3,,
ES,3,,
ETFC,3,,
ETG,3,,
ETJ,3,,
ETY,3,,
EVT,3,,
EXPO,3,,
EZM,3,,
FAS,3,,
FCPT,3,,
FEX,3,,
FIDU,3,,
FIS,3,,
FIX,3,,
FNCL,3,,
FNDA,3,,
FNDX,3,,
FNSR,3,,
FPL,3,,
FSD,3,,
FTCS,3,,
FVD,3,,
FXO,3,,
GATX,3,,
GDV,3,,
GLW,3,,
GNL,3,,
GNW,3,,
GOOD,3,,
GPC,3,,
GRTS,3,,
GSLC,3,,
GWR,3,,
HD,3,,
HI,3,,
HIE,3,,
HIFR,3,,
HIO,3,,
HPP,3,,
HRC,3,,
HTLF,3,,
HURN,3,,
IAI,3,,
IBOC,3,,
ICF,3,,
IGR,3,,
IJS,3,,
IMPV,3,,
INXN,3,,
IR,3,,
IRET,3,,
ISCA,3,,
ITOT,3,,
IUSG,3,,
IVE,3,,
IVV,3,,
IWB,3,,
IWD,3,,
IWN,3,,
IWS,3,,
IWV,3,,
IYF,3,,
IYG,3,,
JNK,3,,
KBE,3,,
KBR,3,,
KBWD,3,,
KBWY,3,,
KIE,3,,
KIM,3,,
KMF,3,,
KR,3,,
KRC,3,,
KRG,3,,
KRNY,3,,
KTOS,3,,
LDOS,3,,
LH,3,,
LIQT,3,,
LITE,3,,
LOW,3,,
LPLA,3,,
LPNT,3,,
LPT,3,,
LTXB,3,,
LXP,3,,
MANT,3,,
MASI,3,,
MBRX,3,,
MCD,3,,
MCO,3,,
MEDP,3,,
MGV,3,,
MIK,3,,
MIN,3,,
MKC,3,,
MMC,3,,
MMT,3,,
MOAT,3,,
MRAM,3,,
MRK,3,,
MRTN,3,,
MRTX,3,,
MSCI,3,,
MTD,3,,
MWA,3,,
NAVI,3,,
NBTB,3,,
NCLH,3,,
NCV,3,,
NEA,3,,
NFJ,3,,
NICE,3,,
NIE,3,,
NK,3,,
NNVC,3,,
NOBL,3,,
NSP,3,,
NTG,3,,
NTRS,3,,
NUE,3,,
OEF,3,,
OHI,3,,
OILD,3,,
OPB,3,,
PAYX,3,,
PBYI,3,,
PDM,3,,
PEN,3,,
PEY,3,,
PFG,3,,
PFGC,3,,
PGR,3,,
PH,3,,
PHO,3,,
PIM,3,,
POR,3,,
PSB,3,,
PWV,3,,
PYPL,3,,
QDF,3,,
QUAL,3,,
RDN,3,,
REET,3,,
RLGY,3,,
RLI,3,,
ROP,3,,
ROST,3,,
RPT,3,,
RSP,3,,
RWL,3,,
SCHB,3,,
SCHD,3,,
SCHV,3,,
SCHW,3,,
SCHX,3,,
SCO,3,,
SDOG,3,,
SDY,3,,
SEE,3,,
SHPG,3,,
SHW,3,,
SJR,3,,
SLG,3,,
SLYV,3,,
SNPS,3,,
SOHU,3,,
SPHD,3,,
SPHQ,3,,
SPLG,3,,
SPTN,3,,
SPXL,3,,
SPXX,3,,
SPY,3,,
SPYD,3,,
SPYV,3,,
SRE,3,,
SSO,3,,
STAG,3,,
STBA,3,,
STRA,3,,
SVXY,3,,
SWIR,3,,
SXE,3,,
TEDU,3,,
THQ,3,,
TLYS,3,,
TMO,3,,
TOWR,3,,
TPRE,3,,
TRTN,3,,
TRV,3,,
TTEK,3,,
TVTY,3,,
UDOW,3,,
UDR,3,,
UE,3,,
UPRO,3,,
UPS,3,,
USMV,3,,
UYG,3,,
VBR,3,,
VFH,3,,
VIG,3,,
VIS,3,,
VLUE,3,,
VMIN,3,,
VMW,3,,
VO,3,,
VOE,3,,
VOO,3,,
VOYA,3,,
VRP,3,,
VTI,3,,
VTV,3,,
VV,3,,
VYM,3,,
WAT,3,,
WBA,3,,
WCN,3,,
WDR,3,,
WING,3,,
WRB,3,,
WRE,3,,
WSBC,3,,
WST,3,,
XLB,3,,
XLF,3,,
XLI,3,,
XLV,3,,
