2018-11-06_code,2018-11-06_days,2018-11-07_code,2018-11-07_days,2018-11-08_code,2018-11-08_days,2018-11-09_code,2018-11-09_days,2018-11-12_code,2018-11-12_days,2018-11-13_code,2018-11-13_days,2018-11-14_code,2018-11-14_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days
BNFT,0.0,RUN,0,EGAN,0.0,EGC,0.0,EGC,0.0,EGC,0.0,UBNT,0.0,,,EGC,0.0
CA,0.0,NOVT,0,EGC,0.0,CA,0.0,EDGW,0.0,ISCA,0.0,EGC,0.0,,,EDGW,0.0
EGC,0.0,ICLK,0,MTEM,0.0,AMPH,0.0,CA,0.0,EDGW,0.0,DORM,0.0,,,CA,0.0
ETP,0.0,LTRPA,0,CA,0.0,SVU,0.0,SVU,0.0,CA,0.0,EDGW,0.0,,,SVU,0.0
FLCA,0.0,EGC,0,JMEI,0.0,PX,0.0,PX,0.0,STRA,0.0,CA,0.0,,,PX,0.0
INGR,0.0,TRIP,0,SVU,0.0,ETP,0.0,ETP,0.0,MNK,0.0,GTYH,0.0,,,ETP,0.0
LH,0.0,IIVI,0,JE,0.0,PF,0.0,PF,0.0,SVU,0.0,RAD,0.0,,,PF,0.0
NXE,0.0,SANM,0,PX,0.0,ARES,0.0,BXMT,0.0,PX,0.0,SVU,0.0,,,KS,0.0
PF,0.0,CA,0,ETP,0.0,SJIU,0.0,NYRT,0.0,ETP,0.0,PX,0.0,,,NYRT,0.0
PHB,0.0,MRCY,0,PF,0.0,FAX,0.0,DX,0.0,PF,0.0,ETP,0.0,,,,
SBGI,0.0,FNJN,0,VST,0.0,,,DHY,0.0,KS,0.0,PF,0.0,,,,
SVU,0.0,MBUU,0,NQP,0.0,,,,,BXP,0.0,KS,0.0,,,,
WBA,0.0,SIVB,0,RBC,0.0,,,,,LXP,0.0,SPG,0.0,,,,
,,PNFP,0,DHY,0.0,,,,,DKT,0.0,KREF,0.0,,,,
,,CSBR,0,FLCA,0.0,,,,,CPT,0.0,IRM,0.0,,,,
,,SQ,0,,,,,,,RPT,0.0,CALX,0.0,,,,
,,FN,0,,,,,,,OHI,0.0,BIL,0.0,,,,
,,NGVT,0,,,,,,,NYRT,0.0,USRT,0.0,,,,
,,KRO,0,,,,,,,EHC,0.0,RWR,0.0,,,,
,,PDI,0,,,,,,,BZQ,0.0,FREL,0.0,,,,
,,SVU,0,,,,,,,,,NYRT,0.0,,,,
,,MC,0,,,,,,,,,FRT,0.0,,,,
,,GAB,0,,,,,,,,,HTA,0.0,,,,
,,ETP,0,,,,,,,,,EXTN,0.0,,,,
,,GDOT,0,,,,,,,,,OFG,0.0,,,,
,,ETV,0,,,,,,,,,TCF,0.0,,,,
,,PF,0,,,,,,,,,CHMI,0.0,,,,
,,AJRD,0,,,,,,,,,FTF,0.0,,,,
,,RS,0,,,,,,,,,,,,,,
,,CYH,0,,,,,,,,,,,,,,
,,SF,0,,,,,,,,,,,,,,
,,FLCA,0,,,,,,,,,,,,,,
