2018-11-05_code,2018-11-05_days,2018-11-06_code,2018-11-06_days,2018-11-08_code,2018-11-08_days,2018-11-11_code,2018-11-11_days,2018-11-15_code,2018-11-15_days,2018-11-16_code,2018-11-16_days,2018-11-17_code,2018-11-17_days,2018-11-18_code,2018-11-18_days,2018-11-20_code,2018-11-20_days,2018-11-21_code,2018-11-21_days,2018-11-26_code,2018-11-26_days,2018-11-27_code,2018-11-27_days,2018-11-28_code,2018-11-28_days,2018-11-30_code,2018-11-30_days,2018-12-02_code,2018-12-02_days,2018-12-04_code,2018-12-04_days,2018-12-05_code,2018-12-05_days,2018-12-08_code,2018-12-08_days
FLCA,0.0,LFVN,2.0,RUN,1,,,EGAN,3.0,XONE,2.0,XONE,2.0,DORM,3.0,AIF,4.0,BAB,2.0,ASA,1.0,ASA,2.0,AMH,0.0,ADMA,0.0,ADMA,1.0,ABMD,0.0,ABMD,1.0,ABMD,3.0
HAFC,0.0,NNDM,2.0,EGAN,0,,,XONE,0.0,UBNT,3.0,UBNT,3.0,INS,3.0,BAB,1.0,EQR,4.0,BAB,4.0,BAK,2.0,AQXP,0.0,AGEN,1.0,ADP,0.0,ADMA,2.0,ADMA,3.0,ADP,4.0
SSB,0.0,WBA,0.0,LFVN,4,,,UBNT,1.0,EGC,0.0,ISCA,4.0,IRM,3.0,BFZ,4.0,FAX,3.0,BAK,1.0,BBOX,0.0,ASA,3.0,AMH,2.0,AGEN,2.0,ADP,1.0,ADP,2.0,AGNC,3.0
PF,0.0,CROX,2.0,NNDM,4,,,EGC,0.0,ISCA,4.0,DORM,3.0,EQR,2.0,BIL,4.0,GNTX,1.0,CORI,1.0,CORI,2.0,BAK,3.0,AQXP,2.0,AMH,3.0,AGEN,3.0,AGEN,4.0,ANCX,4.0
TMV,0.0,BNFT,0.0,NOVT,1,,,ISCA,2.0,DORM,3.0,SNMX,2.0,CTRE,4.0,BUI,4.0,GSY,3.0,DNB,0.0,CRNX,0.0,BBOX,1.0,BBOX,3.0,ANCX,0.0,AGNC,0.0,AGNC,1.0,ANH,3.0
HCM,0.0,ENTG,2.0,WBA,2,,,DORM,1.0,SNMX,0.0,STRA,4.0,CPT,4.0,CALX,4.0,IEF,2.0,GNTX,3.0,DNB,1.0,CORI,3.0,BHR,1.0,APPN,0.0,AMH,4.0,ANCX,2.0,APPN,4.0
TBF,0.0,EGC,0.0,ICPT,0,,,SNMX,0.0,EDGW,0.0,GTYH,3.0,EHC,4.0,CHMI,4.0,IEI,2.0,IEF,4.0,GBIL,0.0,CRNX,1.0,BPMC,1.0,AQXP,3.0,ANCX,1.0,ANH,1.0,ARI,3.0
SVU,0.0,ZUMZ,4.0,CROX,4,,,EDGW,0.0,CA,0.0,VGSH,0.0,O,2.0,CIM,4.0,IPG,4.0,IEI,4.0,GNTX,4.0,DNB,2.0,CNC,1.0,BABY,0.0,ANH,0.0,APPN,2.0,AUPH,1.0
ETP,0.0,CJJD,2.0,ICLK,1,,,CA,0.0,STRA,4.0,CTRE,4.0,SPG,3.0,DORM,4.0,ITE,2.0,ITE,4.0,HCSG,0.0,GBIL,1.0,COLL,1.0,BBOX,4.0,APPN,1.0,ARI,1.0,BABY,4.0
SNMX,0.0,SBGI,0.0,BNFT,2,,,STRA,2.0,GTYH,3.0,MNK,4.0,KREF,3.0,EOD,4.0,MUB,2.0,JNUG,1.0,JNUG,2.0,HCSG,1.0,CORI,3.0,BHR,2.0,AQXP,4.0,BABY,2.0,BBOX,2.0
