,code,starttime
0,EARS,2018-08-16
1,IOVA,2018-08-22
2,IOVA,2018-07-12
3,IOVA,2018-01-08
4,CIFS,2018-04-25
5,CIFS,2018-01-25
6,GTXI,2018-08-20
7,GTXI,2018-01-18
8,HEAR,2018-05-03
9,HEAR,2018-03-16
10,QTNT,2018-03-08
11,QTNT,2018-02-21
12,GGAL,2018-01-09
13,TA,2018-08-30
14,TA,2018-08-16
15,TA,2018-05-24
16,TA,2018-04-27
17,TA,2018-02-13
18,SSRM,2018-10-10
19,CTRP,2018-02-14
20,SOHU,2018-06-13
21,FLDM,2018-03-06
22,FLDM,2018-02-08
23,TQQQ,2018-08-22
24,MNOV,2018-08-22
25,RDHL,2018-08-17
26,RDHL,2018-06-28
27,RDHL,2018-06-08
28,ACIU,2018-04-19
29,TOPS,2018-09-18
30,AWSM,2018-09-04
31,NTNX,2018-02-12
32,RUN,2018-03-09
33,SRPT,2018-05-24
34,SRPT,2018-01-18
35,WB,2018-01-02
36,GDS,2018-04-25
37,LE,2018-06-07
38,ABIO,2018-01-04
39,XNET,2018-03-01
40,XNET,2017-12-29
41,MACK,2018-08-15
42,MACK,2018-02-16
43,ASCMA,2018-08-15
44,IDXG,2018-08-28
45,IDXG,2018-07-12
46,IDXG,2018-07-05
47,IDXG,2018-05-07
48,KALA,2018-05-07
49,FLKS,2018-04-09
50,WIX,2018-08-22
51,WIX,2018-06-01
52,ZN,2018-03-16
53,NFLX,2018-03-02
54,BCRX,2018-09-21
55,ADSK,2018-08-02
56,TTWO,2017-12-28
57,ZGNX,2018-04-09
58,ATVI,2018-09-07
59,FTD,2018-04-03
60,ALDX,2018-09-19
61,ALDX,2018-03-01
62,EXTR,2018-05-15
63,GLUU,2018-09-07
64,INSG,2018-02-14
65,SAUC,2018-08-15
66,SAUC,2018-04-24
67,MNKD,2018-05-10
68,TNDM,2018-05-04
69,TNDM,2018-03-26
70,OKTA,2018-02-09
71,MFIN,2018-10-02
72,NEWT,2018-08-09
73,NEWT,2018-05-22
74,LFVN,2018-04-04
75,MRTX,2018-04-10
76,MRTX,2018-01-09
77,TSRO,2018-09-25
78,NVLN,2018-05-14
79,PLCE,2018-08-07
80,RSLS,2018-03-21
81,RSLS,2018-02-21
82,EKSO,2018-08-06
83,ABUS,2018-08-30
84,ABUS,2018-05-03
85,ABUS,2018-02-06
