,code,li_0_tmp,li_10_radio,li_10_tmp,li_5_radio,li_5_tmp,starttime
0,EARS,0.2899,-0.016902380131079735,0.285,0.13763366678164882,0.3298,1534392000000.0
1,IOVA,16.45,-0.1854103343465045,13.4,-0.2249240121580547,12.75,1534910400000.0
2,IOVA,14.65,-0.04778156996587038,13.95,-0.04436860068259388,14.0,1531368000000.0
3,IOVA,9.1,0.6318681318681318,14.85,0.32967032967032966,12.1,1515387600000.0
4,NXTD,3.18,0.03459119496855342,3.29,0.07861635220125786,3.43,1513141200000.0
5,CIFS,32.72,-0.1191931540342298,28.82,0.009168704156479348,33.02,1524628800000.0
6,CIFS,43.66,0.025423728813559473,44.77,0.01259734310581778,44.21,1516856400000.0
7,GTXI,19.89,0.24685771744595275,24.8,0.1623931623931624,23.12,1534737600000.0
8,GTXI,14.2,0.049295774647887404,14.9,0.023239436619718317,14.53,1516251600000.0
9,HEAR,11.42,0.4711033274956218,16.8,0.4299474605954464,16.33,1525320000000.0
10,HEAR,2.112,0.5577651515151515,3.29,0.21874999999999986,2.574,1521172800000.0
11,QTNT,6.25,-0.2464,4.71,-0.1328,5.42,1520485200000.0
12,QTNT,4.6,0.2565217391304349,5.78,0.10869565217391305,5.1,1519189200000.0
13,GGAL,72.17,-0.03283912983234037,69.8,-0.05902729666066239,67.91,1515474000000.0
14,TA,5.6,0.0,5.6,0.02678571428571435,5.75,1535601600000.0
15,TA,4.2,0.3333333333333332,5.6,0.011904761904761862,4.25,1534392000000.0
16,TA,3.375,0.0666666666666667,3.6,0.0518518518518518,3.55,1527134400000.0
17,TA,3.65,-0.12328767123287664,3.2,-0.136986301369863,3.15,1524801600000.0
18,TA,4.0,-0.07499999999999996,3.7,-0.06874999999999998,3.725,1518498000000.0
19,CTRP,46.99,0.0191530112789955,47.89,-0.031070440519259435,45.53,1518584400000.0
20,SOHU,41.3,-0.16271186440677965,34.58,-0.12033898305084743,36.33,1528862400000.0
21,APPN,33.06,0.16243194192377486,38.43,-0.03599516031457959,31.87,1513918800000.0
22,FLDM,6.85,-0.11824817518248171,6.04,-0.08029197080291968,6.3,1520312400000.0
23,FLDM,7.97,-0.2132998745294856,6.27,-0.09535759096612294,7.21,1518066000000.0
24,TQQQ,72.5,-0.040827586206896464,69.54,-0.07958620689655167,66.73,1534910400000.0
25,MNOV,11.52,-0.005208333333333223,11.46,-0.014756944444444439,11.35,1534910400000.0
26,RDHL,7.32,0.009562841530054562,7.39,0.021857923497267777,7.48,1534478400000.0
27,RDHL,9.3,0.07096774193548389,9.96,0.14838709677419343,10.68,1530158400000.0
28,RDHL,8.0,0.06624999999999992,8.53,-0.012499999999999956,7.9,1528430400000.0
29,RDHL,5.465,-0.0466605672461116,5.21,-0.019213174748398818,5.36,1514264400000.0
30,ACIU,10.9,-0.11376146788990828,9.66,-0.040366972477064174,10.46,1524110400000.0
31,TOPS,1.19,-0.07563025210084022,1.1,-0.10084033613445369,1.07,1537243200000.0
32,AWSM,4.3,1.3953488372093026,10.3,0.3651162790697675,5.87,1536033600000.0
33,NTNX,34.79,0.268467950560506,44.13,0.03276803679218168,35.93,1518411600000.0
34,RUN,7.66,0.18537859007832896,9.08,0.1005221932114882,8.43,1520571600000.0
35,CYTX,0.3016,0.22679045092838204,0.37,0.13461538461538472,0.3422,1513832400000.0
36,SRPT,95.85,0.06718831507563915,102.29,0.018362023995826867,97.61,1527134400000.0
37,SRPT,67.61,-0.15441502736281612,57.17,-0.03712468569738212,65.1,1516251600000.0
38,WB,121.68,0.05670611439842214,128.58,0.06180144641683088,129.2,1514869200000.0
39,GDS,28.57,0.273013650682534,36.37,0.08330416520826038,30.95,1524628800000.0
40,LE,29.35,-0.054514480408858645,27.75,-0.05110732538330494,27.85,1528344000000.0
41,ABIO,1.75,0.07142857142857142,1.875,-0.08571428571428566,1.6,1515042000000.0
42,XNET,13.72,-0.14431486880466474,11.74,-0.05685131195335285,12.94,1519880400000.0
43,XNET,19.46,-0.2014388489208634,15.54,-0.20041109969167525,15.56,1514523600000.0
44,MACK,5.42,-0.0018450184501844625,5.41,0.0756457564575646,5.83,1534305600000.0
45,MACK,11.46,-0.09336823734729496,10.39,-0.007853403141361398,11.37,1518757200000.0
46,ASCMA,2.89,-0.27681660899653987,2.09,-0.083044982698962,2.65,1534305600000.0
47,IDXG,1.51,0.11258278145695359,1.68,-0.03973509933774838,1.45,1535428800000.0
48,IDXG,1.03,-0.02436893203883507,1.0049,0.057281553398058196,1.089,1531368000000.0
49,IDXG,0.923,0.17984832069339102,1.089,0.11592632719393281,1.03,1530763200000.0
50,IDXG,0.96,-0.13541666666666669,0.83,-0.07343750000000002,0.8895,1525665600000.0
51,HTHT,36.1075,0.02021740635602013,36.8375,0.07055320916707053,38.655,1513832400000.0
52,KALA,17.3,-0.1658959537572255,14.43,-0.10982658959537574,15.4,1525665600000.0
53,FLKS,5.45,-0.11926605504587162,4.8,-0.02935779816513764,5.29,1523246400000.0
54,SINA,102.83,0.09316347369444714,112.41,-0.002236701351745638,102.6,1513141200000.0
55,WIX,109.6,0.0593065693430657,116.1,-0.030109489051094868,106.3,1534910400000.0
56,WIX,98.25,0.03765903307888044,101.95,0.05597964376590331,103.75,1527825600000.0
57,ZN,5.22,-0.16858237547892718,4.34,-0.15900383141762453,4.39,1521172800000.0
58,NFLX,331.44,-0.09202268887279749,300.94,-0.03919261404779148,318.45,1519966800000.0
59,BCRX,7.63,-0.08125819134993448,7.01,-0.11271297509829624,6.77,1537502400000.0
60,ADSK,135.11,0.008881651987269546,136.31,-0.010213899785360253,133.73,1533182400000.0
61,TTWO,116.91,0.012744846463091345,118.4,0.003335899409802417,117.3,1514437200000.0
62,ZGNX,40.25,-0.02360248447204976,39.3,-0.007453416149068253,39.95,1523246400000.0
63,ATVI,81.27,0.02362495385751202,83.19,-0.012058570198104957,80.29,1536292800000.0
64,FTD,5.42,0.09409594095940955,5.93,0.18819188191881928,6.44,1522728000000.0
65,FOLD,15.16,0.04089709762532976,15.78,-0.062664907651715,14.21,1513918800000.0
66,ALDX,13.35,-0.08988764044943816,12.15,-0.023220973782771572,13.04,1537329600000.0
67,ALDX,8.65,-0.05202312138728336,8.2,0.011560693641618455,8.75,1519880400000.0
68,EXTR,9.21,-0.06840390879478835,8.58,-0.061889250814332275,8.64,1526356800000.0
69,GLUU,7.6,-0.019736842105263087,7.45,-0.03947368421052629,7.3,1536292800000.0
70,INSG,1.97,0.0456852791878173,2.06,-0.07106598984771569,1.83,1518584400000.0
71,SAUC,1.1679,0.05317236064731574,1.23,0.01036047606815652,1.18,1534305600000.0
72,SAUC,1.34,-0.05970149253731348,1.26,-0.022388059701492557,1.31,1524542400000.0
73,MNKD,1.99,-0.010050251256281416,1.97,-0.02512562814070354,1.94,1525924800000.0
74,TNDM,8.9,0.595505617977528,14.2,0.4415730337078651,12.83,1525406400000.0
75,TNDM,5.16,0.48255813953488375,7.65,0.35852713178294565,7.01,1522036800000.0
76,OKTA,34.75,0.1176978417266188,38.84,0.08489208633093534,37.7,1518152400000.0
77,NEWT,23.44,-0.009812286689419813,23.21,0.010665529010238907,23.69,1533787200000.0
78,NEWT,20.11,-0.007956240676280465,19.95,-0.008950770760815501,19.93,1526961600000.0
79,LFVN,3.89,-0.010282776349614406,3.85,-0.002570694087403658,3.88,1522814400000.0
80,MRTX,32.15,0.015552099533437015,32.65,-0.12441679626749612,28.15,1523332800000.0
81,MRTX,24.8,0.04435483870967733,25.9,0.0907258064516129,27.05,1515474000000.0
82,TSRO,39.9,0.08771929824561404,43.4,0.07117794486215548,42.74,1537848000000.0
83,NVLN,4.49,-0.14922048997772835,3.82,-0.11135857461024498,3.99,1526270400000.0
84,PLCE,133.85,0.04744116548375043,140.2,0.021666044079193172,136.75,1533614400000.0
85,RSLS,1.4414,-0.5488414041903705,0.6503,-0.5418343277369224,0.6604,1521604800000.0
86,RSLS,1.56,-0.0833333333333334,1.43,0.0576923076923076,1.65,1519189200000.0
