,code,li_0_tmp,li_10_radio,li_10_tmp,li_5_radio,li_5_tmp,starttime
0,EARS,0.2899,-0.016902380131079735,0.285,0.13763366678164882,0.3298,2018-08-16
1,IOVA,16.45,-0.1854103343465045,13.4,-0.2249240121580547,12.75,2018-08-22
2,IOVA,14.65,-0.04778156996587038,13.95,-0.04436860068259388,14.0,2018-07-12
3,IOVA,9.1,0.6318681318681318,14.85,0.32967032967032966,12.1,2018-01-08
4,NXTD,3.18,0.03459119496855342,3.29,0.07861635220125786,3.43,2017-12-13
5,CIFS,32.72,-0.1191931540342298,28.82,0.009168704156479348,33.02,2018-04-25
6,CIFS,43.66,0.025423728813559473,44.77,0.01259734310581778,44.21,2018-01-25
7,GTXI,19.89,0.24685771744595275,24.8,0.1623931623931624,23.12,2018-08-20
8,GTXI,14.2,0.049295774647887404,14.9,0.023239436619718317,14.53,2018-01-18
9,HEAR,11.42,0.4711033274956218,16.8,0.4299474605954464,16.33,2018-05-03
10,HEAR,2.112,0.5577651515151515,3.29,0.21874999999999986,2.574,2018-03-16
11,QTNT,6.25,-0.2464,4.71,-0.1328,5.42,2018-03-08
12,QTNT,4.6,0.2565217391304349,5.78,0.10869565217391305,5.1,2018-02-21
13,GGAL,72.17,-0.03283912983234037,69.8,-0.05902729666066239,67.91,2018-01-09
14,TA,5.6,0.0,5.6,0.02678571428571435,5.75,2018-08-30
15,TA,4.2,0.3333333333333332,5.6,0.011904761904761862,4.25,2018-08-16
16,TA,3.375,0.0666666666666667,3.6,0.0518518518518518,3.55,2018-05-24
17,TA,3.65,-0.12328767123287664,3.2,-0.136986301369863,3.15,2018-04-27
18,TA,4.0,-0.07499999999999996,3.7,-0.06874999999999998,3.725,2018-02-13
19,CTRP,46.99,0.0191530112789955,47.89,-0.031070440519259435,45.53,2018-02-14
20,SOHU,41.3,-0.16271186440677965,34.58,-0.12033898305084743,36.33,2018-06-13
21,APPN,33.06,0.16243194192377486,38.43,-0.03599516031457959,31.87,2017-12-22
22,FLDM,6.85,-0.11824817518248171,6.04,-0.08029197080291968,6.3,2018-03-06
23,FLDM,7.97,-0.2132998745294856,6.27,-0.09535759096612294,7.21,2018-02-08
24,TQQQ,72.5,-0.040827586206896464,69.54,-0.07958620689655167,66.73,2018-08-22
25,MNOV,11.52,-0.005208333333333223,11.46,-0.014756944444444439,11.35,2018-08-22
26,RDHL,7.32,0.009562841530054562,7.39,0.021857923497267777,7.48,2018-08-17
27,RDHL,9.3,0.07096774193548389,9.96,0.14838709677419343,10.68,2018-06-28
28,RDHL,8.0,0.06624999999999992,8.53,-0.012499999999999956,7.9,2018-06-08
29,RDHL,5.465,-0.0466605672461116,5.21,-0.019213174748398818,5.36,2017-12-26
30,ACIU,10.9,-0.11376146788990828,9.66,-0.040366972477064174,10.46,2018-04-19
31,AWSM,4.3,1.3953488372093026,10.3,0.3651162790697675,5.87,2018-09-04
32,NTNX,34.79,0.268467950560506,44.13,0.03276803679218168,35.93,2018-02-12
33,RUN,7.66,0.18537859007832896,9.08,0.1005221932114882,8.43,2018-03-09
34,CYTX,0.3016,0.22679045092838204,0.37,0.13461538461538472,0.3422,2017-12-21
35,SRPT,95.85,0.06718831507563915,102.29,0.018362023995826867,97.61,2018-05-24
36,SRPT,67.61,-0.15441502736281612,57.17,-0.03712468569738212,65.1,2018-01-18
37,WB,121.68,0.05670611439842214,128.58,0.06180144641683088,129.2,2018-01-02
38,GDS,28.57,0.273013650682534,36.37,0.08330416520826038,30.95,2018-04-25
39,LE,29.35,-0.054514480408858645,27.75,-0.05110732538330494,27.85,2018-06-07
40,ABIO,1.75,0.07142857142857142,1.875,-0.08571428571428566,1.6,2018-01-04
41,XNET,13.72,-0.14431486880466474,11.74,-0.05685131195335285,12.94,2018-03-01
42,XNET,19.46,-0.2014388489208634,15.54,-0.20041109969167525,15.56,2017-12-29
43,MACK,5.42,-0.0018450184501844625,5.41,0.0756457564575646,5.83,2018-08-15
44,MACK,11.46,-0.09336823734729496,10.39,-0.007853403141361398,11.37,2018-02-16
45,ASCMA,2.89,-0.27681660899653987,2.09,-0.083044982698962,2.65,2018-08-15
46,IDXG,1.51,0.11258278145695359,1.68,-0.03973509933774838,1.45,2018-08-28
47,IDXG,1.03,-0.02436893203883507,1.0049,0.057281553398058196,1.089,2018-07-12
48,IDXG,0.923,0.17984832069339102,1.089,0.11592632719393281,1.03,2018-07-05
49,IDXG,0.96,-0.13541666666666669,0.83,-0.07343750000000002,0.8895,2018-05-07
50,HTHT,36.1075,0.02021740635602013,36.8375,0.07055320916707053,38.655,2017-12-21
51,KALA,17.3,-0.1658959537572255,14.43,-0.10982658959537574,15.4,2018-05-07
52,FLKS,5.45,-0.11926605504587162,4.8,-0.02935779816513764,5.29,2018-04-09
53,SINA,102.83,0.09316347369444714,112.41,-0.002236701351745638,102.6,2017-12-13
54,WIX,109.6,0.0593065693430657,116.1,-0.030109489051094868,106.3,2018-08-22
55,WIX,98.25,0.03765903307888044,101.95,0.05597964376590331,103.75,2018-06-01
56,ZN,5.22,-0.16858237547892718,4.34,-0.15900383141762453,4.39,2018-03-16
