code,name,open,latestPrice,pe,pb,eps
CORI,"Corium International, Inc.",12.53,12.7,0.0,18.495031,-1.546149
EARS,Auris Medical Holding AG,0.7775,0.98,0.0,-6.665776,-3.126533
YGYI,"Youngevity International, Inc.",10.3,13.3,0.0,18.115236,-0.548478
YVR,Leading Brands Inc,0.65,0.8401,0.0,-46.020704,-0.199031
IMMY,Imprimis Pharmaceuticals Inc.,2.26,2.95,0.0,16.683469,-0.45604
AQMS,"Aqua Metals, Inc.",2.45,2.92,0.0,1.578125,-1.234358
AMDA,Amedica Corp,0.25,0.31,0.0,0.325375,-5.035529
SBFGP,"SB Financial Group, Inc.",22.77,25.05,20.04,0.0,1.25
AGRX,"Agile Therapeutics, Inc.",0.6,0.74,0.0,0.969003,-0.750534
IOVA,"Iovance Biotherapeutics, Inc.",11.23,11.93,0.0,4.214969,-1.358864
LIFE,Life Technologies Corporation,0.66,0.73,0.0,0.480354,-1.500937
RIOT,"Riot Blockchain, Inc.",2.22,2.57,0.0,2.15137,-5.201001
SHLD,西尔斯,0.3584,0.407,0.0,-0.010077,-12.129591
NXTD,Nxt-ID Inc.,1.24,1.45,0.0,1.972817,-0.533817
CIFS,圣盈信,3.36,3.58,3.411148,1.027751,1.0495
AKER,Akers Biosciences Inc,0.36,0.3538,0.0,0.797958,-0.41
REPL,Replimune Group Inc.,11.29,13.01,0.0,-10.607852,-5.259559
CLDC,中国贷款公司,1.05,1.19,0.0,4.76627,-6.524339
GTXI,GTx,1.6,1.72,0.0,1.03815,-2.002764
HEAR,Parametric Sound Corp.,18.75,20.61,11.815798,57.164495,1.744275
QTNT,Quotient,6.05,6.74,0.0,-10.105071,-2.015526
GGAL,加利西亚金融,22.18,24.61,7.434102,0.054122,3.31042
SRRA,Sierra Oncology Inc,1.54,1.71,0.0,1.053688,-0.737886
NCTY,第九城市,1.23,1.37,0.0,-0.424001,-2.417868
TA,TravelCenters of America,4.75,5.0,0.0,0.378821,-0.048497
HAIR,Restoration Robotics Inc,1.81,1.98,0.581806,128.511834,3.403199
LYL,龙运国际,1.9075,2.04,113.7758,2.104322,0.01793
TLRY,Tilray Inc.,140.0,148.3,0.0,392.054648,-0.302787
AEHR,Aehr Test Systems,1.91,2.09,0.0,2.56311,-0.044444
SSRM,SSR Mining Inc,10.12,10.58,0.0,1.304985,0.0
HSGX,Histogenics Corporation,0.5912,0.5627,0.0,-1.32984,-1.128445
ASTC,Astrotech Corporation,2.94,3.19,0.0,3.272605,-3.262989
GLBS,Globus Maritime Limited,0.3995,0.42501,0.0,0.323513,-0.141188
DOCU,Docusign,42.09,44.64,0.0,9.415222,-8.289473
EPIX,ESSA Pharma Inc.,3.2,3.6279,0.0,-24.698393,-0.24
ARDM,Aradigm Corporation,1.26,1.38,0.0,-1.04249,-1.11132
CDTI,Clean Diesel Technologies,1.402,1.5,0.0,2.665163,-0.255454
GRVY,GRAVITY Co,16.78,17.6253,7.328327,2.417002,2.405092
MGTA,Magenta Therapeutics Inc.,9.26,9.98,0.0,1.905926,-14.283933
CHCI,康斯托克住宅建筑,2.17,2.39,0.0,-0.695681,-1.891252
MMYT,MakeMyTrip Limited,22.8,24.32,0.0,1.697324,-1.974083
