code,name,pe,pb,eps,count,max,mean,min,volume_end,volume_start,year
CYHHZ,Community Health Systems Inc. - Series A Contingent Value Right,0,0,0,56,0.075,0.018808929,0.0042,10343849.21,17756064.61,4
BHACR,Barington/Hilco Acquisition Corp,0,0,0,41,0.41,0.2382,0.14,208391.1429,96873.65,3
KBLMR,KBL Merger Corp IV,0,0,0,15,0.44,0.34289,0.29,405248.375,684563,1
BCACR,Bison Capital Acquisition Corp,0,0,0,14,0.5,0.368242857,0.2625,59705.85714,365746.1429,1
MMDMR,Modern Media Acquisition Corp,0,0,0,15,0.54,0.429006667,0.3301,691850.5,790473.4286,1
JSYNR,Jensyn Acquistion Corp. Rights,0,0,0,29,0.5498,0.279834483,0.14,162260.8,122723,2
ESNC,EnSync Inc.,15.879279,2.182503,0.020278,37,0.9857,0.474135135,0.203,5016360.789,4223583.5,3
AIII,ACRE Realty Investors Inc,0,0.86037,-0.13,30,1.7335,1.284826667,0.82,318091.4,113221.0667,2
TMQ,Trilogy Metals Inc.,0,5.614852,-0.207743,24,1.93,0.982575,0.4556,4408998.667,2981638.333,2
PZG,Paramount Gold Nevada,0,0.53292,-0.407326,41,2.11,1.468146341,1,1060063.429,1280792.85,3
ZOM,Zomedica Pharmaceuticals Corp.,0,0,0,10,2.3954,2.12225,1.97,1611446.2,331873.4,0
SILV,SilverCrest Metals Inc,0,0,0,1,2.45,2.45,2.45,457510,,0
GCVRZ,Sanofi,0,0,0,89,2.48,0.835823596,0.09,8408810.244,22559627.27,7
LIQT,"LiqTech International, Inc.",0,8.090469,-0.093875,57,2.55,0.952915789,0.302,3745876.552,2059324.643,4
NXE,Nexgen Energy Ltd.,0,4.714215,-0.0747,16,2.56,2.1353125,1.7,5486957.5,3231441.875,1
EMX,Eurasian Minerals Inc,0,2.871537,-0.0194,80,2.56,1.12536375,0.39,1294112.4,1366112.5,6
BPMX,BioPharmX Corporation,0,3.538452,-0.138453,39,2.56,0.693223077,0.1102,89578597.55,4979604.158,3
WMIH,WMIH Corp,44.227843,19.767039,0.035498,36,2.6,1.7014,0.83,25741305.17,12824741.89,3
XSPA,XpresSpa Group,0,0.302339,-1.621634,28,2.69,1.492235714,0.1726,5175597.071,3118372.357,2
MTNB,"Matinas BioPharma Holdings, Inc",0,-20199.77683,-0.150273,18,2.77,1.216388889,0.353,6232194,7888554.667,1
GSV,Gold Standard Ventures Corp,0,2.745798,-0.04,75,2.78,1.193858667,0.34,12524881.68,2743181.081,6
SMTS,Sierra Metals Inc.,0,0,0,14,2.78,2.57385,2.32,983575.7143,432263.4286,1
AUG,Auryn Resources Inc,0,0,0,14,2.81,1.597221429,1.02,2025401.571,1994730.286,1
ASM,Avino Silver & Gold Mines,33.000001,0.772254,0.03,85,2.85,1.505070588,0.7855,5187561.442,1777021.429,7
GLOW,Glowpoint,1.412588,0.739263,0.122895,81,2.9499,0.992464198,0.1601,3762069.146,501080,6
CPSH,CPS Technologies Corp,0,2.166685,-0.12206,44,2.95,1.852686364,1.09,736459.4091,201747.5455,3
LLIT,联络智能,0,2.514669,-0.296687,22,2.995,1.660422727,1.12,979234.1818,441987.7273,1
TEUM,Pareteum Corp,0,6.012929,-0.531674,22,2.9975,1.9362,0.5803,72350935.64,7754035,1
SNGX,"Soligenix, Inc.",0,9.505601,-0.883982,21,3.08,2.052290476,0.97,3151820.636,5644476.8,1
AMRH,"Ameri Holdings, Inc.",0,1.874954,-0.586163,10,3.1,1.80811,0.78,15133052.4,4763825.2,0
INSG,Novatel Wireless Inc,0,-3.431963,-0.532292,22,3.13,1.956363636,1.02,5936239.636,4504026.182,1
BTG,B2Gold Corp Common shares (Canad,58.250001,1.503447,0.04,63,3.13,2.257560317,0.7463,89497011.66,44867807.97,5
SAUC,"Diversified Restaurant Holdings, Inc. ",0,-1.682175,-0.817474,34,3.16,1.712385294,0.92,2041485.059,1083918.118,2
SUNW,"Sunworks, Inc.",0,1.507152,-0.382643,30,3.17,1.75858,0.6885,3009507.6,3646013.467,2
URG,Ur-Energy Inc,0,2.648073,-0.02,122,3.25,0.949045902,0.45,10385598.44,8345883.607,10
TWNKW,Hostess Brands Inc,0,0,0,22,3.26,2.156809091,1.29,3347198.364,5956185.545,1
YOGA,Yogaworks Inc.,0.094712,0.422788,12.14207,13,3.3,2.432723077,1.1954,1002717,1989068.667,1
LRAD,LRAD Corporation,0,3.244383,-0.035192,102,3.31,1.885019608,0.93,1526620.314,1766460.784,8
XXII,22nd Century Group Inc,0,4.288231,-0.106281,54,3.41,1.709024074,0.76,40611912.22,8981068.667,4
MOGO,Mogo Finance Technology Inc.,0,0,0,5,3.44,2.96384,2.5862,630277.6667,594466.5,0
JTPY,JetPay Corp,0,-4.967227,-0.827934,61,3.46,2.354585246,1.53,572007.5484,228980.7,5
ALN,绿润集团,0,-10.147118,-1.238316,108,3.46,1.350763056,0.165,1601902.722,1660431.481,9
EGI,Entree Gold,0,-2.409233,-0.04,189,3.46,1.109821164,0.168,2281857.8,1699885.106,15
BKYI,"SBIO-key International, Inc.",0,2.045863,-0.639867,14,3.53,2.269192857,1.4386,1029337.286,624367.7143,1
DLPN,"Dolphin Entertainment, Inc.",9.36995,6.866047,0.282819,9,3.6,3.228888889,2.67,1549787.8,217601.5,0
SGLB,"Sigma Labs, Inc",0,2.038295,-1.051323,19,3.6,1.889605263,0.86,7346347.6,754453.8889,1
SOLO,Electrameccanica Vehicles Corp.,0,15.356514,-0.43737,1,3.6,3.6,3.6,3253873,,0
WRN,Western Copper and Gold Corp,0,1.923885,-0.03,91,3.6154,1.041151648,0.23,1703033.043,1142808.889,7
ENSV,Enservco Corp,0,4.216851,-0.110078,54,3.64,1.139840741,0.3101,3077744.63,2446201.815,4
NVMM,"Novume Solutions, Inc.",0,20.760732,-0.451029,8,3.75,2.4598,1.3027,273275.25,91599.5,0
CYRN,Cyren Ltd,0,3.718014,-0.431278,55,3.755,2.276270909,1.34,971886.4286,2771080.815,4
BHTG,"BioHiTech Global, Inc.",0,48.525435,-1.387684,5,3.84,3.5175,3.166,408046,223945,0
CPHI,中国医药控股有限公司,0,0.241772,-0.397533,108,3.85,0.892775926,0.1366,4109706.87,1692305.556,9
FLL,Full House Resorts Inc,0,1.347888,-0.335975,65,3.89,2.237009231,1.07,1002920.091,1046386.219,5
ATIS,Attis Industries Inc.,0,0.782194,-2.719374,20,3.89,1.468265,0.33,11385721,694523.8,1
INFU,InfuSystems Holdings Inc,0,2.059737,-0.810107,93,3.94,2.365422581,0.94,992261.8936,1018447.826,7
PLM,Polymet Mining,0,1.315631,-0.04,215,3.96,1.262352558,0.04,6018264.935,2494825.234,17
DFFN,Diffusion Pharmaceuticals Inc,0.334317,0.73746,1.190786,22,3.99,1.640077273,0.3698,9683593.818,4636200.091,1
PRVB,"Provention Bio, Inc",0,-8.363587,-2.135024,2,4,3.925,3.85,1129931,1072037,0
ADIL,Adial Pharmaceuticals,0,-16.343258,-0.410256,2,4,3.54205,3.0841,344892,345536,0
CVRS,"Corindus Vascular Robotics, Inc.",0,74.800778,-0.214391,40,4,1.62088,0.5403,17623669.25,3520136.25,3
UAMY,United States Antimony Corp,0,3.779862,-0.020308,75,4.04,0.956989333,0.201,1749751.211,1271124.324,6
MYND,"MYnd Analytics, Inc.",0,3.08786,-2.312807,14,4.06,2.768571429,1.19,5927746.286,651740.8571,1
MLSS,"Milestone Scientific, Inc.",0,5.051018,-0.189131,70,4.11,1.820627143,0.72,660132.6,564873.1429,5
SENS,"Senseonics Holdings,Inc.",0,5.661309,-0.647719,30,4.11,2.968666667,1.4,22014487.6,3154753.333,2
ARPO,Aerpio Pharmaceuticals Inc,0,2.832188,-0.259767,3,4.15,3.883333333,3.57,1568686,2010749,0
MOC,Command Security Corp,0,1.144189,-0.079594,252,4.15,1.906258333,0.5,536815.8175,390467.4603,21
AMMA,Alliance Mma Inc.,0,1.0965,-1.176574,23,4.18,1.595878261,0.185,8829900.583,895879.8182,1
APPS,Digital Turbine Inc.,0,3.722681,-0.683234,44,4.18,1.669045455,0.68,9883963.045,5913518.182,3
VTGN,"VistaGen Therapeutics, Inc.",0,10.831053,-1.038462,28,4.23,2.188557143,0.7663,15087600.14,812747.6429,2
DGLT,Digiliti Money Inc,0,0.090834,-6.220214,8,4.2437,2.3025125,0.02,7492898.75,631238.5,0
GSAT,全球星,5.586101,1.727714,0.093303,52,4.25,1.856296154,0.4899,103453210.2,84627302.27,4
