code,name,pe,pb,eps,count,end,max,mean,min,price_end,price_middle,price_start,start,std,volume_end,volume_start,year
AMMA,Alliance Mma Inc.,0.0,1.0965,-1.176574,24.0,0.275,4.18,1.540841666666666,0.185,0.35516249999999994,1.351125,2.9162375,4.99,1.2676675674902576,7796400.833333333,1876554.6666666667,2.0
SSC,"Seven Stars Cloud Group, Inc.",0.0,10.880158,-0.313602,23.0,4.05,4.61,2.3678304347826087,1.15,2.6275,2.545,1.8685857142857143,1.519,0.9268587650744082,21867699.666666668,2693508.272727273,1.0
GERN,杰龙,0.0,5.343057,-0.174465,253.0,6.02,51.79,6.688969762845858,1.01105,2.671461176470589,6.186817857142858,11.256457738095245,9.0994,5.729334120373998,45176940.11811024,14591368.253968254,21.0
GLG,中国商业信贷公司,4.69841,4.701573000000001,0.168142,56.0,0.861,10.09,2.6264704464285704,0.2771,1.790802368421053,1.0031105263157896,5.222111111111111,6.0,2.6290179414585895,5115759.535714285,1104438.392857143,4.0
CNAT,Conatus Pharmaceuticals Inc.,0.0,7.8554699999999995,-0.593648,63.0,5.4673,11.22,5.392100000000002,1.74,5.137014285714285,3.215238095238096,7.8240476190476205,11.0,2.338378340962786,12723103.71875,8384213.29032258,5.0
GRNQ,Greenpro Capital Corp.,0.0,42.84891,-0.041346,4.0,6.75,10.0,7.348000000000001,6.292,6.521,6.35,10.0,11.8,1.7796861146468124,56789.5,17181.0,0.0
CRON, Cronos Group Inc.,0.0,0.0,0.0,8.0,11.1457,11.1457,7.830712500000001,6.05,9.025233333333333,6.5566666666666675,7.95,8.24,1.9442575677675602,146973230.5,46728650.25,0.0
ADSK,欧特克,0.0,-142.589436,-1.894145,253.0,154.21,154.35,36.179209486166016,4.6875,64.67941176470589,34.16749999999999,9.351428571428574,10.9375,29.891773381491863,58837227.68503937,67279585.71428572,21.0
SYBX,"Synlogic, Inc.",4.424599,1.591413,2.045383,36.0,10.88,43.75,18.28460833333334,8.75,10.646666666666667,13.291191666666668,30.915966666666662,50.75,10.491388555147093,1443203.5,163103.38888888888,3.0
SPLK,Splunk Inc,0.0,15.639029,-1.955666,78.0,129.65,129.65,61.13410256410253,28.03,77.86115384615385,58.159615384615385,47.381538461538454,32.0,21.327760653871387,36075137.07692308,33971469.23076923,6.0
TLRY,Tilray Inc.,0.0,95.80005799999999,-0.16414700000000002,3.0,72.3,72.3,53.20000000000001,22.1,72.3,65.2,22.1,23.05,27.166339466332225,61415586.0,51569565.0,0.0
SITO,"SITO Mobile, Ltd.",0.0,2.704093,-0.904724,38.0,1.92,7.65,3.8055210526315775,1.92,4.572307692307693,3.650000000000001,3.143316666666666,4.18,1.5009210300557878,4465396.52631579,1624418.3684210526,3.0
LTRX,创力,154.454593,4.598344,0.037422000000000004,218.0,5.37,61.7898,7.775041743119266,0.83,1.957943835616438,4.438087671232877,17.05623333333333,50.9898,11.808860794368943,907362.8899082568,540168.8073394495,18.0
IDXG,Interpace Diagnostics Group Inc,0.0,0.987297,-0.8672700000000001,34.0,1.471,5.2,2.0533911764705883,0.83,1.0776583333333334,2.2144909090909093,2.9567272727272726,0.0,1.2280153119091888,24555923.17647059,11443879.05882353,2.0
RGSE,"Real Goods Solar, Inc.",0.0,-142.963333,-2.29786,125.0,0.4475,87000.0,19877.739248,0.3236,268.7952142857142,21049.142976190473,38764.97565853659,108000.0,19307.844193942576,8570546.46031746,264.8225806451613,10.0
ROSE,Rosehill Resources Inc.,32.760294,1.393729,0.250303,31.0,8.15,10.45,8.942841935483873,5.87,7.762727272727273,9.1128,10.071010000000001,9.95,1.3537910429048725,675034.25,304848.26666666666,2.0
SNOA,"Sonoma Pharmaceuticals, Inc.",0.0,0.981693,-2.9000369999999998,22.0,1.8681,7.17,4.838545454545455,1.8681,2.9010124999999993,5.328557142857143,6.562857142857142,4.918,1.751549668620625,1512143.3636363635,617754.7272727273,1.0
ADAP,Adaptimmune Therapeutics plc,0.0,5.861617,-0.965384,41.0,10.71,18.33,8.732682926829266,4.03,9.665714285714287,5.489285714285714,11.220769230769228,19.25,3.4119972335790694,7148523.571428572,5012920.15,3.0
TRPX,Therapix Biosciences Ltd.,0.0,2.714642,-13.694679999999998,19.0,4.08,8.08,5.482436842105264,3.6,4.288785714285714,5.509133333333334,6.848333333333334,6.3,1.251265991444277,1486285.2,1288897.111111111,1.0
BRY,Berry Petroleum Corp,0.0,0.0,0.0,3.0,16.16,16.39,15.433333333333332,13.75,16.16,16.39,13.75,13.25,1.4623383101503338,6924453.5,7694524.0,0.0
CLGN,Collplant Holdings Ltd.,0.0,7.271128,-2.26235,9.0,5.39,8.95,6.450977777777777,5.39,5.6706,5.865666666666666,7.816666666666666,8.95,1.1773145095701676,92513.6,3102.25,0.0
FTEK,燃料技术,0.0,0.8349850000000001,-0.14605,253.0,1.21,34.25,6.449008695652172,0.7901,3.1384611764705865,13.027619047619055,3.220357142857143,1.63,6.550166959704428,2814161.7007874018,2498392.8571428573,21.0
PTIE,Pain Therapeutics,0.0,1.919862,-1.449956,219.0,0.9801,150.08,39.550161643835615,0.9801,15.433087671232876,46.98342465753427,56.233972602739726,101.5,25.469320846241605,1986474.9272727272,643808.1284403669,18.0
IVTY,"Invuity, Inc.",0.0,40.776599,-1.940173,40.0,4.65,14.12,8.049499999999998,3.3,5.503571428571429,8.644615384615385,10.196153846153846,12.75,3.2085893937111822,3044812.65,1594565.25,3.0
KZIA,Kazia Therapeutics Limited,0.0,0.88323,-0.9932799999999999,237.0,3.44,2730.0,606.2749092826999,2.9246,10.458348101265829,585.2271392405063,1223.139240506329,700.0,686.6188909201587,435703.59663865546,4004.4491525423728,19.0
IDRA,井寺制药,0.0,2.929305,-2.794715,148.0,9.945,120.0,32.438398648648665,4.0,18.6823,16.265469387755104,62.64816326530614,35.2,27.343767583175495,3577563.108108108,130417.54054054055,12.0
CTRN,Citi Trends,22.038904000000002,2.295628,1.522308,161.0,30.84,48.46,22.776521739130448,8.78,22.222407407407403,18.14462962962963,28.060377358490577,16.95,8.892359080333346,2023286.024691358,4133563.75,13.0
AVGR,"Avinger, Inc.",0.0,2.435885,-36.563373999999996,45.0,1.61,908.4,253.05411111111113,1.11,6.224466666666666,182.0312,570.9066666666666,526.0,265.56012662014996,8326068.217391305,68195.36363636363,3.0
ICHR,Ichor Holdings Ltd.,7.883942,2.429648,3.064457,22.0,25.75,31.92,23.074090909090913,10.82,23.86625,26.968571428571426,18.274285714285714,10.25,4.803419078998298,23108102.09090909,11553898.090909092,1.0
LMFA,"LM Funding America, Inc",0.0,1.757264,-2.1334150000000003,34.0,0.4901,8.9899,4.319959441176472,0.415,1.1077600833333332,3.902336363636364,8.2418,8.9,3.0653301112946068,9102724.11764706,86189.94117647059,2.0
ARCI,Appliance Recycling Centers Of America,0.0,0.228481,-1.043672,253.0,1.05,11.0,2.727391505928851,0.5,2.1442123647058837,3.8900238095238096,2.1548809523809522,2.81,1.6616699049702728,872815.188976378,124838.09523809524,21.0
