code,name,pe,pb,eps,count,end,max,mean,min,price_end,price_middle,price_start,start,,std,volume_end,volume_start,,year
AMMA,Alliance Mma Inc.,0,1.0965,-1.176574,24,0.2725,4.18,1.5407375,0.185,0.35485,1.351125,2.9162375,4.99,,1.267776205,7815453.667,1876554.667,5938899,2
SSC,"Seven Stars Cloud Group, Inc.",0,10.880158,-0.313602,23,4.35,4.61,2.380873913,1.15,2.665,2.545,1.868585714,1.519,,0.953340215,22082927.75,2693508.273,19389419.48,1
GERN,杰龙,0,5.343057,-0.174465,252,5.96,51.79,6.678229167,1.01105,2.648555952,6.155658333,11.23047321,9.3356,,5.738323692,45439950.75,14729604.76,30710345.98,21
CHS,Chicos Fas Inc,12.43958,1.829264,0.752437,252,9,47.05,12.96472183,0.3611,13.92892857,18.1097619,6.855475,0.3611,8.6389,9.026730667,61731958.6,56505306.35,5226652.246,21
CNAT,Conatus Pharmaceuticals Inc.,0,7.85547,-0.593648,63,5.23,11.22,5.388333333,1.74,5.125714286,3.215238095,7.824047619,11,,2.338446376,12740776.69,8384213.29,4356563.397,5
GRNQ,Greenpro Capital Corp.,0,42.84891,-0.041346,4,7.65,10,7.573,6.292,6.971,6.35,10,11.8,,1.735218334,58747,17181,41566,0
CRON, Cronos Group Inc.,0,0,0,8,11.15,11.15,7.83125,6.05,9.026666667,6.556666667,7.95,8.24,,1.945305246,152785429,46728650.25,,0
ADSK,欧特克,0,-142.589436,-1.894145,252,153.59,154.35,36.27529762,4.6875,65.11119048,34.20886905,9.505833333,11.345,,29.90033423,58357292.3,67750343.65,,21
GOOG,谷歌,52.022199,5.241846,23.464022,55,1197,1218.19,783.2020909,520.51,1035.756842,743.0411111,556.7775,566.47,630.53,213.0576556,31724502.75,32264182.67,,4
SPLK,Splunk Inc,0,15.639029,-1.955666,78,128.64,128.64,61.12115385,28.03,77.82230769,58.15961538,47.38153846,32,,21.28588788,36113672.41,33971469.23,,6
TLRY,Tilray Inc.,0,95.800058,-0.164147,3,77.01,77.01,54.77,22.1,77.01,65.2,22.1,23.05,,28.90269365,67134221,51569565,,0
