code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,month_rs,price,volume_end,volume_start,year,year_rs
CMLS,Cumulus Media,1.024342,0.225196,19.417343,706000000,123.4952,237,14.33481855,68.1853481,2367117.328,1121676.619,19,7.329968706
LBY,Libbey Inc,0,3.597407,-3.855037,3988000,5.7933,252,3.606420352,21.5871627,2522052.167,1490511.111,21,1.890120857
EGLE,伊格尔散货航运,0,0.802624,-0.331021,3450800,1.586,160,3.453642381,2018.941282,2820515.413,78046.325,13,1.902684579
VNDA,Vanda Pharmaceuticals Inc,1630.934176,4.440155,0.01306,4611000,4.0059,149,2.773949691,10.44208054,13588845.85,975589275.7,12,1.553130995
SQM,智利矿业化工,24.338943,5.91419,1.790957,134000000,0.3254,252,2.061156565,19.70200635,15262411.23,62799738.89,21,1.128180546
IDSA,美国工业服务,52.256313,1.505918,0.043057,797000,3.1141,252,1.755975147,3.843614683,726850.6349,2836586.008,21,1.087602056
KEM,Kemet Corp,32.687089,3.128866,0.782572,35220000,-0.8402,161,1.703994156,13.71602205,10745645.21,6182146.25,13,0.997197631
AQXP,"Aquinox Pharmaceuticals, Inc.",0,0.825444,-1.696466,2918000,1.212,55,1.643748012,10.56954545,4483251.357,6536596.963,4,0.890501919
ESEA,Euroseas Ltd,0,4.60056,-0.475808,2661400,3.5697,148,1.589109759,4.926916216,3066256.041,2585875.608,12,0.896064468
HGSH,汉广厦房地产,6.90001,0.399184,0.217391,3379900,1.1463,97,1.534354897,2.86547732,1188957.776,871570.8333,8,0.882669135
PED,Pedevco Corp.,0.547417,1.173651,3.726591,66290000,16.3662,61,1.341783508,7.042922951,5402179.839,131751.2667,5,0.715494767
LIVE,LiveDeal,3.162425,0.513499,3.272805,2077000,-0.024,96,1.284787702,12.81015,1018866.479,1273354.521,8,0.735094632
TAOP,淘屏,19.377899,7.561791,0.069667,2074800,0.23,145,1.187612877,5.410034345,4049937.288,2799930.556,12,0.765878494
ATSG,美国空运,12.164906,2.878199,1.744362,24634000,1.4585,183,1.108798698,8.174453552,5388464.087,9501732.967,15,0.696573699
MMS,马克西姆斯服务,18.942975,4.007482,3.464081,60242000,0.0425,252,1.107795795,15.01889286,52255905.82,128136952.4,21,0.626516479
YRCW,耶路全球,0,-0.955933,-0.142387,14400000,-0.2421,252,1.102209087,852006925,7813424.952,0.015873016,21,0.747575524
BOOM,Dynamic Materials Corporation,0,5.780619,-0.423172,6372000,32.7143,252,1.086996479,15.12823413,2292396.754,9069703.175,21,0.721912965
ATHX,Athersys,0,4.952145,-0.206371,6933000,2.1063,133,1.085325468,2.041947368,15985519.43,4742180.303,11,0.715112772
MERC,美世国际,10.92934,2.142099,1.619494,16755000,8.9634,252,1.058485315,8.191289683,4217674.286,1631420.635,21,0.662537797
GTIM,恋上餐厅,0,1.620882,-0.110648,685000,20.5714,252,1.03405465,18.74951786,675416.4603,7004.825397,21,0.630265347
MARK,Remark Media,0,-6.956738,-4.631426,3379000,1.7844,132,1.026770969,7.641627273,4158334.621,305707.5758,11,0.713088016
NVO,诺和诺德,18.346216,12.287044,2.682297,10343000000,0.0394,252,1.024696004,12.29392103,87752401.42,72909563.49,21,0.576293954
MXC,Mexco Energy Corp,0,1.228542,-0.005654,14400,1.0488,252,0.96560558,6.574829762,358954.6349,67518.01587,21,0.694283388
FTNT,飞塔信息,152.145721,17.42748,0.528375,49300000,1.1435,107,0.948608785,22.05915888,36668445.41,201703509.4,8,0.551813942
LEE,李氏企业,3.518918,-3.3549,0.824117,4750000,-0.2445,252,0.910844707,17.3454504,6932355.508,2932303.968,21,0.622973751
JHX,詹姆斯哈迪,38.482087,7.807403,0.406163,90600000,0.5784,204,0.902574989,4.012490196,1027695.314,1207254.902,17,0.521968918
GTN,格林电视,5.406215,1.444398,3.144529,40705000,-0.4231,252,0.893704995,9.847196032,11784094.21,2325228.175,21,0.620105436
ACCO,ACCO Brands,9.50333,1.738444,1.310067,25700000,0.0936,158,0.893275726,11.10920886,14990359.37,8079907.595,13,0.548792346
LUNA,Luna Innovations Incorporated,5.938619,1.972319,0.614621,1067300,0,148,0.885795471,2.326802703,2173205.446,1607250,12,0.607086097
BBX,亚特兰大银行,10.549433,1.324514,0.707147,12439000,-0.2306,252,0.87847101,149.602177,1638954.587,168325.3333,21,0.621153503
JAZZ,爵士制药,23.161068,3.524031,7.228078,92321000,-0.1258,136,0.850002748,79.77944853,12857452.82,12183214.71,11,0.541935396
TGC,Tengasco Inc,9.795715,1.789457,0.112294,109000,1.6124,252,0.849091832,23.58381255,1103264.913,298570.5873,21,0.651457229
DENN,Denny’s Corporation,22.850252,-8.254188,0.671765,11626000,0.3288,251,0.831085898,5.152011952,10411716.79,7719206.4,20,0.529213226
UONE,第一电台,0.986222,5.282005,2.43353,23896000,22.6594,233,0.829471657,9.676775536,127867.359,3220496.552,19,0.670866218
SNBR,Sleep Number Corporation,19.544799,-53.72341,1.666428,3744000,5.8123,238,0.82404278,15.13905462,16477543.44,11739602.13,19,0.553066188
FORD,福沃德工业,10.470989,1.331912,0.146118,235500,-0.5733,252,0.823816971,2.850265079,2460898.992,3619623.016,21,0.587382506
DRYS,DryShips Inc,0.023641,0.691398,204.731049,3576000,1.2286,164,0.816938596,137076545.4,14189362.09,14.64634146,13,0.598376444
ISIG,Insignia Systems,16.53054,1.588415,0.122803,184000,1.3446,252,0.812821926,3.306833333,689684.246,883854.7619,21,0.565837452
WNC,Wabash National Corp,9.052344,2.155601,2.077915,31902000,0.3904,252,0.809435117,13.82654762,18618943.17,4546219.841,21,0.515540405
VG,Vonage Holdings,0,6.566947,-0.057815,8559000,0.7739,149,0.80942677,4.281912752,36165606.89,48240772.97,12,0.531176482
CAAS,中汽系统,0,0.42656,-0.91082,996000,-0.8879,187,0.808077077,7.330137968,1617911.5,4010175.269,15,0.576500858
