code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
BRK.A,伯克希尔,10.834816,1.437634,28874.50977,12077000000,177%,252,13999.66667,3673.166667,5%,1%,12%,126837.72,156%,11600.52381,4535.293651,21,0.089548743
AMZN,亚马逊,146.914832,26.556285,12.969351,2534000000,1186%,252,89.04666667,90.80333333,5%,6%,30%,246.8684655,-52%,101144748.4,211494196,21,0.238620823
CABO,Cable ONE Inc,17.746715,6.42688,45.461372,43785000,57%,40,45.71,30.05666667,6%,4%,9%,600.9055,-4%,760596.5,794694.35,3,0.069504216
INGN,Inogen Inc,161.52253,19.681347,1.523255,14610000,75%,56,33.18,21.86666667,16%,12%,29%,72.38732143,4%,3772470,3625005.786,4,0.228192629
TPL,Texas Pacific Land Trust Sub Sha,49.713704,43.191976,17.037556,52503000,158%,252,32.86666667,43,5%,7%,33%,85.00423016,-38%,293076.5079,470373.0159,21,0.27338336
ISRG,直觉外科公司,76.454235,10.510289,7.08293,255000000,14%,220,30.21333333,25.915,6%,6%,41%,111.7960173,-35%,22952377.82,35202454.09,18,0.311257778
MED,快验保,66.846239,26.116097,3.362792,14133000,86%,252,28.61,25.29333333,16%,18%,61%,19.66313492,85%,5454614.397,2946546.032,21,0.500104435
MNK,Mallinckrodt plc,2.048159,0.455992,17.322874,15600000,-75%,64,4.12,2.783333333,21%,0.158156768,0.240491393,60.49203125,0.787367601,55309254.75,30944532.47,5,0.180757552
ORLY,奥莱利,22.386339,69.196006,14.771062,353000000,25%,252,23.17333333,16.515,8%,6%,18%,80.04051587,78%,23148810.34,12973764.29,21,0.154029591
IAC,IAC/InterActiveCorp,32.659576,6.438154,6.102345,281000000,249%,33,22.8,10.655,14%,7%,19%,102.5848485,32%,17644180.82,13411408.81,2,0.130677673
ULTI,The Ultimate Software Group,247.786027,15.925577,1.211731,13680000,202%,244,22.76,13.70833333,8%,5%,23%,68.35629098,92%,4550681.697,2373795.902,20,0.189332494
SHW,宣伟公司,22.283541,11.090846,20.07715,404000000,26%,252,21.84,13.83833333,5%,3%,14%,112.547619,22%,20054512.57,16414328.57,21,0.120697303
PAYC,"Paycom Software, Inc.",97.335747,26.836098,1.550715,35722000,78%,54,18.41,7.906666667,16%,7%,33%,54.57481481,45%,14353432.48,9875877.074,4,0.217120388
ALGN,阿莱技术公司,99.927201,24.222031,3.678678,106000000,53%,213,18.37,24.27833333,5%,9%,46%,45.4992723,30%,17088709.14,13167182.08,17,0.348487185
TTD,Trade Desk Inc.,103.077804,19.727696,1.34219,19343000,3%,25,17.92,16.34166667,21%,24%,42%,57.838,40%,21975371.85,15747227,2,0.233204486
CVCO,卡寇工业,31.588593,4.62852,7.686319,19691000,68%,184,17.2,14.10833333,8%,7%,24%,58.75222826,1%,741325.1739,735781.5217,15,0.207686453
TECH,Techne Corporation,56.281276,6.554522,3.344807,40901000,27%,252,17.16666667,7.963333333,11%,5%,16%,61.94859127,-45%,3134017.627,5732983.333,21,0.127693655
REGN,Regeneron Pharmaceuticals,25.408124,5.652737,14.811404,551000000,42%,252,16.58,8.668333333,5%,3%,43%,121.6789286,89%,15312439.72,8117688.095,21,0.342392025
PRLB,Proto Labs Inc,61.79323,7.842468,2.377283,18314000,52%,80,16.03333333,8.25,12%,6%,22%,68.888125,-19%,4827210.325,5981805,6,0.166336254
GWW,美国固安捷,26.590412,10.821517,13.732393,248000000,132%,252,15.95,12.63666667,5%,4%,11%,122.5145833,43%,13548585.51,9486265.873,21,0.10092161
LGND,Ligand Pharmaceuticals Inc.,44.481085,8.557125,5.650042,73160000,1108%,252,15.92333333,14.95666667,8%,8%,35%,63.16180714,80%,4203955.667,2334279.365,21,0.29703838
DXCM,德康医疗,0,24.985557,-0.060621,30200000,941%,162,15.88,11.47833333,17%,13%,47%,32.12731481,177%,17175145.28,6196211.111,13,0.371350597
LINK,"Interlink Electronics, Inc",31.74716,2.612727,0.112451,359000,-35%,30,0.6,-0.064866667,17%,0.005646175,0.200455764,7.347646667,3.687496767,163125.2,34800.06667,2,0.117622364
FICO,Fair Isaac Corp,51.38695,22.269437,4.381268,32361000,28%,252,15.58,11.745,8%,6%,20%,47.6472754,-47%,5255006.46,9922421.246,21,0.168524427
PETQ,Petiq Inc.,0,4.453668,-0.293074,5398000,-11%,15,4.686666667,2.356666667,16%,0.096075107,0.207804767,26.14133333,0.740199449,9809135.125,5636787.857,1,0.076032407
BIIB,生化基因,24.215998,5.624378,14.136522,915000000,6%,252,15.51666667,10.41666667,5%,4%,22%,119.0060706,-50%,38952326.49,78397207.14,21,0.181433043
HIIQ,Health Insurance Innovations In,46.833441,7.520022,1.192524,4026000,-42%,68,5.783333333,3.491666667,16%,0.102213864,0.568494359,14.67852941,5.366717319,8053236.206,1264896.147,5,0.400283772
GRUB,GrubHub Inc,94.86805,8.968401,1.45929,30120000,104%,54,14.45,8.586666667,13%,8%,27%,49.84351852,11%,36901243.67,33348717.81,4,0.195452403
SODA,SodaStream International Ltd,35.141988,5.813948,4.051279,26110000,82%,95,14.39666667,6.185,14%,6%,40%,44.22857895,-66%,7810975.583,23148202.13,7,0.286068633
LMT,洛克希德马丁,35.468168,218.724346,9.058545,1163000000,22%,252,14.18333333,-0.185,5%,0%,10%,107.0626389,-13%,37637162.97,43065027.78,21,0.082953502
MTD,梅特勒-托利多,37.415973,26.898084,15.180682,111000000,10%,251,14.01333333,7.661666667,2%,1%,14%,157.3669323,11%,4264813.921,3852336.8,20,0.126747309
HII,Huntington Ingalls Industries,18.228121,6.313163,13.583957,239000000,63%,90,12.72333333,-0.555,6%,0%,14%,120.1835556,18%,7242761.533,6156064.444,7,0.111729495
ZBRA,Zebra Technologies Corporation,52.909985,8.452174,3.192403,70000000,312%,252,12.59,7.19,9%,5%,21%,45.40012659,-38%,7023831.706,11309941.27,21,0.175714506
ROP,儒博实业,28.334429,4.197553,10.468536,228000000,27%,252,12.33333333,4.963333333,4%,2%,10%,80.53063492,49%,10308573.66,6934296.032,21,0.090392005
TMO,赛默飞世尔,39.375747,3.574979,5.960776,752000000,23%,252,12.27333333,6.07,6%,3%,13%,65.21452381,119%,47903995.91,21865194.44,21,0.107744316
IRBT,iRobot Corp.,52.270199,6.46617,2.067526,10471000,32%,155,12.07,7.986666667,16%,11%,31%,32.77741935,149%,11415037.59,4577340.26,12,0.259145094
BIO.B,Bio-Rad Laboratories Inc Cl B,12.309845,2.038763,25.751745,268000000,5224%,252,11.8,13.375,4%,5%,15%,87.45864206,-3%,4673.706349,4835.714286,21,0.12211895
KWR,奎克化学,70.833011,5.609265,2.503635,19370000,57%,252,11.79666667,6.74,7%,4%,32%,45.21797619,226%,1334051.929,409463.4921,21,0.255756198
PH,汉尼汾,21.506657,3.891989,7.97567,353000000,20%,252,11.31666667,3.188333333,7%,2%,25%,64.39981349,-13%,28194325.67,32486417.86,21,0.176351
ADBE,Adobe,59.409276,14.709145,4.401838,663000000,77%,252,11.05333333,10.28666667,4%,4%,17%,47.90292778,-41%,90884477.25,153472419.8,21,0.144143269
JKHY,杰克亨利,32.641894,10.014732,4.854804,85280000,32%,252,10.90666667,6.998333333,8%,5%,12%,37.40128968,-16%,8545410.762,10162103.97,21,0.103277516
BA,波音,21.730004,-139.293348,16.07823,2196000000,26%,252,10.83666667,6.708333333,3%,2%,15%,88.95888889,15%,96561183.87,83875406.35,21,0.120725541
USPH,US Physical Therapy Inc,68.642784,7.106937,1.727057,13236000,107%,74,10.63333333,7.725,10%,8%,16%,52.07716216,86%,1460226.27,785554.0541,6,0.124647241
IDXX,IDEXX实验室,70.910999,-525.310514,3.518495,109000000,27%,252,10.59333333,9.433333333,5%,5%,17%,41.63025794,-36%,13548880.02,21071066.67,21,0.145721964
JBT,约翰宾技术,45.156624,8.736464,2.513474,33600000,88%,123,10.46666667,1.183333333,11%,2%,22%,39.47837398,-2%,3112646.371,3186991.803,10,0.171058746
HUBB,Hubbell Incorporated,26.359218,4.059947,4.738001,102000000,27%,34,10.21333333,2.25,9%,2%,7%,114.6832353,54%,7942034.941,5171240.471,2,0.044163791
AAPL,苹果,19.40896,9.082616,11.137124,11519000000,32%,252,10.13333333,7.559766667,5%,4%,24%,44.88673135,-33%,1910539612,2847619467,21,0.200106298
LII,雷诺士,28.269949,-49.204411,7.791312,138000000,19%,231,10.05333333,4.196666667,5%,2%,19%,57.47874459,31%,8578892.552,6527926.957,19,0.162099224
NSC,诺福克南方,8.734842,2.957063,20.018679,710000000,43%,252,9.676666667,7.213333333,6%,5%,16%,57.43349206,41%,50080231.64,35446802.38,21,0.134681069
BRK.B,伯克希尔B,12.903661,1.432873,16.117907,12077000000,177%,252,9.62,2.516666667,5%,1%,13%,84.31230159,258%,125315549.1,34977698.41,21,0.095972194
TDG,TransDigm,25.904242,-8.902196,13.702775,217000000,29%,151,9.556666667,10.81333333,3%,3%,17%,136.9330464,42%,9747535.553,6878845.333,12,0.145386609
ROKU,Roku Inc,23.72167,31.688542,2.66676,526000,103%,13,9.423333333,6.731666667,19%,15%,34%,41.82615385,-9%,136212665.6,150245847.8,1,0.116512954
IT,加特纳,157.391743,14.327937,0.923619,46270000,150%,252,9.403333333,7.206666667,7%,6%,20%,39.65154762,12%,10072670.46,8953685.714,21,0.171391596
CACI,CACI国际,15.82376,2.27031,12.234766,51831000,17%,252,9.316666667,7.466666667,5%,5%,21%,56.07736111,-24%,5091999.881,6659795.238,21,0.169658725
TYL,泰勒科技,51.85831,6.983146,4.669454,39161000,23%,252,9.26,6.36,4%,3%,20%,46.95948413,50%,4063801,2705920.635,21,0.175718424
