code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_3_1,grow_3_2,grow_3_3,grow_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
BRK.A,伯克希尔,10.834816,1.437634,28874.50977,12077000000,1.7731,252,13999.66667,9199,13300,19500,3673.166667,0.118971809,126837.72,1.55783301,11600.52381,4535.293651,21,0.089548743
AMZN,亚马逊,146.914832,26.556285,12.969351,2534000000,11.8629,252,89.04666667,-56.31,228.71,94.74,90.80333333,0.295053205,246.8684655,-0.521761115,101144748.4,211494196,21,0.238620823
CABO,Cable ONE Inc,17.746715,6.42688,45.461372,43785000,0.5716,40,45.71,32.29,111.74,-6.9,30.05666667,0.094441632,600.9055,-0.042906874,760596.5,794694.35,3,0.069504216
INGN,Inogen Inc,161.52253,19.681347,1.523255,14610000,0.7522,56,33.18,19.25,65.92,14.37,21.86666667,0.28915537,72.38732143,0.040679718,3772470,3625005.786,4,0.228192629
TPL,Texas Pacific Land Trust Sub Sha,49.713704,43.191976,17.037556,52503000,1.58,252,32.86666667,-15.75,69.61,44.74,43,0.325072557,85.00423016,-0.376927464,293076.5079,470373.0159,21,0.27338336
ISRG,直觉外科公司,76.454235,10.510289,7.08293,255000000,0.1417,220,30.21333333,9.36,49.57,31.71,25.915,0.408933665,111.7960173,-0.347989269,22952377.82,35202454.09,18,0.311257778
MED,快验保,66.846239,26.116097,3.362792,14133000,0.8635,252,28.61,17.98,56.32,11.53,25.29333333,0.61226799,19.66313492,0.85118927,5454614.397,2946546.032,21,0.500104435
GOOG,谷歌,52.022199,5.241846,23.464022,3195000000,-0.0934,55,25.57,-31.74,-9.81,118.26,26.475,0.094273711,782.7571818,-0.004016604,32134590.21,32264182.67,4,0.073915037
ORLY,奥莱利,22.386339,69.196006,14.771062,353000000,0.2484,252,23.17333333,3.21,32.76,33.55,16.515,0.177396566,80.04051587,0.784278628,23148810.34,12973764.29,21,0.154029591
IAC,IAC/InterActiveCorp,32.659576,6.438154,6.102345,281000000,2.4864,33,22.8,21.47,50.74,-3.81,10.655,0.191421386,102.5848485,0.315609797,17644180.82,13411408.81,2,0.130677673
ULTI,The Ultimate Software Group,247.786027,15.925577,1.211731,13680000,2.0205,244,22.76,22.36,24.48,21.44,13.70833333,0.227422804,68.35629098,0.917048426,4550681.697,2373795.902,20,0.189332494
SHW,宣伟公司,22.283541,11.090846,20.07715,404000000,0.2648,252,21.84,13.77,16.77,34.98,13.83833333,0.141552916,112.547619,0.221768681,20054512.57,16414328.57,21,0.120697303
CMG,墨式烧烤,85.811989,10.40072,6.068033,46884000,-0.2974,153,20.41,15.37,40.18,5.68,28.165,0.262023454,303.1267974,0.188700745,16316710.16,13726507.89,12,0.224891808
GOOGL,谷歌A,52.702859,5.310984,23.466469,3195000000,-0.0934,170,20.00666667,-44.54,-7.31,111.87,25.16666667,0.293612431,436.7238824,-0.75961174,55152584.01,229431270.6,14,0.245979941
