code,name,pe,pb,eps,net_radio2018-06,income_radio2018-06,net_radio2018-03,income_radio2018-03,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_3_rs,month_6_rs,price,vol_radio,volume_3,volume_6,year
BLFS,BioLife Solutions Inc.,0.0,17.747237,-0.018265,248.29%,102.44%,100.40%,61.22%,54,0.8733333333333336,1.993333333333334,0.10872077922525615,0.2915414813682519,0.5233814049483599,0.39877586579942936,17.48,0.9052681623892004,7535414.333333333,3955041.3333333335,4
PSDO,Presidio Inc.,11.539038,2.03042,1.4359950000000001,41.35%,5.07%,104.00%,5.77%,19,0.8566666666666668,-0.8033333333333328,0.06190661863876101,-0.05355211833687998,0.130468662718092,0.0288002261873429,15.66,-0.14840735708693623,3395959.0,3987774.0,1
SECO,寺库,6.009841000000001,3.253505,2.101553,26.29%,55.48%,10.05%,42.80%,13,1.6000000000000008,-0.6399999999999993,0.15771610190025862,-0.06553074211724841,0.33500066605102113,0.07769253744689435,13.8,1.064381179043991,5574496.666666667,2700323.3333333335,1
SUPN,Supernus Pharmaceuticals,28.640390000000004,6.445026,1.682938,76.97%,31.27%,155.92%,57.06%,77,-3.9833333333333343,4.6833333333333345,-0.06610763415902621,0.09611891563634666,0.4596184285223457,0.2891796741871672,47.35,-0.17200311373925678,13835495.666666666,16709598.666666666,6
WHLM,Wilhelmina International Inc.,45.667352,1.324545,0.147808,800.00%,12.64%,2400.00%,2.95%,50,-0.26999999999999985,-0.3912333333333334,-0.04144982461396345,-0.053519264403584475,0.23304144570548066,0.09413689093920014,5.4,-0.12161423370015954,78727.66666666667,89627.66666666667,4
CORT,Corcept医疗,11.416739999999999,7.053367,1.296342,43.88%,75.24%,297.88%,108.92%,174,-0.3433333333333331,-0.2599999999999998,-0.014289660807358112,-0.009108200838510142,0.7463718281634586,0.5063380206516029,14.41,0.015449330339809997,24597943.666666668,24223703.666666668,14
GRVY,GRAVITY Co,7.62133,2.513639,2.405092,86.28%,133.19%,63.60%,183.96%,164,-3.400000000000001,-4.403333333333333,-0.1251947861645098,-0.11624826101948711,0.9120282304262893,0.6000260340496778,18.65,-0.06121817888342808,759967.6666666666,809525.3333333334,13
FNKO,Funko Inc.,0.663481,5.061858,43.482760999999996,119.19%,32.44%,139.75%,38.52%,11,2.9466666666666668,1.4433333333333334,0.2336774918589907,0.15434766556804103,0.3488505464374661,0.11266464234933238,21.75,3.265590265555953,19393718.0,4546549.666666667,0
PRFT,Perficient,40.219731,2.762411,0.737449,142.80%,4.08%,81.91%,8.94%,231,0.7799999999999999,1.1499999999999997,0.02989351358118301,0.04834248520334946,0.43013790623511045,0.23621139978326675,28.45,-0.1870661710536188,3423694.6666666665,4211529.333333333,19
ENTG,英特格,35.720338,4.223767,0.879051,35.90%,16.43%,77.04%,15.70%,219,-1.5416666666666679,-0.3000000000000019,-0.04533679600896171,-0.0063244963149044695,0.7114049315966589,0.3090054517919254,29.175,-0.12581828733571493,18001410.333333332,20592298.0,18
