code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,grow_3,grow_6,grow_radio_3,grow_radio_6,month_3_rs,month_6_rs,price,vol_radio,volume_3,volume_6,year
INTG,36.0,The Intergroup Corporation,20.769822,-1.912841,1.733284,7836000.0,8.1758,18681000.0,0.0924,779000.0,5.5824,17972000.0,0.0444,-2507000.0,-0.2479,16812000.0,0.0225,-295000.0,-1.185,18114000.0,-0.0077,252,1.742066666666665,1.536333333333335,0.05860556900279055,0.05792547446742289,0.03803841183543209,0.04153855832679679,34.9124,-0.5582488200244939,21401.666666666668,48447.333333333336,21
BHBK,25.25,Blue Hills Bancorp Inc.,33.791379,1.7071900000000002,0.751671,6457000.0,0.6693,0.0,0.0,6583000.0,-0.1207,0.0,0.0,1293000.0,-0.6766,0.0,0.0,3841000.0,1.3564,0.0,0.0,52,0.7966666666666669,0.5833333333333321,0.03531273829539692,0.028761334467818422,0.021910548469748343,0.008915000005370415,24.29,1.124828115042779,2296226.6666666665,1080664.6666666667,4
VTNR,1.55,Vertex Energy Inc.,0.0,2.110287,-0.233596,2661800.0,2.4658,46917800.0,0.271,-2208100.0,0.3073,41368200.0,0.1897,-185000.0,0.9225,41345200.0,0.3313,-2949400.0,-36.9478,32470500.0,0.1408,69,0.26333333333333336,-0.07763333333333329,0.22831229785728727,-0.06761103782232056,0.21199839045736346,-0.07641617717601318,1.75,2.4682566715805603,5837802.0,1683209.3333333333,5
PTSI,61.62,P.A.M. Transportation Services,9.287657000000001,3.012368,6.943624000000001,7289000.0,3.5301,113000000.0,0.2125,1387000.0,-0.3925,99104000.0,0.0588,31561000.0,42.6528,93366000.0,-0.0093,3446000.0,-0.0014,93457000.0,-0.0257,252,2.306666666666667,6.095766666666665,0.04387088284178736,0.1463160667199929,0.03538661630091344,0.1315668248883622,62.56,-0.4294145837011628,256382.66666666666,449332.6666666667,21
IIN,65.4,IntriCon Corporation,110.25249099999999,22.077234,0.603161,2008000.0,5.4153,30160000.0,0.33899999999999997,757000.0,2.1557,25363000.0,0.1955,505000.0,1.2715,22227000.0,0.2524,917000.0,1.6848,24034000.0,0.5436,130,-1.9600000000000009,11.516666666666666,-0.011483419778581083,0.3549261693532835,-0.020622342943249328,0.34075981319110354,53.16,0.7652375148559529,5626791.666666667,3187555.0,10
UEPS,7.35,Net 1 UEPS Technologies,11.114738000000001,0.672033,0.689175,5253000.0,-0.5292,149000000.0,-0.0378,3311000.0,-0.8259,163000000.0,0.0999,9979000.0,-0.4811,148000000.0,-0.0199,19727000.0,-0.2186,153000000.0,-0.0198,215,-0.57,0.36666666666666653,-0.05486559188983725,0.04759041544127033,-0.0679411980715345,0.030587144005007862,7.65,0.13694200422038402,6382459.666666667,5613707.333333333,17
KRNT,20.05,Kornit Digital Ltd.,385.756146,4.615544,0.054957000000000006,1774000.0,7.2512,35876000.0,0.2549,565000.0,1.3253,31120000.0,0.1483,-369000.0,-1.45,29950000.0,-0.0637,-124000.0,-1.3435,28447000.0,-0.08,43,0.8299999999999995,1.1999999999999993,0.04759034206419011,0.0789812692279692,0.030618277343541903,0.06246670844504601,20.49,-0.23438794068086385,4354966.0,5688215.0,3
HIIQ,55.0,Health Insurance Innovations In,47.588143,7.641205,1.192524,4026000.0,-0.4209,71724000.0,0.1609,5985000.0,-0.2977,67750000.0,0.2127,5015000.0,2.5342,69490000.0,0.3513,6002000.0,0.1691,63335000.0,0.3736,69,6.279999999999997,1.7166666666666661,0.17284487529792425,0.05838419559907723,0.2132053561958788,0.036519574057156334,56.93,-0.004899084874349879,7148664.333333333,7183858.666666667,5
OXBR,2.05,Oxbridge Re Holdings Ltd,0.0,0.858138,-3.9426870000000003,265000.0,-0.7625,0.0,0.0,-211000.0,-1.1661,0.0,0.0,-24000.0,0.9897,0.0,0.0,-22954000.0,-8.6898,0.0,0.0,54,-0.0453333333333333,-0.11666666666666663,-0.018941826756415953,-0.047813869843767544,-0.0614679025972437,-0.06503614233989798,1.42,3.4989802701908177,1795657.0,399125.3333333333,4
LASR,27.66,nLIGHT,0.0,5.487976000000001,-5.165334,4653000.0,17.2125,51705000.0,0.4916,2916000.0,3.404,42467000.0,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-3.396666666666666,1.7333333333333343,-0.12680185952298953,0.09482852178207302,-0.14736265750671954,0.0839613090338777,19.28,0.22205213429397558,6777685.666666667,5546151.0,0
