code,open,name,pe,pb,eps,net2018-06,net_radio2018-06,income2018-06,income_radio2018-06,net2018-03,net_radio2018-03,income2018-03,income_radio2018-03,net2017-12,net_radio2017-12,income2017-12,income_radio2017-12,net2017-09,net_radio2017-09,income2017-09,income_radio2017-09,count,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
INTG,36.0,The Intergroup Corporation,20.769822,-1.912841,1.733284,7836000.0,8.1758,18681000.0,0.0924,779000.0,5.5824,17972000.0,0.0444,-2507000.0,-0.2479,16812000.0,0.0225,-295000.0,-1.185,18114000.0,-0.0077,252,0.2795605593567372,16.90314880952381,0.04386112296609205,37523.269841269845,35946.61111111111,21,0.2173481058785807
BHBK,25.25,Blue Hills Bancorp Inc.,33.791379,1.7071900000000002,0.751671,6457000.0,0.6693,0.0,0.0,6583000.0,-0.1207,0.0,0.0,1293000.0,-0.6766,0.0,0.0,3841000.0,1.3564,0.0,0.0,52,0.0911940504509598,16.81509615384616,-0.22176473114964437,1491226.8846153845,1916164.6153846155,4,0.06938014621277948
VTNR,1.55,Vertex Energy Inc.,0.0,2.110287,-0.233596,2661800.0,2.4658,46917800.0,0.271,-2208100.0,0.3073,41368200.0,0.1897,-185000.0,0.9225,41345200.0,0.3313,-2949400.0,-36.9478,32470500.0,0.1408,69,0.4056771803045693,2.668866666666667,-0.4639625583652617,1743010.9714285715,3251659.0,5,0.3122255992016891
PTSI,61.62,P.A.M. Transportation Services,9.287657000000001,3.012368,6.943624000000001,7289000.0,3.5301,113000000.0,0.2125,1387000.0,-0.3925,99104000.0,0.0588,31561000.0,42.6528,93366000.0,-0.0093,3446000.0,-0.0014,93457000.0,-0.0257,252,0.32477029216770714,18.75767857142859,-0.3565962845123739,301889.61904761905,469207.14285714284,21,0.2770931121028993
IIN,65.4,IntriCon Corporation,110.25249099999999,22.077234,0.603161,2008000.0,5.4153,30160000.0,0.33899999999999997,757000.0,2.1557,25363000.0,0.1955,505000.0,1.2715,22227000.0,0.2524,917000.0,1.6848,24034000.0,0.5436,130,0.4790189795275741,8.468038461538463,5.869220055328823,771656.4769230769,112335.38461538461,10,0.3844789067300663
UEPS,7.35,Net 1 UEPS Technologies,11.114738000000001,0.672033,0.689175,5253000.0,-0.5292,149000000.0,-0.0378,3311000.0,-0.8259,163000000.0,0.0999,9979000.0,-0.4811,148000000.0,-0.0199,19727000.0,-0.2186,153000000.0,-0.0198,215,0.4065897705063463,14.804231627906985,0.35893193363290277,5145830.722222222,3786672.8971962617,17,0.33199115354680603
KRNT,20.05,Kornit Digital Ltd.,385.756146,4.615544,0.054957000000000006,1774000.0,7.2512,35876000.0,0.2549,565000.0,1.3253,31120000.0,0.1483,-369000.0,-1.45,29950000.0,-0.0637,-124000.0,-1.3435,28447000.0,-0.08,43,0.17590147549473745,14.579302325581397,4.263057307355205,6283479.409090909,1193883.9047619049,3,0.1360466879374704
HIIQ,55.0,Health Insurance Innovations In,47.588143,7.641205,1.192524,4026000.0,-0.4209,71724000.0,0.1609,5985000.0,-0.2977,67750000.0,0.2127,5015000.0,2.5342,69490000.0,0.3513,6002000.0,0.1691,63335000.0,0.3736,69,0.5684943585030574,15.416956521739133,5.351695730771507,8034235.457142857,1264896.1470588236,5,0.40028377189254805
OXBR,2.05,Oxbridge Re Holdings Ltd,0.0,0.858138,-3.9426870000000003,265000.0,-0.7625,0.0,0.0,-211000.0,-1.1661,0.0,0.0,-24000.0,0.9897,0.0,0.0,-22954000.0,-8.6898,0.0,0.0,54,0.15676603742835518,4.875542592592593,1.690364476261881,527352.8888888889,196015.40740740742,4,0.10052040545964867
LASR,27.66,nLIGHT,0.0,5.487976000000001,-5.165334,4653000.0,17.2125,51705000.0,0.4916,2916000.0,3.404,42467000.0,0.4209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,-0.031700674236420916,28.28142857142857,0.12814949579070653,6263888.75,5552357.0,0,-0.031700674236420916
