code,name,pe,pb,eps,net2018-06,net_radio2018-06,count,grow_3,grow_6,month_six_rs,price,vol_radio,volume_end,volume_start,year,year_rs
BRK.A,伯克希尔,10.834816,1.437634,28874.50977,12077000000,1.7731,252,13999.66667,3673.166667,0.118971809,126837.72,1.55783301,11600.52381,4535.293651,21,0.089548743
AMZN,亚马逊,146.914832,26.556285,12.969351,2534000000,11.8629,252,89.04666667,90.80333333,0.295053205,246.8684655,-0.521761115,101144748.4,211494196,21,0.238620823
CABO,Cable ONE Inc,17.746715,6.42688,45.461372,43785000,0.5716,40,45.71,30.05666667,0.094441632,600.9055,-0.042906874,760596.5,794694.35,3,0.069504216
INGN,Inogen Inc,161.52253,19.681347,1.523255,14610000,0.7522,56,33.18,21.86666667,0.28915537,72.38732143,0.040679718,3772470,3625005.786,4,0.228192629
TPL,Texas Pacific Land Trust Sub Sha,49.713704,43.191976,17.037556,52503000,1.58,252,32.86666667,43,0.325072557,85.00423016,-0.376927464,293076.5079,470373.0159,21,0.27338336
ISRG,直觉外科公司,76.454235,10.510289,7.08293,255000000,0.1417,220,30.21333333,25.915,0.408933665,111.7960173,-0.347989269,22952377.82,35202454.09,18,0.311257778
MED,快验保,66.846239,26.116097,3.362792,14133000,0.8635,252,28.61,25.29333333,0.61226799,19.66313492,0.85118927,5454614.397,2946546.032,21,0.500104435
GOOG,谷歌,52.022199,5.241846,23.464022,3195000000,-0.0934,55,25.57,26.475,0.094273711,782.7571818,-0.004016604,32134590.21,32264182.67,4,0.073915037
ORLY,奥莱利,22.386339,69.196006,14.771062,353000000,0.2484,252,23.17333333,16.515,0.177396566,80.04051587,0.784278628,23148810.34,12973764.29,21,0.154029591
IAC,IAC/InterActiveCorp,32.659576,6.438154,6.102345,281000000,2.4864,33,22.8,10.655,0.191421386,102.5848485,0.315609797,17644180.82,13411408.81,2,0.130677673
ULTI,The Ultimate Software Group,247.786027,15.925577,1.211731,13680000,2.0205,244,22.76,13.70833333,0.227422804,68.35629098,0.917048426,4550681.697,2373795.902,20,0.189332494
SHW,宣伟公司,22.283541,11.090846,20.07715,404000000,0.2648,252,21.84,13.83833333,0.141552916,112.547619,0.221768681,20054512.57,16414328.57,21,0.120697303
CMG,墨式烧烤,85.811989,10.40072,6.068033,46884000,-0.2974,153,20.41,28.165,0.262023454,303.1267974,0.188700745,16316710.16,13726507.89,12,0.224891808
GOOGL,谷歌A,52.702859,5.310984,23.466469,3195000000,-0.0934,170,20.00666667,25.16666667,0.293612431,436.7238824,-0.75961174,55152584.01,229431270.6,14,0.245979941
PAYC,"Paycom Software, Inc.",97.335747,26.836098,1.550715,35722000,0.7847,54,18.41,7.906666667,0.329748911,54.57481481,0.453383064,14353432.48,9875877.074,4,0.217120388
ALGN,阿莱技术公司,99.927201,24.222031,3.678678,106000000,0.5338,213,18.37,24.27833333,0.463122116,45.4992723,0.29782584,17088709.14,13167182.08,17,0.348487185
TTD,Trade Desk Inc.,103.077804,19.727696,1.34219,19343000,0.0262,25,17.92,16.34166667,0.418409916,57.838,0.395507402,21975371.85,15747227,2,0.233204486
CVCO,卡寇工业,31.588593,4.62852,7.686319,19691000,0.6754,184,17.2,14.10833333,0.244662668,58.75222826,0.007534373,741325.1739,735781.5217,15,0.207686453
TECH,Techne Corporation,56.281276,6.554522,3.344807,40901000,0.2741,252,17.16666667,7.963333333,0.158666386,61.94859127,-0.453335647,3134017.627,5732983.333,21,0.127693655
REGN,Regeneron Pharmaceuticals,25.408124,5.652737,14.811404,551000000,0.4221,252,16.58,8.668333333,0.426623955,121.6789286,0.886305503,15312439.72,8117688.095,21,0.342392025
PRLB,Proto Labs Inc,61.79323,7.842468,2.377283,18314000,0.5153,80,16.03333333,8.25,0.217298646,68.888125,-0.193017772,4827210.325,5981805,6,0.166336254
GWW,美国固安捷,26.590412,10.821517,13.732393,248000000,1.3162,252,15.95,12.63666667,0.111454156,122.5145833,0.428231687,13548585.51,9486265.873,21,0.10092161
LGND,Ligand Pharmaceuticals Inc.,44.481085,8.557125,5.650042,73160000,11.0766,252,15.92333333,14.95666667,0.346801057,63.16180714,0.800965099,4203955.667,2334279.365,21,0.29703838
DXCM,德康医疗,0,24.985557,-0.060621,30200000,9.4138,162,15.88,11.47833333,0.466436109,32.12731481,1.771878649,17175145.28,6196211.111,13,0.371350597
FICO,Fair Isaac Corp,51.38695,22.269437,4.381268,32361000,0.2828,252,15.58,11.745,0.204339444,47.6472754,-0.470390711,5255006.46,9922421.246,21,0.168524427
BIIB,生化基因,24.215998,5.624378,14.136522,915000000,0.0605,252,15.51666667,10.41666667,0.223586334,119.0060706,-0.503141401,38952326.49,78397207.14,21,0.181433043
ASR,Grupo Aeroportuario del Sureste,18.547924,39.57022,9.96284,1098000000,-0.0466,217,14.85333333,5.225,0.211106799,73.41184332,-0.376657782,1342548.697,2153790.741,18,0.173940066
GRUB,GrubHub Inc,94.86805,8.968401,1.45929,30120000,1.0415,54,14.45,8.586666667,0.265239438,49.84351852,0.10652661,36901243.67,33348717.81,4,0.195452403
SODA,SodaStream International Ltd,35.141988,5.813948,4.051279,26110000,0.817,95,14.39666667,6.185,0.397103653,44.22857895,-0.662566642,7810975.583,23148202.13,7,0.286068633
LMT,洛克希德马丁,35.468168,218.724346,9.058545,1163000000,0.2178,252,14.18333333,-0.185,0.099659917,107.0626389,-0.126038809,37637162.97,43065027.78,21,0.082953502
MTD,梅特勒-托利多,37.415973,26.898084,15.180682,111000000,0.0973,251,14.01333333,7.661666667,0.135103041,157.3669323,0.107071926,4264813.921,3852336.8,20,0.126747309
HII,Huntington Ingalls Industries,18.228121,6.313163,13.583957,239000000,0.6259,90,12.72333333,-0.555,0.135387543,120.1835556,0.176524645,7242761.533,6156064.444,7,0.111729495
ZBRA,Zebra Technologies Corporation,52.909985,8.452174,3.192403,70000000,3.1176,252,12.59,7.19,0.212726073,45.40012659,-0.378968331,7023831.706,11309941.27,21,0.175714506
ROG,罗杰斯,32.540891,3.088521,4.154465,17329000,-0.1707,252,12.46333333,5.036666667,0.230662963,46.90027778,0.422118385,2133157.262,1499985.714,21,0.200654356
