,code,name,201712,201709,201706,201703,pb,per,trade,201612
0,SH600000,浦发银行, ,13.2,12.7,16.2,12.03,0.889,4.879,11.73
1,SH600008,首创股份,1.675955,1.639086,1.601385,1.649905,1.605191,2.894,38.189,4.85
2,SH600009,上海机场,13.042424,12.527994,12.010949,11.981621,11.57091,3.402,23.23,44.37
3,SH600010,包钢股份, ,1.067918,1.049959,1.456453,1.450652,2.041,838.462,2.18
4,SH600011,华能国际,4.635724,4.6759,4.576749,4.858093, ,1.342,56.545,6.22
5,SH600015,华夏银行, ,11.16,10.82,12.68,10.31,0.784,4.755,8.75
6,SH600016,民生银行,10.12,9.89,9.71,9.51,9.12,0.782,5.859,7.91
7,SH600018,上港集团,2.998418,2.693076,2.634314,2.753107,2.620381,2.298,13.841,6.89
8,SH600019,宝钢股份,7.380723,7.105146,6.851203,6.96,6.78,1.184,10.163,8.74
9,SH600021,上海电力,5.290657,4.786403,4.706141,4.819756,5.930829,1.518,20.852,8.03
10,SH600023,浙能电力,4.468754,4.376642,4.264338,4.367199,4.350208,1.164,16.25,5.2
11,SH600028,中国石化,6.01,5.918105,5.937656,6.018105,5.88,1.1400000000000001,16.232,6.85
12,SH600029,南方航空,4.916137,5.024385,4.591159,4.557445,4.398757,2.034,16.667,10.0
13,SH600030,中信证券,12.36281,12.134836,11.86,12.01962,11.78,1.52,19.989,18.79
14,SH600031,三一重工,3.273549,3.204668,3.106611,3.025882,2.91368,2.5540000000000003,30.589,8.36
15,SH600036,招商银行,17.69,17.37,16.63,16.68,15.95,1.591,10.122,28.14
16,SH600038,中直股份,12.246614,11.910348,11.69501,11.769933,11.635023,4.074,64.583,49.89
17,SH600048,保利地产,8.599764,7.941391,7.712888,7.699507,7.526952,1.565,10.197,13.46
18,SH600050,中国联通,4.478188,3.724154,3.697918,3.682234,3.65637,1.163,277.128,5.21
19,SH600061,国投资本,8.591719,7.565353,7.343171,7.167491,8.730416,1.415,17.882,12.16
20,SH600066,宇通客车,6.549293,5.995056,5.499329,6.278435,6.135517,3.243,15.064,21.24
21,SH600068,葛洲坝,5.436033,5.246917,5.071785,5.035551,4.891097,1.534,9.35,8.34
