,date,code,name,weight
0,2018-03-30,600000,浦发银行,1.21
1,2018-03-30,600008,首创股份,0.11
2,2018-03-30,600009,上海机场,0.42
3,2018-03-30,600010,包钢股份,0.26
4,2018-03-30,600011,华能国际,0.25
5,2018-03-30,600015,华夏银行,0.5
6,2018-03-30,600016,民生银行,1.67
7,2018-03-30,600018,上港集团,0.19
8,2018-03-30,600019,宝钢股份,0.66
9,2018-03-30,600021,上海电力,0.08
10,2018-03-30,600023,浙能电力,0.2
11,2018-03-30,600028,中国石化,0.6
12,2018-03-30,600029,南方航空,0.32
13,2018-03-30,600030,中信证券,1.29
14,2018-03-30,600031,三一重工,0.32
15,2018-03-30,600036,招商银行,2.65
16,2018-03-30,600038,中直股份,0.1
17,2018-03-30,600048,保利地产,0.85
18,2018-03-30,600050,中国联通,0.46
19,2018-03-30,600061,国投资本,0.1
20,2018-03-30,600066,宇通客车,0.26
21,2018-03-30,600068,葛洲坝,0.21
22,2018-03-30,600074,ST保千里,0.02
23,2018-03-30,600085,同仁堂,0.17
24,2018-03-30,600089,特变电工,0.29
25,2018-03-30,600100,同方股份,0.16
26,2018-03-30,600104,上汽集团,1.05
27,2018-03-30,600109,国金证券,0.16
28,2018-03-30,600111,北方稀土,0.25
29,2018-03-30,600115,东方航空,0.25
30,2018-03-30,600118,中国卫星,0.12
31,2018-03-30,600153,建发股份,0.14
32,2018-03-30,600157,永泰能源,0.18
33,2018-03-30,600170,上海建工,0.15
34,2018-03-30,600177,雅戈尔,0.19
35,2018-03-30,600188,兖州煤业,0.05
36,2018-03-30,600196,复星医药,0.39
37,2018-03-30,600208,新湖中宝,0.18
38,2018-03-30,600219,南山铝业,0.16
39,2018-03-30,600221,海航控股,0.33
40,2018-03-30,600233,圆通速递,0.05
41,2018-03-30,600271,航天信息,0.25
42,2018-03-30,600276,恒瑞医药,1.3
43,2018-03-30,600297,广汇汽车,0.16
44,2018-03-30,600309,万华化学,0.44
45,2018-03-30,600332,白云山,0.15
46,2018-03-30,600340,华夏幸福,0.34
47,2018-03-30,600352,浙江龙盛,0.22
48,2018-03-30,600362,江西铜业,0.16
49,2018-03-30,600369,西南证券,0.11
50,2018-03-30,600372,中航电子,0.07
51,2018-03-30,600373,中文传媒,0.08
52,2018-03-30,600376,首开股份,0.1
53,2018-03-30,600383,金地集团,0.23
54,2018-03-30,600390,五矿资本,0.03
55,2018-03-30,600406,国电南瑞,0.25
56,2018-03-30,600415,小商品城,0.13
57,2018-03-30,600436,片仔癀,0.22
58,2018-03-30,600482,中国动力,0.19
59,2018-03-30,600485,信威集团,0.23
60,2018-03-30,600489,中金黄金,0.14
61,2018-03-30,600498,烽火通信,0.14
62,2018-03-30,600518,康美药业,0.59
63,2018-03-30,600519,贵州茅台,3.03
64,2018-03-30,600522,中天科技,0.23
65,2018-03-30,600535,天士力,0.26
66,2018-03-30,600547,山东黄金,0.19
67,2018-03-30,600549,厦门钨业,0.1
68,2018-03-30,600570,恒生电子,0.26
69,2018-03-30,600583,海油工程,0.12
70,2018-03-30,600585,海螺水泥,0.57
71,2018-03-30,600588,用友网络,0.25
72,2018-03-30,600606,绿地控股,0.24
73,2018-03-30,600637,东方明珠,0.19
74,2018-03-30,600649,城投控股,0.09
75,2018-03-30,600660,福耀玻璃,0.31
76,2018-03-30,600663,陆家嘴,0.12
77,2018-03-30,600674,川投能源,0.18
78,2018-03-30,600682,南京新百,0.13
79,2018-03-30,600685,中船防务,0.07
80,2018-03-30,600688,上海石化,0.08
81,2018-03-30,600690,青岛海尔,0.47
82,2018-03-30,600703,三安光电,0.5
83,2018-03-30,600704,物产中大,0.1
84,2018-03-30,600705,中航资本,0.21
85,2018-03-30,600739,辽宁成大,0.2
86,2018-03-30,600741,华域汽车,0.34
87,2018-03-30,600795,国电电力,0.31
88,2018-03-30,600804,鹏博士,0.19
89,2018-03-30,600816,安信信托,0.19
90,2018-03-30,600820,隧道股份,0.12
91,2018-03-30,600827,百联股份,0.08
92,2018-03-30,600837,海通证券,0.82
93,2018-03-30,600871,*ST油服,0.03
94,2018-03-30,600886,国投电力,0.26
95,2018-03-30,600887,伊利股份,1.53
96,2018-03-30,600893,航发动力,0.22
97,2018-03-30,600895,张江高科,0.09
98,2018-03-30,600900,长江电力,0.93
99,2018-03-30,600909,华安证券,0.07
100,2018-03-30,600919,江苏银行,0.45
