code,name,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,pb,mktcap,nmc
600000,浦发银行,1.558,11.73,11.75,11.79,11.66,11.55,26295275.0,0.09356,308485462.0,4.879,0.889,34429990.305681,32965715.053527
600008,首创股份,-0.615,4.85,4.91,4.93,4.77,4.88,23659878.0,0.49081,114563310.0,38.189,2.894,2337997.85014,2337997.85014
600009,上海机场,-0.404,44.37,44.85,45.8,43.82,44.55,8468264.0,0.77444,377961439.0,23.23,3.402,8549914.633776,4851754.773489
600010,包钢股份,0.0,2.18,0.0,0.0,0.0,2.18,0.0,0.0,0.0,838.462,2.041,9937537.117264,4804465.772978
600011,华能国际,-1.893,6.22,6.31,6.34,6.14,6.34,10264176.0,0.09775,63635100.0,56.545,1.342,9454638.49968,6531000.0
600015,华夏银行,0.69,8.75,8.78,8.8,8.71,8.69,13994649.0,0.10914000000000001,122452116.0,4.755,0.784,11219850.821375,11219850.821375
600016,民生银行,0.893,7.91,7.92,7.95,7.87,7.84,54127671.0,0.18316000000000002,428280970.0,5.859,0.782,28859910.862832,23375449.551104
600018,上港集团,-0.434,6.89,6.97,7.01,6.76,6.92,40898333.0,0.17973,281114482.0,13.841,2.298,15966661.83385,15678318.77885
600019,宝钢股份,3.432,8.74,8.64,8.96,8.64,8.45,108155445.0,0.48962000000000006,951652197.0,10.163,1.184,19462157.81925,19306420.72065
600021,上海电力,0.375,8.03,8.05,8.13,7.89,8.0,3674232.0,0.42931,29348468.0,20.852,1.518,1934954.690647,687244.952295
600023,浙能电力,-3.166,5.2,5.4,5.4,5.16,5.37,29683210.0,0.21825000000000003,155084055.0,16.25,1.164,7072358.79376,7072358.79376
600028,中国石化,3.474,6.85,6.69,6.86,6.66,6.62,170517492.0,0.17844000000000002,1150604626.0,16.232,1.1400000000000001,82933778.60751,65457073.16651
600029,南方航空,0.1,10.0,10.09,10.15,9.83,9.99,47417752.0,0.6752100000000001,472837571.0,16.667,2.034,10088173.272,7022650.0
600030,中信证券,2.064,18.79,18.7,18.89,18.45,18.41,119678906.0,1.21939,2234897228.0,19.989,1.52,22767670.8836,18441749.3343
600031,三一重工,1.456,8.36,8.4,8.48,8.17,8.24,60832425.0,0.7955200000000001,505235929.0,30.589,2.5540000000000003,6443311.110676,6392791.35814
600036,招商银行,1.625,28.14,28.28,28.35,27.36,27.69,65977970.0,0.31983,1841953006.0,10.122,1.591,70968645.521214,58049849.623206
600038,中直股份,5.52,49.89,47.4,50.01,46.7,47.28,10278222.0,1.74362,496431418.0,64.583,4.074,2940899.336124,2940899.336124
600048,保利地产,2.357,13.46,13.52,13.76,13.31,13.15,146281997.0,1.2464,1976742558.0,10.197,1.565,15961461.668106,15797114.903894
600050,中国联通,-1.512,5.21,5.32,5.34,5.09,5.29,162928388.0,0.76865,845104166.0,277.128,1.163,16165489.888927,11043426.721795
600061,国投资本,1.249,12.16,12.1,12.18,12.0,12.01,3351369.0,0.09072000000000001,40538774.0,17.882,1.415,5140189.748032,4492088.483008
600066,宇通客车,-3.935,21.24,21.84,22.25,20.7,22.11,23946887.0,1.08164,508663992.0,15.064,3.243,4702406.909652,4702406.909652
600068,葛洲坝,0.969,8.34,8.31,8.36,8.09,8.26,37631688.0,0.81723,309279323.0,9.35,1.534,3840384.361608,3840384.361608
600074,ST保千里,-1.205,1.64,1.67,1.67,1.6,1.66,30168047.0,2.9402,48937122.0,4.686,0.833,399813.312036,168272.713648
