,code,name,201712,201709,201706,201703,201612
0,SH600000,浦发银行, ,13.2,12.7,16.2,12.03
1,SH600008,首创股份,1.675955,1.639086,1.601385,1.649905,1.605191
2,SH600009,上海机场,13.042424,12.527994,12.010949,11.981621,11.57091
3,SH600010,包钢股份, ,1.067918,1.049959,1.456453,1.450652
4,SH600011,华能国际,4.635724,4.6759,4.576749,4.858093,5.813079
5,SH600015,华夏银行, ,11.16,10.82,12.68,10.31
6,SH600016,民生银行,10.12,9.89,9.71,9.51,9.12
7,SH600018,上港集团,2.998418,2.693076,2.634314,2.753107,2.620381
8,SH600019,宝钢股份,7.380723,7.105146,6.851203,6.96,6.78
9,SH600021,上海电力,5.290657,4.786403,4.706141,4.819756,5.930829
10,SH600023,浙能电力,4.468754,4.376642,4.264338,4.367199,4.350208
11,SH600028,中国石化,6.01,5.918105,5.937656,6.018105,5.88
12,SH600029,南方航空,4.916137,5.024385,4.591159,4.557445,4.398757
13,SH600030,中信证券,12.36281,12.134836,11.86,12.01962,11.78
14,SH600031,三一重工,3.273549,3.204668,3.106611,3.025882,2.91368
15,SH600036,招商银行,17.69,17.37,16.63,16.68,15.95
16,SH600038,中直股份,12.246614,11.910348,11.69501,11.769933,11.635023
17,SH600048,保利地产,8.599764,7.941391,7.712888,7.699507,7.526952
18,SH600050,中国联通,4.478188,3.724154,3.697918,3.682234,3.65637
19,SH600061,国投资本,8.591719,7.565353,7.343171,7.167491,8.730416
20,SH600066,宇通客车,6.549293,5.995056,5.499329,6.278435,6.135517
21,SH600068,葛洲坝,5.436033,5.246917,5.071785,5.035551,4.891097
22,SH600074,ST保千里, ,1.969489,1.951921,1.867589,1.794556
23,SH600085,同仁堂,6.136542,6.004131,5.862091,5.893525,5.68257
24,SH600089,特变电工,7.50493,7.400722,7.209631,7.194072,6.99651
25,SH600100,同方股份, ,7.046725,6.97746,7.187875,7.351801
26,SH600104,上汽集团,19.28669,18.454002,17.618723,18.445667,17.422963
27,SH600109,国金证券,6.228289,6.101592,5.960168,5.903647,5.785402
28,SH600111,北方稀土, ,2.424557,2.333875,2.303884,2.283638
29,SH600115,东方航空,3.670837,3.770788,3.572129,3.464436,3.261629
30,SH600118,中国卫星,4.384432,4.241746,4.171688,4.178783,4.123991
31,SH600153,建发股份,8.331934,7.729408,7.889279,7.726798,7.599959
32,SH600157,永泰能源, ,1.940698,1.92019,1.911971,1.904205
33,SH600170,上海建工,2.697871,2.648106,2.543046,3.055599,2.972341
34,SH600177,雅戈尔, ,6.609571,6.525155,9.010343,8.877614
35,SH600188,兖州煤业,9.301582,8.867649,8.259461,7.923454,7.410026
36,SH600196,复星医药,10.150516,10.232779,9.883421,9.444676,9.190351
37,SH600208,新湖中宝, ,3.607353,3.425094,3.42124,3.378595
38,SH600219,南山铝业,3.539502,3.50929,3.451405,3.454167,3.423919
39,SH600221,海航控股,3.11763,3.168688,3.059438,3.079672,3.027128
40,SH600233,圆通速递,3.262869,3.133814,3.004179,3.007493,2.908405
41,SH600271,航天信息,5.266717,5.061199,4.884968,5.031819,4.740247
42,SH600276,恒瑞医药,5.425249,5.122229,4.849071,5.624242,5.277174
43,SH600297,广汇汽车, ,3.553794,3.431979,4.463441,4.284505
44,SH600309,万华化学,9.977839,8.764647,7.683984,8.551129,6.854436
45,SH600332,白云山,11.61,11.3,11.1,10.97,10.67
46,SH600340,华夏幸福,9.507792,9.120964,8.97913,8.821816,8.244112
47,SH600352,浙江龙盛,5.208166,5.047831,4.91049,4.983016,4.801776
48,SH600362,江西铜业,13.726867,13.792393,13.569109,13.63232,13.456977
49,SH600369,西南证券,3.433738,3.437208,3.36843,3.387014,3.36597
50,SH600372,中航电子,3.783047,3.525299,3.460698,3.413508,3.41339
51,SH600373,中文传媒,8.848993,8.557568,8.350841,8.301517,7.986594
52,SH600376,首开股份,8.43896,7.983541,7.773306,8.086242,8.046507
53,SH600383,金地集团,9.01067,8.154919,7.871399,8.461509,8.271738
54,SH600390,五矿资本, ,8.277526,7.95978,7.932055,31.379818
55,SH600406,国电南瑞,,3.7,3.487648,3.65,3.64
56,SH600415,小商品城,2.055807,2.012524,1.981871,1.987048,1.862908
57,SH600436,片仔癀,6.8555,6.691381,6.236298,6.167815,5.790324
58,SH600482,中国动力, ,14.768867,14.589842,14.765913,14.63397
59,SH600485,信威集团, ,4.170725,4.276457,3.949134,4.045413
